
古代戦士
### 共通 ###
ハイパーモード(仮面ライダークウガ・トライチェイサー), Engine.wav
ハイパーモード(仮面ライダークウガ・ビートチェイサー), Engine.wav
ハイパーモード(仮面ライダークウガ・ビートチェイサー(ライジング)), Engine.wav
破壊, 変形 RKG_MaskedRiderKuugaU(Growing).bmp -.wav
### グローイングフォーム ###
グローイングアタック, 格闘
グローイングキック, キック
強化グローイングキック, スーパーキック 前転
### マイティフォーム ###
マイティアタック, 格闘
マイティアタック, 打突
マイティキック, キック
強化マイティキック, スーパーキック 赤 前転
ライジングマイティキック(準備), 放電 Thunder.wav;変形 RKG_MaskedRiderKuugaU(RisingMighty).bmp -.wav
ライジングマイティキック, スーパーキック 赤 前転
ライジングマイティキック(とどめ), @戦闘アニメ_超爆発命中
アメイジングマイティキック(準備), 放電 Thunder.wav;変形 RKG_MaskedRiderKuugaU(AmazingMighty).bmp -.wav
アメイジングマイティキック, スーパーキック 黄 前転
アメイジングマイティキック(とどめ), @戦闘アニメ_光柱命中 赤 Explode(Nuclear).wav
### ドラゴンフォーム ###
ドラゴンアタック, 格闘
ドラゴンロッド(準備), 振る武器 Weapon\EFFECT_JewelRod(Blue)01.bmp 32
ドラゴンロッド(攻撃), 斬撃
ドラゴンロッド(攻撃), なぎ払い
ドラゴンロッド(命中), ダメージ Punch.wav
スプラッシュドラゴン(準備), 振る武器 Weapon\EFFECT_JewelRod(Blue)01.bmp 32
スプラッシュドラゴン(攻撃), ジャンプ;刺突
スプラッシュドラゴン(命中), 強打 Punch.wav
Ｒスプラッシュドラゴン(準備), 放電 Thunder.wav;変形 RKG_MaskedRiderKuugaU(RisingDragon).bmp -.wav;_
                              振る武器 Weapon\EFFECT_JewelRod(Yellow)01.bmp 32
Ｒスプラッシュドラゴン(攻撃), ジャンプ;刺突
Ｒスプラッシュドラゴン(命中), 刺突 Punch.wav
#Ｒスプラッシュドラゴン(とどめ), @戦闘アニメ_振り上げ攻撃;@戦闘アニメ_急降下攻撃 相手ユニットＩＤ;@戦闘アニメ_大爆発命中
ライジングドラゴンロッド(準備), 振る武器 Weapon\EFFECT_JewelRod(Yellow)01.bmp 32
ライジングドラゴンロッド(攻撃), 斬撃
ライジングドラゴンロッド(攻撃), なぎ払い
ライジングドラゴンロッド(命中), ダメージ Punch.wav
ジャンプ, @戦闘アニメ_急降下攻撃
### ペガサスフォーム ###
ペガサスアタック, 格闘
ブラストペガサス, 光弾銃 白 Weapon\EFFECT_CrossBow01.bmp 32 発光
ブラストペガサス(命中), 小ビーム 白 Inori.wav
Ｒブラストペガサス(準備), 放電 Thunder.wav;変形 RKG_MaskedRiderKuugaU(RisingPegasus).bmp -.wav;_
                          レーザーマシンガン 黒 Weapon\EFFECT_CrossBow01.bmp 32 発光
Ｒブラストペガサス(準備), レーザーマシンガン 黒 Weapon\EFFECT_CrossBow01.bmp 32 発光
Ｒブラストペガサス(命中), レーザーマシンガン 黒 Inori.wav
空中ブラストペガサス(準備), 光弾銃 白 Weapon\EFFECT_CrossBow01.bmp 32 発光;_
#                           召喚 ../Unit/RKG_GouramuU.bmp;_
                            @戦闘アニメ_急降下攻撃
空中ブラストペガサス(攻撃), 光弾銃 白 Weapon\EFFECT_CrossBow01.bmp 32 発光
空中ブラストペガサス(命中), 小ビーム 白 Inori.wav
空中Ｒブラストペガサス(準備), 放電 Thunder.wav;変形 RKG_MaskedRiderKuugaU(RisingPegasus).bmp -.wav;_
                              レーザーマシンガン 黒 Weapon\EFFECT_CrossBow01.bmp 32 発光;_
#                             召喚 ../Unit/RKG_GouramuU.bmp;_
                              @戦闘アニメ_急降下攻撃
空中Ｒブラストペガサス(攻撃), レーザーマシンガン 黒 Weapon\EFFECT_CrossBow01.bmp 32 発光
空中Ｒブラストペガサス(命中), レーザーマシンガン 黒 Inori.wav
### タイタンフォーム ###
タイタンアタック, 格闘
タイタンソード(準備), 振る武器 Weapon\EFFECT_SaintGreatSword01.bmp 48
タイタンソード, 斬撃
カラミティタイタン, 刺突
Ｒカラミティタイタン(準備), 放電 Thunder.wav;変形 RKG_MaskedRiderKuugaU(RisingTitan).bmp -.wav
Ｒカラミティタイタン, 刺突
### バイク ###
トライチェイサーアタック(攻撃), 振る武器突撃 -.bmp Bike.wav
トライチェイサーアタック(命中), 強打 Punch.wav
ビートチェイサーアタック(攻撃), 振る武器突撃 -.bmp Bike.wav
ビートチェイサーアタック(命中), 強打 Punch.wav
トライゴウラムアタック(準備), _
#                             召喚 ../Unit/RKG_GouramuU.bmp;_
                              変形 RKG_TryGouramu(Mighty)(2).bmp Uniton.wav
トライゴウラムアタック(攻撃), スーパータックル 黒
トライゴウラムアタック(命中), 強打 Crash.wav
スタッグチャージ, 振る武器突撃 -.bmp Bike.wav
スタッグチャージ(命中), 刺突
ビートゴウラムアタック, スーパータックル 黒
ビートゴウラムアタック(命中), 強打 Crash.wav
Ｒビートゴウラムアタック(準備), 放電 Thunder.wav;変形 RKG_RisingBeatGouramu(Mighty)(2).bmp -.wav
Ｒビートゴウラムアタック, スーパータックル 黄
Ｒビートゴウラムアタック(命中), 超打 Crash.wav
### アメイジング ###
アメイジングアタック, 格闘
アメイジングアタック, 打突
### アルティメット ###
