ＭＥＺＺＯ
COLT_GOVERMENT, ピストル
GLOCK_M17, ピストル
BERETTA_M92F, ピストル
WINCHESTER_M1897, ショットガン
H&K_MP5K, マシンガン
PSG-1(準備), ライフル
PSG-1(攻撃), ロックオン;ライフル
PSG-1(命中), 銃弾
苦無, クナイ
スパナ, スパナ
キック(攻撃), 格闘
キック(攻撃), 振り上げ
キック(攻撃), なぎ払い
キック(命中), 打撃
キック(命中), 強打
キック(命中), ダメージ
キック(命中), アッパー
急所蹴り(攻撃), アッパー
急所蹴り(命中), アッパー
急所蹴り(命中), アッパー;アッパー
急所蹴り(命中), アッパー;アッパー;アッパー
截拳道(攻撃), 格闘
截拳道(攻撃), 打突
截拳道(攻撃), キック
截拳道(攻撃), アッパー
截拳道(命中), ダメージ
截拳道(命中), 打撃
截拳道(命中), 打撃;@戦闘アニメ_急降下攻撃;急降下
截拳道(命中), 打撃;@戦闘アニメ_急降下攻撃;急降下;踏み潰し
截拳道(命中), 打撃;@戦闘アニメ_斬撃攻撃;強打
截拳道(命中), 打撃;@戦闘アニメ_斬撃攻撃;超打
截拳道(命中), 打撃;@戦闘アニメ_キック攻撃;@戦闘アニメ_斬撃攻撃;強打
截拳道(命中), 打撃;@戦闘アニメ_キック攻撃;@戦闘アニメ_斬撃攻撃;超打
截拳道(命中), 打撃;@戦闘アニメ_キック攻撃;@戦闘アニメ_振り上げ攻撃;アッパー
截拳道(命中), 強打
截拳道(命中), 強打;@戦闘アニメ_急降下攻撃;急降下
截拳道(命中), 強打;@戦闘アニメ_急降下攻撃;急降下;踏み潰し
截拳道(命中), 強打;@戦闘アニメ_斬撃攻撃;強打
截拳道(命中), 強打;@戦闘アニメ_斬撃攻撃;超打
截拳道(命中), 強打;@戦闘アニメ_キック攻撃;@戦闘アニメ_斬撃攻撃;強打
截拳道(命中), 強打;@戦闘アニメ_キック攻撃;@戦闘アニメ_斬撃攻撃;超打
截拳道(命中), 超打;@戦闘アニメ_キック攻撃;@戦闘アニメ_振り上げ攻撃;アッパー
截拳道(命中), 超打
截拳道(命中), 超打;@戦闘アニメ_急降下攻撃;急降下
截拳道(命中), 超打;@戦闘アニメ_急降下攻撃;急降下;踏み潰し
截拳道(命中), 超打;@戦闘アニメ_斬撃攻撃;強打
截拳道(命中), 超打;@戦闘アニメ_斬撃攻撃;超打
截拳道(命中), 超打;@戦闘アニメ_キック攻撃;@戦闘アニメ_斬撃攻撃;強打
截拳道(命中), 超打;@戦闘アニメ_キック攻撃;@戦闘アニメ_斬撃攻撃;超打
截拳道(命中), 超打;@戦闘アニメ_キック攻撃;@戦闘アニメ_振り上げ攻撃;アッパー
截拳道(命中), アッパー
截拳道(命中), アッパー;@戦闘アニメ_急降下攻撃;急降下
截拳道(命中), アッパー;@戦闘アニメ_急降下攻撃;急降下;踏み潰し
截拳道(命中), アッパー;@戦闘アニメ_斬撃攻撃;強打
截拳道(命中), アッパー;@戦闘アニメ_斬撃攻撃;超打
截拳道(命中), アッパー;@戦闘アニメ_キック攻撃;@戦闘アニメ_斬撃攻撃;強打
截拳道(命中), アッパー;@戦闘アニメ_キック攻撃;@戦闘アニメ_斬撃攻撃;超打
截拳道(命中), アッパー;@戦闘アニメ_キック攻撃;@戦闘アニメ_振り上げ攻撃;アッパー
コンビネーションアーツ(攻撃), 格闘
コンビネーションアーツ(命中), 打撃;@戦闘アニメ_斬撃攻撃;強打;_
@戦闘アニメ_ピストル準備;@戦闘アニメ_ピストル攻撃;@戦闘アニメ_ピストル攻撃;@戦闘アニメ_ピストル攻撃;銃弾;銃弾;銃弾
コンビネーションアーツ(命中), 打撃;@戦闘アニメ_斬撃攻撃;超打;_
@戦闘アニメ_ピストル準備;@戦闘アニメ_ピストル攻撃;@戦闘アニメ_ピストル攻撃;@戦闘アニメ_ピストル攻撃;銃弾;銃弾;銃弾
コンビネーションアーツ(命中), 打撃;@戦闘アニメ_キック攻撃;@戦闘アニメ_斬撃攻撃;超打;_
@戦闘アニメ_ピストル準備;@戦闘アニメ_ピストル攻撃;@戦闘アニメ_ピストル攻撃;@戦闘アニメ_ピストル攻撃;銃弾;銃弾;銃弾
コンビネーションアーツ(命中), 打撃;@戦闘アニメ_キック攻撃;@戦闘アニメ_斬撃攻撃;強打;@戦闘アニメ_急降下攻撃;透明化;_
