
ギルティギア
ナパームデス(解説), $(パイロット)はギアの力の一部を解放し、.$(武器)で攻撃をかけた。
Ｓエッジ・チャージアタック(解説), $(パイロット)はスタンエッジ・チャージアタックで攻撃をかけた。
拍手で迎えてください(解説), $(パイロット)は召喚したフープの中から.友達のイルカさんを呼び出した。
イルカさん(解説), $(パイロット)は友達のイルカさんに飛び乗り突っ込んだ。
じゃっくはうんど(解説), $(パイロット)はジャックハウンドの構えをとろうとしたが、.転んでボディプレスになってしまった。
グレート山田アタック(解説), $(パイロット)は友達の山田さんを呼び出して攻撃した。
メイと愉快な仲間達(解説), $(パイロット)の呼びかけに応じて、.ジェリーフィッシュ快賊団の仲間が駆けつけた！
メイと愉快な仲間達(命中)(解説), ジェリーフィッシュ快賊団の面々が.$(相手パイロット)を踏みつけながら駆け抜けていった。
槍点遠心乱舞(解説), $(パイロット)は地面に突き立てた巨大メスに飛び乗り、.振り子のように前後に揺れ動いた。
マッドオペレーション(命中)(解説), $(パイロット)は$(相手パイロット)を手術台に乗せ、.狂った笑い声を上げて切り刻んだ。
昇天落獄(命中)(解説), $(相手パイロット)は落下してきた墓石の下敷きにされた。南無ー。
Ｆ．Ｄ．Ｂ．(解説), デコピンの構えをとった$(パイロット)の指先から.不可視の衝撃波が放たれた。
Ｈポチョムキンバスター(解説), $(パイロット)はヘブンリーポチョムキンバスターで攻撃をかけた。
ガイガンティックブリッド(解説), $(パイロット)はガイガンダーの力を拳に纏わせ、.$(武器)で攻撃をかけた。
インヴァイトヘル(解説), $(パイロット)は影をドリル状に束ねて攻撃をかけた。
ドリルスペシャル(解説), $(パイロット)は影を巨大なドリル状に束ねて攻撃をかけた。
シャドウギャラリー(解説), $(パイロット)は一旦影の中に身を潜ませ、.$(相手パイロット)の死角から襲いかかった。
イグゼキューター(解説), $(パイロット)は影を全身に纏い、剣状になって突撃した。
イグゼキューターＸ(解説), $(パイロット)は影を全身に纏い、剣状になって突撃した。
リフレクスロア(解説), $(パイロット)は一時的に若返り、$(武器)で攻撃をかけた。
ソウルサヴァイヴァー(解説), $(パイロット)は一時的に若返り、$(武器)で攻撃をかけた。
天放石(命中)(解説), $(パイロット)はバンダナを被せて.$(相手パイロット)の視界を塞いた。
百重鎌焼(解説), $(パイロット)は炎を纏った鎖鎌を振り回した。
鎌閃奥義・乱髪(解説), $(パイロット)は鎖鎌を地面に伸ばし、鎖鎌の結界を作り上げた。
鎌閃奥義・乱髪(命中)(解説), 鎖鎌があらゆる方向から$(相手パイロット)を襲った。
髪(解説), $(パイロット)は束ねた髪を硬質化させて攻撃した。
バッドムーン(解説), $(パイロット)は束ねた髪を三日月形に変化させ、それに身を包みながら突撃した。
アイアンセイバー(解説), $(パイロット)は刃状に束ねた髪に乗り、地面を滑るように突撃した。
サイレントフォース(解説), $(パイロット)は髪の一部で作ったナイフを投げつけた。
ラストシェイカー(解説), $(パイロット)は髪を無数の槍に変化させて乱れ突きを放った。
ロンギヌス(解説), $(パイロット)は髪を束ねて巨大な槍を作り上げ、攻撃した。
ウィンガー(解説), $(パイロット)は髪を翼状に変化させて舞い上がった。
アイアンメイデン(解説), $(パイロット)は髪を無数の棘に変化させ、地面に突き立てた。
アイアンメイデン(命中)(解説), $(相手パイロット)は髪が変化した巨大な槍で磔にされた。
何が出るかな？(解説), $(パイロット)は懐から取り出したアイテムを投げつけた。
前からいきますよ(解説), $(パイロット)は風呂敷を被った次の瞬間、忽然と姿を消した。;と次の瞬間、突如として$(相手パイロット)の.目の前に出現したロッカーの中から現れた！？
前からいきますよ(命中)(解説), 勢い良く開かれたロッカーのドアが.$(相手パイロット)に叩きつけられた。
後ろからいきますよ(解説), $(パイロット)は風呂敷を被った次の瞬間、忽然と姿を消した。;と次の瞬間、突如として$(相手パイロット)の.背後に出現したロッカーの中から現れた！？
後ろからいきますよ(命中)(解説), 勢い良く開かれたロッカーのドアが.$(相手パイロット)に叩きつけられた。
上からいきますよ(解説), $(パイロット)は風呂敷を被った次の瞬間、忽然と姿を消した。;と次の瞬間、突如として$(相手パイロット)の.頭上から落ちてきた！？
上からいきますよ(命中)(解説), $(相手パイロット)は上空からのフライングクロスチョップを受けた。
視聴者全員サービスぅ(解説), $(パイロット)は唐突に爆弾を取り出し、爆発させたが自分も巻き込まれた。
視聴者全員サービスぅ(命中)(解説), $(相手パイロット)も爆発に巻き込まれてしまった。
刺激的絶命拳(解説), $(パイロット)は地面を泳ぎ(？)ながら、$(相手パイロット)に向かった。
