
マキシ＝レミントン
発光弾(準備), 回転投擲武器 _GetWPBN(閃光手榴弾) 32
発光弾(攻撃), 回転投擲武器 _GetWPBN(閃光手榴弾) 32 Swing.wav;ＭＡＰフラッシュ 白
発光弾(命中), -
ナイフ, ナイフ
火炎瓶(準備), 火炎瓶
火炎瓶(攻撃), 火炎瓶 Swing.wav
火炎瓶(命中), 装甲破壊 橙 Glass.wav;炎 赤
ＡＲＭ, リボルバー _GetWPBN(軍用拳銃２) 32
ＡＲＭ・ブーストアタック(準備), 射撃武器 _GetWPBN(軍用拳銃２) 32;オーラ上昇 緑
ＡＲＭ・ブーストアタック(攻撃), バスタービームライフル 緑 _GetWPBN(軍用拳銃２) 32 Gun.wav
ＡＲＭ・ブーストアタック(命中), 大ビーム 緑

花盗人ギィ
阻止(銃弾受け止め), ダミー Sword.wav 銃弾受け止め
銃床(攻撃), 斬撃
銃床(命中), 打撃
大型ハンドガン, リボルバー _GetWPBN(ショットガン) 40
大型ハンドガン連射(準備), ショットガン
大型ハンドガン連射(攻撃), 銃撃武器連射 _GetWPBN(ショットガン) 40
大型ハンドガン連射(命中), 銃弾;銃弾;銃弾

花盗人ジェチカ
スモーク(準備), トランプ
スモーク(攻撃), トランプ;ＭＡＰ煙
スモーク(命中), 煙
ワイヤー(攻撃), 斬撃;実弾発射 -.bmp 有線 Whiz.wav
ワイヤー(命中), クリティカル斬撃
体術(攻撃), 格闘
体術(攻撃), 打突
体術(攻撃), キック
体術(命中), 打撃
ダガー, クナイ
スパーク(準備), トランプ
スパーク(攻撃), ショックビーム 水色 Thunder.wav
スパーク(命中), ショックビーム 水色 Thunder.wav;放電 -.wav
フレイム(準備), トランプ
フレイム(攻撃), 火炎放射
フレイム(命中), 炎
ダガー連投(準備), -
ダガー連投(攻撃), 斬撃;連突
ダガー連投(命中), 連突

エイジ＝エリックスン
格闘(攻撃), 格闘
格闘(攻撃), 打突
格闘(攻撃), キック
格闘(命中), 打撃
麻酔弾, リボルバー
リボルバー, リボルバー

モニカ＝アルグレー
コンバットナイフ, 刺突
麻酔弾, 護身銃
デリンジャー, 護身銃

ＷＡ花盗人
###汎用###
守護獣の鍵(準備), 突く武器 _GetWPBN(ツインブレード) 64
守護獣の鍵(攻撃), 斬撃
守護獣の鍵(攻撃), なぎ払い
守護獣の鍵(攻撃), 刺突
守護獣の鍵(命中), 打撃
###花盗人／魔獣###
斧, 片刃斧
パンチ, 打突
尻尾(攻撃), 振り下ろし
尻尾(攻撃), なぎ払い
尻尾(命中), 打撃
噛み付き(攻撃), 格闘
噛み付き(命中), 噛み付き
長い身体(攻撃), 振り下ろし
長い身体(攻撃), なぎ払い
長い身体(命中), 打撃
巻き付き(攻撃), 格闘
巻き付き(命中), 立ち固め
爪, 爪撃
###解説###
ＡＲＭ・ブーストアタック(解説), $(ユニット)はＡＲＭの最大火力で攻撃をかけたッ！
