
ＡＣ(Ｎ)
CR-WR69R,　　　　　                ライフル Weapon\EFFECT_Rifle03.bmp
CR-WR73R2,　　　 　                ライフル Weapon\EFFECT_Rifle03.bmp
WR01R-SHADOW,　　　                ライフル Weapon\EFFECT_ShotGun02.bmp
CR-YWH05R3,　　　　                ライフル Weapon\EFFECT_BullpupRifle02.bmp
CR-YMR06R4,　　　　                ライフル Weapon\EFFECT_SniperRifle02.bmp
WR10R-MOLD(準備),　                ライフル Weapon\EFFECT_BoltActionRifle01.bmp
WR10R-MOLD(攻撃),　                ライフル Weapon\EFFECT_BoltActionRifle01.bmp;ライフル Weapon\EFFECT_BoltActionRifle01.bmp;ライフル Weapon\EFFECT_BoltActionRifle01.bmp
WR10R-MOLD(命中),　                ダメージ;ダメージ;ダメージ
CR-WR76RA(準備),　                 ライフル Weapon\EFFECT_NewAssaultRifle02.bmp
CR-WR76RA(攻撃),　                 ライフル Weapon\EFFECT_NewAssaultRifle02.bmp;ライフル Weapon\EFFECT_NewAssaultRifle02.bmp;ライフル Weapon\EFFECT_NewAssaultRifle02.bmp
CR-WR76RA(命中),　                 ダメージ;ダメージ;ダメージ
CR-WR84RA2(準備),　                ライフル Weapon\EFFECT_BullpupRifle01.bmp
CR-WR84RA2(攻撃),　                ライフル Weapon\EFFECT_BullpupRifle01.bmp;ライフル Weapon\EFFECT_BullpupRifle01.bmp;ライフル Weapon\EFFECT_BullpupRifle01.bmp
CR-WR84RA2(命中),　                ダメージ;ダメージ;ダメージ
WH01R-GAST(準備),　                ライフル Weapon\EFFECT_Rifle02.bmp
WH01R-GAST(攻撃),　                ライフル Weapon\EFFECT_Rifle02.bmp;ライフル Weapon\EFFECT_Rifle02.bmp;ライフル Weapon\EFFECT_Rifle02.bmp
WH01R-GAST(命中),　                ダメージ;ダメージ;ダメージ
CR-WR88RB,　　                     銃撃武器連射 Weapon\EFFECT_BullpupRifle02.bmp
WR14R-PHANTOM,　　　               銃撃武器連射 Weapon\EFFECT_Rifle03.bmp
CR-WR93RL,　　                     対物ライフル Weapon\EFFECT_BullpupRifle02.bmp 40
CR-WH05RLA(準備),　                対物ライフル Weapon\EFFECT_BullpupRifle02.bmp 40
CR-WH05RLA(攻撃),　                対物ライフル Weapon\EFFECT_BullpupRifle02.bmp 40;対物ライフル Weapon\EFFECT_BullpupRifle02.bmp 40;対物ライフル Weapon\EFFECT_BullpupRifle02.bmp 40
CR-WH05RLA(命中),　                ダメージ;ダメージ;ダメージ
