バースト・ロンド, 炎に燃える精霊たちよ、.我に従い力となれ……！;爆煙舞！

フリーズ・アロー, 空と大地を渡りしものよ、やさしき流れたゆとう水よ、.我が手に集いて力となれ……！;氷の矢！

フレア・アロー, 炎に燃える精霊たちよ、.盟約の言葉によりて、我が手に集いて力となれ……！;炎の矢！

ディル・ブランド, 大地に住まいし精霊たちよ、.盟約の言葉によりて、我に従い力となれ……！;炸弾陣！

ディグ・ヴォルト, 風よ、赤き炎よ、.我が手によりて雷となり、裁きの力を解き放て……！;雷撃破！

フリーズ・ブリッド, 全ての力の源よ、やさしき流れたゆとう水よ、.我が手に集いて力となれ……！;氷結弾！

エルメキア・ランス, 光よ、我が手に集いて閃光となり、.深淵の闇を打ち払え……！;烈閃槍！

ファイアー・ボール, 全ての力の源よ、輝き燃える赤き炎よ、.我が手に集いて力となれ……！;火炎球！

メガ・ブランド, 全ての力の源よ、母なりしこの無限の大地よ、.我に従い力となれ……！;爆裂陣！

ブラスト・アッシュ, 闇よ、集いて我に従い深淵となり、.我が前にある敵を討て……！;黒妖陣！

ダム・ブラス, 大地に住まいし精霊たちよ、.我が手に集いて力となれ……！;振動弾！

バースト・フレア, 夜の静寂を照らすもの、輝き燃える赤き炎よ、.我に従い力となれ……！;烈火球！

ダイナスト・ブラス, 大地の底に眠る野よ、凍える魂持ちたる覇王、.汝の蒼き力もて、我等の行く手を遮るものに、.我と汝が力もて、滅びと報いを与えんことを……！;覇王雷撃陣！

ガーヴ・フレア, 紅蓮の炎に燃える暗黒の竜よ、.その咆哮をもて、我が敵を焼き尽くせ……！;魔竜烈火咆！

ラグナ・ブラスト, 冥王降魔陣！

ゼラス・ブリッド, 凍れる森の奥深く、荒ぶるものを統べる王、.滅びを誘う汝の牙で、我等が道を塞ぎしものに、.我と汝が力もて、滅びと報いを与えんことを……！;獣王牙操弾！

ブラスト・ボム, 全ての力の源よ、輝き燃える赤き炎よ、.盟約の言葉によりて、我が手に集いて力となれ……！;暴爆呪！

ラグナ・ブレード, 天空のいましめ解き放たれし、.凍れる黒き虚無の刃よ、;我が力我が身となりて、.共に滅びの道を歩まん、.神々の魂すらも打ち砕き……！;神滅斬！！

