
スレイヤーズ
インバースストライク, 格闘
ショートソード,	ショートソード
フリーズ・アロー(準備), 五芒星 Charge.wav
フリーズ・アロー(攻撃), 光投射 青 Bow.wav
フリーズ・アロー(命中), 凍結
フレア・アロー(準備), 五芒星 Charge.wav
フレア・アロー(攻撃), 光投射 赤 Bow.wav
フレア・アロー(命中), 炎 赤
ディル・ブランド(準備), 五芒星 Charge.wav
ディル・ブランド, 旋風
ディグ・ヴォルト(準備), 五芒星 Charge.wav
ディグ・ヴォルト, 電撃
フリーズ・ブリッド(準備), 五芒星 Charge.wav
フリーズ・ブリッド(攻撃), 魔法放射 青 中 相手ユニットＩＤ
フリーズ・ブリッド(命中), 氷柱
エルメキア・ランス(準備), 五芒星 Charge.wav
エルメキア・ランス, 気斬 白
メガ・ブランド(準備), 五芒星 Charge.wav
メガ・ブランド, 煙 Explode(Long).wav 
ファイアー・ボール(準備), 五芒星 Charge.wav
ファイアー・ボール(攻撃), 火炎弾 Beam.wav
ファイアー・ボール(命中), 炎 赤
ブラスト・アッシュ(準備), 五芒星 黒 Charge.wav
ブラスト・アッシュ, 特殊光線 黒
ダム・ブラス(準備), 五芒星 Charge.wav
ダム・ブラス(攻撃), 気弾 黄色
ダム・ブラス(命中), ダメージ
ダイナスト・ブラス(準備), 五芒星 黒 Charge.wav
ダイナスト・ブラス, メガショックビーム
ゼラス・ブリッド(準備), 五芒星 黒 Charge.wav
ゼラス・ブリッド, ホーミングレーザー 緑
ドラグ・スレイブ(準備), 五芒星 黒;フェイスアップ 赤 Charge(high).wav
ドラグ・スレイブ, 巨大ビーム 赤
ドラグ・スレイブ<ＭＡＰ>(準備), 五芒星 黒;フェイスアップ 赤 Charge(high).wav
ドラグ・スレイブ<ＭＡＰ>(攻撃),  巨大ビーム 赤 電撃
ドラグ・スレイブ<ＭＡＰ>(命中),  巨大ビーム 赤;爆発
ブラスト・ボム(準備), 五芒星 黒 Charge.wav
ブラスト・ボム, ＭＡＰ火炎弾
ラグナ・ブレード(準備), オーラ上昇 黒
ラグナ・ブレード(攻撃), ビームソード突撃 黒
ラグナ・ブレード(命中), ハイパービームサーベル 黒;超爆発
ラグナ・ブレード<完全版>(準備), 粒子集中 黒;オーラ上昇 黒
ラグナ・ブレード<完全版>(攻撃), ビームソード突撃 黒
ラグナ・ブレード<完全版>(命中), ハイパービームサーベル 黒;連続大爆発;連続大爆発;超爆発
タリスマンブースト, オーラ上昇 黒
ギガ・スレイブ(準備), 粒子集中 黒;オーラ上昇 黒
ギガ・スレイブ(攻撃), 巨大ビーム 黒 電撃
ギガ・スレイブ(命中), 巨大ビーム 黒;連続大爆発;連続大爆発;超爆発
ギガ・スレイブブレード(準備), 粒子集中 黒;オーラ上昇 黒
ギガ・スレイブブレード(攻撃), ハイパービームサーベル 黒
ギガ・スレイブブレード(命中), 巨大ビーム 黒;超斬撃 黒;連続大爆発;連続大爆発;超爆発
ドラグ・スレイブブレード(１人用)(準備), オーラ上昇 赤
ドラグ・スレイブブレード(１人用)(攻撃), 光剣 赤
ドラグ・スレイブブレード(１人用)(命中), ライトセイバー 赤
#
金色の魔法, 超ビーム 黄
#
体当たり, タックル
石つぶて, 石
ロングソード, ソード
光の刃(ガウリイ), ニードルレーザー 青
光の刃(ガウリイ)(命中), ビームサーベル 青
光の剣(ガウリイ), 斬撃
光の剣(ガウリイ)(命中), ビームサーベル 青
光の刃(準備), ライトセイバー 青
光の刃, ニードルレーザー 青
光の刃(命中), ビームサーベル 青
光の剣, ライトセイバー 青
阻止(光の剣), 切り払い
ゴルンノヴァ(準備), オーラ上昇
ゴルンノヴァ, 光巨大剣
ドラグ・スレイブブレード(準備), オーラ上昇 赤
ドラグ・スレイブブレード(攻撃), 光剣 赤
ドラグ・スレイブブレード(命中), ライトセイバー 赤
#
ブロードソード, ソード
アストラル・ヴァイン(準備), 五芒星 Charge.wav
アストラル・ヴァイン, エナジーブレード 青
エルメキア・フレイム(準備), 五芒星 Charge.wav
エルメキア・フレイム, 波動放射 白
ゴズヴ・ロー(準備), 五芒星 黒 Charge.wav
ゴズヴ・ロー(攻撃), 地表衝撃波 黒
ゴズヴ・ロー(命中), 触手乱舞 黒
ダグ・ハウト(準備), 五芒星 Charge.wav
ダグ・ハウト(攻撃), 地表衝撃波 茶
ダグ・ハウト(命中), 石柱
ラ・ティルト(準備), 六芒星 白 Charge(high).wav
ラ・ティルト(攻撃), 魔法集中 白 相手ユニットＩＤ
ラ・ティルト(命中), 光柱
#
ホーリー・ブレス(準備), 六芒星 白 Charge.wav
ホーリー・ブレス(攻撃), ＭＡＰフラッシュ
