変幻戦忍
触角(命中), 1;Stab.wav;Stab.wav
体術(命中), Punch.wav
手甲剣(命中), Stab.wav
手光剣, 1;Bow.wav;1;Bow.wav;Bow.wav
手光剣(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
指気弾, Whiz.wav
指気弾(命中), Shock(Low).wav
空雷剣(命中), Thunder.wav
地鳴烈斬, Explode.wav
旋回空雷牙(命中), 1;Swing.wav;1;Swing.wav;1;Swing.wav;Drill.wav
空雷電導斬, Thunder.wav
空雷電導斬(命中), Explode.wav
旋風嵐竜殺, Storm.wav
旋風嵐竜殺(命中), 1;Swing.wav;1;Swing.wav;1;Swing.wav;Crash.wav
日輪翔流華(命中), BeamCoat.wav
手裏剣, 1;Bow.wav;Bow.wav
手裏剣(命中), 1;Stab.wav;Stab.wav
コンパクト手裏剣, 1;Bow.wav;1;Bow.wav;Bow.wav
コンパクト手裏剣(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
手甲内蔵型クナイ(命中), Stab.wav
風鳴嵐, 2;Swing.wav;2;Swing.wav;Swing.wav
風鳴嵐(命中), Slash.wav
五法空雷剣, Thunder.wav
機械分解(命中), MultipleRocketLauncher.wav
錫杖(命中), Punch.wav
五法招来術(命中), BeamCoat.wav
南代流流動剣(命中), Slash.wav
扇子(命中), Saber.wav
扇子投げ, Bow.wav
扇子投げ(命中), Saber.wav
サンフラワーアタック, LaserGun.wav
伸腕(命中), 3;BreakOff.wav;Shock(Low).wav
火焔咒(命中), Fire.wav


