
ベルウィックサーガ
当て身(攻撃), 振る武器突撃 -.bmp
当て身(命中), ダメージ
捨て身(攻撃), 振る武器突撃 -.bmp
捨て身(命中), 斬撃
神舞剣, スーパータックル乱舞 青
粉砕(準備), 粒子集中 赤
粉砕(攻撃), 振り下ろし WarShip.wav
粉砕(命中), 爆撃 -.wav;地面衝撃 橙 Crash.wav
連射(準備), 発光 白 Flair.wav;弓矢
連射(攻撃), 矢 Bow.wav;矢 Bow.wav
連射(命中), ダメージ Stab.wav;ダメージ Stab.wav
三連射(準備), 発光 白 Flair.wav;弓矢
三連射(攻撃), 矢 Bow.wav;矢 Bow.wav;矢 Bow.wav
三連射(命中), ダメージ Stab.wav;ダメージ Stab.wav;ダメージ Stab.wav
狙撃(準備), 弓矢
狙撃(攻撃), ロックオン;矢 Bow.wav
狙撃(命中), ダメージ Stab.wav
狙撃(石弓)(準備), クロスボウ
狙撃(石弓)(攻撃), ロックオン;矢 Bow.wav
狙撃(石弓)(命中), ダメージ Stab.wav
強弓(準備), 弓矢
強弓(攻撃), 矢 Bow.wav
強弓(命中), ダメージ Stab.wav
巫女の祈り(準備), 粒子集中 白 Whiz.wav;光噴出 白 -.wav
巫女の祈り(攻撃), ＭＡＰフラッシュ 白 Inori.wav
巫女の祈り(命中), -
巫女の祈り(クリティカル), 飛沫 白 Inori.wav
## 短剣 ##
ペーパーナイフ, ナイフ
ペーパーナイフ(攻撃), 刺突
ペーパーナイフ(命中), 刺突 Punch.wav
ダガー, ナイフ
サクス, ナイフ
シーフダガー, ナイフ
クリテカルナイフ, ナイフ
スタンナイフ, ナイフ
ソードブレイカー, ナイフ
ヴェスパ, ナイフ
ダート, ナイフ投げ
リターンダガー, ナイフ投げ
ルーンナイフ, ナイフ
クロタロス, ナイフ
カラドヴルフ, ナイフ
カラドヴルフ(攻撃), 連斬撃
カラドヴルフ(命中), 連斬撃
エアナイフ, ナイフ
エアナイフ(命中), 斬撃 Saber.wav;連続描画 Anime\Slash\EFFECT_SlashLineSide(White)[01-04].bmp 32 1.2 1 -.wav 方向判定;連続描画 Anime\Slash\EFFECT_SlashLine(White)[01-04].bmp 32 1.2 1 -.wav 方向判定
ブラッドナイフ, ナイフ
ブラッドナイフ(命中), 黒斬撃;ディレイ 2;@戦闘アニメ_オーラ上昇準備 黒 Fold.wav
ボルトナイフ, ナイフ
ボルトナイフ(攻撃), 振り上げ
ボルトナイフ(命中), 斬撃;放電
ナルコーゼ, ナイフ
ナルコーゼ(命中), 斬撃 Saber.wav;連続描画 Anime\Slash\EFFECT_SlashLineSide(White)[01-04].bmp 32 1.2 1 -.wav 方向判定;連続描画 Anime\Slash\EFFECT_SlashLine(White)[01-04].bmp 32 1.2 1 -.wav 方向判定
ポイズンダガー, ナイフ
スリープダガー, ナイフ
アサシンダガー, ナイフ
アサシンダガー(命中), 黒斬撃
## 剣 ##
レイピア, レイピア
センシュアル, レイピア
ブロンズソード, 銅剣
ショートソード, ショートソード
ロングソード, 剣
キルブレード, 日本刀
ブロードソード, ソード
ナイトソード, ソード突撃
ナイトソード(命中), 連斬撃
ミスリルソード, 鋼剣
クリームヒルト, ソード
アバランチソード, ソード
アバランチソード(命中), 斬撃 Saber.wav;連続描画 Anime\Slash\EFFECT_SlashLineSide(White)[01-04].bmp 32 1.2 1 -.wav 方向判定;連続描画 Anime\Slash\EFFECT_SlashLine(White)[01-04].bmp 32 1.2 1 -.wav 方向判定
サンダーソード, 金剣
サンダーソード(命中), 雷斬撃
ファイアーソード, 炎剣
イグニートソード, 炎剣
イグニートソード(命中), 炎斬撃;連続大爆発 2
デヴァインソード, ソード
デヴァインソード(命中), 炎斬撃 白 Saber.wav
カリスソード, 振る武器 Weapon\EFFECT_FlambergeRapier1H01.bmp
カリスソード(命中), 斬撃
カトラス, カトラス
オーバカトラス, カトラス
ラーゼタール, 風剣
ラーゼタール(命中), 斬撃;ディレイ 2;@戦闘アニメ_オーラ上昇準備 緑 Charge.wav
ロードグラム, 銀剣突撃
ロードグラム(命中), 連斬撃
ロードグラム(命中), 刺突 Slash.wav;斬撃
サクシード(準備), @戦闘アニメ_飛沫 白 対象ユニットＩＤ EvilEye.wav;2;神剣
サクシード(攻撃), 連続描画 Anime\Slash\EFFECT_SlashLineSide(White)[01-04].bmp 32 1.2 1 Swing.wav 方向判定
サクシード(命中), 連続描画 Anime\Slash\EFFECT_SlashLineSide(White)[01-04].bmp 64 1.2 1 Saber.wav 方向判定;超斬撃 白 -.wav
神剣ヴリトラ, 竜剣突撃
神剣ヴリトラ(命中), クリティカル斬撃
神剣ヴァジラ, 日本刀
神剣ヴァジラ(攻撃), スーパータックル 黒 Whiz.wav;@戦闘アニメ_転移 -.wav
神剣ヴァジラ(命中), 黒斬撃
神剣ヴァジラ(命中), 光斬撃 黒 中 Slash.wav
神剣ヴァジラ(命中), 光振り上げ 黒 中 Slash.wav
神剣ヴァジラ(命中), 光なぎ払い 黒 中 Slash.wav
妖刀アルバトロス, 妖刀
妖刀アルバトロス(攻撃), 黒斬撃 BeamSaber.wav
妖刀アルバトロス(命中), 斬撃;@戦闘アニメ_粒子集中準備 黒 Whiz.wav;自爆斬撃
バスタードソード, 大剣
バスタードソード(攻撃), 円弧斬撃
バスタードソード(命中), 大斬撃
グレートソード, 振る武器 Weapon\EFFECT_GreatSword02.bmp
グレートソード(攻撃), 円弧斬撃
グレートソード(命中), 大斬撃
馬殺刀, 大剣
馬殺刀(命中), 大斬撃
アドラスティア, 振る武器突撃 Weapon\EFFECT_GreatSword02.bmp
アドラスティア(命中), @戦闘アニメ_円弧斬撃攻撃;大斬撃
バルムンク, 聖大剣
バルムンク(攻撃), 横大斬撃
バルムンク(命中), 横大斬撃
ツヴァイハンダー, 大剣
ツヴァイハンダー(攻撃), 横大斬撃;円弧斬撃
ツヴァイハンダー(命中), 横大斬撃;大斬撃
ブリムランガー, 巨大剣突撃
ブリムランガー(命中), 大斬撃;横大斬撃;唐竹割り
## 槍 ##
ハンドスピア, 和槍
パイク, パイク
ライトスピア, 和槍
ニードルスピア, スピア
ハープーン, さす又
スピア, スピア
ロングスピア, パイク
ミスリルスピア, スピア
工房試作槍, スピア
カエルムスピア, 方天戟突撃(突)
カエルムスピア(命中), ダメージ 青 Stab.wav;大刺突
ハルバード, ハルバード
フォーク, トライデント
ヒートフォーク, トライデント
ヒートフォーク(命中), 刺突;連続爆発 2
バトルフォーク, トライデント
ガルフォーク, トライデント
旧式帝国槍, スピア
王国正式槍, スピア
帝国正式槍, スピア
ヴォータンの槍・投擲, 投げ槍
ヴォータンの槍, スピア
ブリューナク, 竜騎槍
ピランザー, 投げ槍
ピラム, 投げ槍
ジャベリン, 投げ槍
エウシュプロネ, スピア
エウシュプロネ(命中), 刺突;放電
ウインドスピア,	十字槍
ウインドスピア(命中), 刺突;強風
フォラージュ, スピア
フォラージュ(命中), 刺突 -.wav;ダメージ Stab.wav
ランス, ランス突撃
ハロースランス, ランス突撃
ヘヴィランス, ランス突撃
オクスタン, 突く武器突撃 Anime\Weapon\EFFECT_KnightLance01.bmp 64
ドラゴンランス, ランス突撃
## 斧 ##
つるはし, ピック
シザーアクス, トマホーク
バトルソウ, トマホーク
ライトアクス, 片刃斧
ウォーピック, ウォーハンマー
ウォーピック(命中), ダメージ Punch.wav
ウッドアクス, トマホーク
ブロードアクス, 鋼の斧
バンデッドアクス, 両刃斧
バトルアクス, 両刃斧
破盾の斧, ウォーハンマー
破盾の斧(命中), ダメージ Crash.wav
ハンマーアクス, ウォーハンマー
ハンマーアクス(命中), 爆撃 Cannon.wav
ミスリルアクス, 銀の斧
バーバリーアクス, バルディッシュ
グレートアクス, 振る武器 Weapon\EFFECT_LongDoubleAx01.bmp 48
グレートアクス(命中), 唐竹割り
カーリーアクス, 呪斧
旧式帝国斧, 片刃斧
王国正式斧, 片刃斧
帝国正式斧, 片刃斧
馬殺の斧, 振る武器 Weapon\EFFECT_LongAx01.bmp 48
馬殺の斧(命中), 唐竹割り
ディフェンザー, 振る武器 Anime\Weapon\EFFECT_VikingAx01.bmp 48
ディフェンザー(攻撃), 斬撃
ディフェンザー(命中), 大斬撃
攻撃無効化(ディフェンザー), シールド防御 Anime\Weapon\EFFECT_VikingAx01.bmp 48 Walk(Robot).wav - ディフェンザー
熱砂の斧, 振る武器 Weapon\EFFECT_FireAx01.bmp
熱砂の斧(命中), 斬撃;大爆発
氷河の斧, 銀の斧
氷河の斧(命中), 斬撃;音再生 Transform.wav;風 -.wav
雷雲の斧, 金の斧
雷雲の斧(命中), 斬撃;放電
ダークアクス, 鋼の斧
ダークアクス(命中), 斬撃;煙 Chaff.wav
サンダーアクス, 金の斧
サンダーアクス(命中), ダメージ Crash.wav;放電
トールハンマー(ＢＷＳ), 金の斧
トールハンマー(ＢＷＳ)(命中), ダメージ Crash.wav;電撃
ハンドアクス, トマホーク投擲
ハチェット, トマホーク投擲
フランシスカ, 片刃斧投擲
トマホーク・投擲, トマホーク投擲
トマホーク, トマホーク
グルヴェイグ・投擲, 鋼の斧投擲
グルヴェイグ, 鋼の斧
タバルジン, 鋼の斧
タバルジン(命中), 大斬撃
ブージ, 振る武器 Weapon\EFFECT_LongAx01.bmp 48
ブージ(攻撃), 円弧斬撃
ブージ(命中), 唐竹割り
マオザウルフ, 振る武器突撃 Weapon\EFFECT_LongAx01.bmp 48
マオザウルフ(命中), 唐竹割り;横大斬撃;大斬撃
粉砕ハンマー, 大金槌
ギガースアクス(準備), 振る武器 Weapon\EFFECT_GreatHalberd01.bmp 48
ギガースアクス(攻撃), 連続描画 Anime\Slash\EFFECT_SlashLine[01-04].bmp 64 3.2 1 AntiShipMissile.wav 方向判定
ギガースアクス(命中), 大斬撃
## 弓 ##
手弓, 弓矢
ライトボウ, 弓矢
ショートボウ, 弓矢
ロングボウ, 弓矢
アポロの弓, 弓矢
コンジットボウ, 和弓
シルフボウ, 弓矢
パワーボウ, 弓矢
パワーボウ(命中), ダメージ Stab.wav
グレートボウ, 弓矢
グレートボウ(命中), ダメージ Stab.wav
旧式帝国弓, 弓矢
帝国正式弓, 弓矢
王国正式弓, 弓矢
速射手弓, 弓矢
速射手弓(攻撃), 弓矢;弓矢
速射手弓(命中), 刺突;刺突
三連射弓, 弓矢
三連射弓(攻撃), ;_
手持ち発射 Anime\Weapon\EFFECT_Bow00.bmp 32 対象ユニットＩＤ Anime\Bullet\EFFECT_Arrow01.bmp 32 Bow.wav 速;_
手持ち発射 Anime\Weapon\EFFECT_Bow00.bmp 32 対象ユニットＩＤ Anime\Bullet\EFFECT_Arrow01.bmp 32 Bow.wav 速;_
手持ち発射 Anime\Weapon\EFFECT_Bow00.bmp 32 対象ユニットＩＤ Anime\Bullet\EFFECT_Arrow01.bmp 32 Bow.wav 速;_
三連射弓(命中), 刺突;刺突;刺突
聖弓ロスヴァイセ, 弓矢
聖弓ロスヴァイセ(命中), 刺突 -.wav;点打 Stab.wav
魔弓アペイロン, 弓矢
魔弓アペイロン(命中), 刺突 Stab.wav;放電 -.wav
セレニアの弓, 弓矢
セレニアの弓(命中), 刺突 -.wav;斬撃 Stab.wav
パスカニオン, 弓矢
パスカニオン(命中), 刺突;連続大爆発 3 Breath.wav;Null.wav
## 石弓 ##
ボウガン, クロスボウ
ライトクロスボウ, クロスボウ
クロスボウ, クロスボウ
スナイパーボウ, クロスボウ
ヘヴィクロスボウ, クロスボウ
アーバレスト, クロスボウ
旧式帝国石弓, クロスボウ
王国正式石弓, クロスボウ
帝国正式石弓, クロスボウ
リピータボウ, クロスボウ
リピータボウ(攻撃), センタリング Reload(2).wav
リピータボウ(命中), 連続描画 Anime\Hit\EFFECT_DamageN[01-05].bmp 64 0.5 2 Stab.wav
ガトリングボウ, クロスボウ
ガトリングボウ(攻撃), センタリング Reload(2).wav
ガトリングボウ(命中), 連続描画 Anime\Hit\EFFECT_DamageN[01-05].bmp 64 0.5 4 Stab.wav
ブレンクロスボウ, クロスボウ
ブレンクロスボウ(攻撃), センタリング Reload(2).wav
ブレンクロスボウ(命中), 連続描画 Anime\Hit\EFFECT_DamageN[01-05].bmp 64 0.5 4 Stab.wav
オティヌスの弩, クロスボウ
オティヌスの弩・速射, クロスボウ
ホークアイ, クロスボウ
ホークアイ(命中), 点打 Stab.wav
## バリスタ ##
旧式バリスタ(準備), センタリング Reload(2).wav
旧式バリスタ, Bow.wav
旧式バリスタ(命中), ダメージ Cannon.wav
バリスタ(準備), センタリング Reload(2).wav
バリスタ, Bow.wav
バリスタ(命中), ダメージ Cannon.wav
重バリスタ(準備), センタリング Reload(2).wav
重バリスタ, Bow.wav
重バリスタ(命中), ダメージ Cannon.wav
ドーラ(準備), センタリング Reload(2).wav
ドーラ, Bow.wav
ドーラ(命中), ダメージ Cannon.wav
スコーピオン(準備), センタリング Reload(2).wav
スコーピオン, Bow.wav
スコーピオン(命中), ダメージ Cannon.wav
## 矢 ##
致命の矢・４連射, クロスボウ
致命の矢・４連射(攻撃), センタリング Reload(2).wav
致命の矢・４連射(命中), 連続描画 Anime\Hit\EFFECT_DamageN[01-05].bmp 64 0.5 4 Stab.wav;放電
破盾の矢(石弓), クロスボウ
スナイプアロー・２連射, 弓矢;弓矢
スナイプアロー(石弓), クロスボウ
雷神の矢, 弓矢
雷神の矢(命中), 刺突;放電
雷神の矢(石弓), クロスボウ
雷神の矢(石弓)(命中), 刺突;放電
雷神の矢・４連射, クロスボウ
雷神の矢・４連射(攻撃), センタリング Reload(2).wav
雷神の矢・４連射(命中), 連続描画 Anime\Hit\EFFECT_DamageN[01-05].bmp 64 0.5 4 Stab.wav;放電
## 炎魔法 ##
ファイアー(準備), オーラ上昇 赤 FlyBy(High).wav
ファイアー(攻撃), 魔法放射 赤 Whiz.wav;2;火炎弾 Cannon.wav
ファイアー(命中), 大爆発;1;炎
ヘルファイアー(準備), オーラ上昇 赤 FlyBy(High).wav
ヘルファイアー(攻撃), 魔法放射 赤 Whiz.wav;2;実弾発射 Anime\Fire\EFFECT_FlameThrowerHit(Red)06.bmp 40 Bazooka.wav
ヘルファイアー(命中), 炎;粒子集中 赤 -.wav;連続大爆発 3
アースブレイズ(準備), オーラ上昇 赤 FlyBy(High).wav
アースブレイズ(攻撃), 魔法放射 赤 Whiz.wav
アースブレイズ(命中), 光噴出 Breath.wav;連続爆発 3;大爆発
パラスレイア(準備), オーラ上昇 赤 FlyBy(High).wav;炎
パラスレイア(攻撃), 魔法放射 赤 Whiz.wav
パラスレイア(命中), 大光柱 赤 Breath.wav;超爆発 Explode(Nuclear).wav
## 雷魔法 ##
サンダー(準備), オーラ上昇 紫 FlyBy(High).wav
サンダー(攻撃), 魔法放射 紫 Whiz.wav
サンダー(命中), @戦闘アニメ_落雷攻撃
ライトニング(準備), オーラ上昇 紫 FlyBy(High).wav
ライトニング(攻撃), 魔法放射 紫 Whiz.wav
ライトニング(命中), ショックビーム 紫 ThunderBolt.wav
ブレンサンダー(準備), オーラ上昇 紫 FlyBy(High).wav
ブレンサンダー(攻撃), 魔法放射 紫 Whiz.wav
ブレンサンダー(命中), 粒子集中 紫 Whiz.wav;@戦闘アニメ_落雷攻撃;@戦闘アニメ_落雷攻撃
