宇宙大帝
フィンガーニードル,                   MachineGun.wav
スピンソーサー,                       2;Swing.wav;2;Swing.wav
スピンソーサー(命中),                 Drill.wav
ゴッドストリングス,                   2;BeamSaber.wav;Whip.wav
ゴッドストリングス(命中),             Whip.wav
トマホーク二段十字打ち,               2;Swing.wav;Swing.wav
トマホーク二段十字打ち(命中),         2;Swing.wav;2;Slash.wav;Slash.wav
シグマブレスト唐竹割り,               4;Beam.wav
シグマブレスト唐竹割り(命中),         2;BeamCoat.wav;Slash.wav
ビッグウィング,                       18;FlyBy.wav;Crash.wav
リベットガン,                         MachineGun.wav
クウライカッター,                     2;Sword.wav;2;Sword.wav;2;Sword.wav;2;Sword.wav
クウライカッター(命中),               2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
クウライショット,                     BeamShot.wav
カイメイネット,                       Whiz.wav
ダブルチェーン,                       3;Swing.wav;2;Swing.wav;1;Swing.wav
ダブルチェーン(命中),                 Punch(2).wav
アイスブリザード(クリティカル),       Glass.wav
アタックドリル,                       Drill.wav
アタックドリル(命中),                 Drill.wav
