
デビルサマナー
練気の剣, Swing.wav
練気の剣(命中), Stab.wav
練気の剣(クリティカル), Shock(Low).wav
練気の剣(光剣), BeamSaber.wav
練気の剣(光剣)(命中), Saber.wav
練気の剣(光剣)(クリティカル), Shock(Low).wav
剣光, Beam.wav
神剣草薙, Swing.wav
神剣草薙(命中), Stab.wav
神剣草薙(クリティカル), Shock(Low).wav
火炎剣風, 2;Swing.wav;Fire.wav
火之迦具土, Swing.wav
火之迦具土(命中), 2;Stab.wav;Fire.wav
火之迦具土(クリティカル), Shock(Low).wav
真・火之迦具土, Swing.wav
真・火之迦具土(命中), 2;Stab.wav;Shock(Low).wav
真・火之迦具土(クリティカル), MicroMissile.wav

デビルバスター
アギラオ, Fire.wav
マハラギオン, 2;Fire.wav;2;Fire.wav;2;Fire.wav;Fire.wav
マハーブフ, 1;Bow.wav;1;Bow.wav;1;Bow.wav
マハーブフ(命中), 1;Flair.wav;1;Flair.wav;1;Flair.wav
リムドーラ, Storm.wav
ジオンガ, Thunder.wav
マハジオンガ, 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;Thunder.wav
メギド(準備), Charge.wav
メギド, Explode(Nuclear).wav
ディアラマ, Sharara.wav
メディアラハン, 2;Sharara.wav;3;Sharara.wav;3;Sharara.wav
パトラ, Sharara.wav

悪魔
鬼神の一撃, Swing.wav
鬼神の一撃(命中), Punch.wav
鬼神の一撃(クリティカル), Shock(Low).wav
武神の連撃, 1;Swing.wav;1;Swing.wav;Swing.wav
武神の連撃(命中), Combo.wav
武神の連撃(クリティカル), FastGun.wav
小妖精の一撃, Swing.wav
小妖精の一撃(命中), Punch.wav
小妖精の一撃(クリティカル), Shock(Low).wav
精霊の一撃, Swing.wav
精霊の一撃(命中), Punch.wav
精霊の一撃(クリティカル), Shock(Low).wav
第三の眼, Glass.wav
メギド・アーク(準備), Charge.wav
メギド・アーク, 2;Thunder.wav;2;Thunder.wav;Thunder.wav;Explode(Nuclear).wav
降魔調伏(準備), Charge.wav
降魔調伏, 2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;Explode(Nuclear).wav
マハラギストーン, Swing.wav
マハラギストーン(命中), Fire.wav
マハブフストーン, Swing.wav
マハブフストーン(命中), Flair.wav
マハジオストーン, Swing.wav
マハジオストーン(命中), Thunder.wav
マハラギダイン, 2;Fire.wav;2;Fire.wav;2;Fire.wav;2;Fire.wav;Fire.wav
ブフダイン, Bow.wav
ブフダイン(命中), Flair.wav
マハブフーラ, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
マハブフーラ(命中), 1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav
マハブフダイン, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
マハブフダイン(命中), 1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav
ガル, Saber.wav
ザン, AntiAirMissile.wav
ザン(命中), Bazooka.wav
ザンマ, AntiAirMissile.wav
ザンマ(命中), Bazooka.wav
ザンダイン, AntiAirMissile.wav
ザンダイン(命中), Bazooka.wav
マハザン, 2;AntiAirMissile.wav;2;AntiAirMissile.wav;AntiAirMissile.wav
マハザン(命中), 2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
マハザンマ, 2;AntiAirMissile.wav;2;AntiAirMissile.wav;2;AntiAirMissile.wav;AntiAirMissile.wav
マハザンマ(命中), 2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
マハザンダイン, 2;AntiAirMissile.wav;2;AntiAirMissile.wav;2;AntiAirMissile.wav;2;AntiAirMissile.wav;AntiAirMissile.wav
マハザンダイン(命中), 2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
マハグラダイン, 2;BeamSaber.wav;2;BeamSaber.wav2;BeamSaber.wav;2;BeamSaber.wav;BeamSaber.wav
ジオ, Thunder.wav
ジオンガ, Thunder.wav
マハジオンガ, 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;Thunder.wav
マハジオダイン, 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;Thunder.wav
ハマオン, 2;Whiz.wav;Whiz.wav
マハンマ, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
メギドラオン(準備), Charge.wav
メギドラオン, Explode(Nuclear).wav
バインドボイス, Charge(long).wav
パニックボイス, Charge(long).wav
タルカジャ, BeamCoat.wav
テトラカーン, BeamCoat.wav
ディア, Sharara.wav
ディアラマ, Sharara.wav
パトラ, Sharara.wav
リフトマ, FlyBy.wav
噛み付き, Stab.wav
体当たり, Crash.wav
暴れまくり, Combo.wav
押し潰し, Crash.wav
メガトンプレス, Crash.wav
毒引っ掻き, Saber.wav
飛び蹴り, Swing.wav
ヒートウェイブ, 3;Saber.wav;Stab.wav
