ＧＢＷ
ガンスモーク, 2;Gun.wav;2;Gun.wav;7;Gun.wav;8;Wind.wav
格闘(命中), Punch(2).wav
リボルバーグリップ, 2;Swing.wav
リボルバーグリップ(命中), Punch.wav
コルトSAA(命中), Explode.wav
ファニング, 2;Gun.wav;2;Gun.wav;2;Gun.wav
ファニング(命中), 1.5;Explode.wav;1.5;Explode.wav;1.5;Explode.wav
零距離射撃, 2;Gun.wav;2;Gun.wav;2;Gun.wav
零距離射撃(命中), 1.5;Explode.wav;1.5;Explode.wav;1.5;Explode.wav
ロープテクニック, 2;Swing.wav;2;Swing.wav
ロープテクニック(命中), Whip.wav
ロープスペシャル, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
ロープスペシャル(命中), 2;Bow.wav;2;Bow.wav;2;Bow.wav;3;Bow.wav;7;Punch(4).wav
スローイングナイフ, 3;Bow.wav
スローイングナイフ(命中), Stab.wav
SLスローイングナイフ, 2;Bow.wav;2;Bow.wav
SLスローイングナイフ(命中), 2;Stab.wav;2;Stab.wav
ドリルロック(命中), 4;Drill.wav
リストナイフ, 3;Bow.wav
リストナイフ(命中), Stab.wav
拳銃(命中), Explode.wav
火炎ビン, Fire.wav
火炎ビン(命中), Explode.wav
ファイアブリッツ, 10;Fire.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav
ファイアブリッツ(命中), Explode.wav
ポケットショットガン(命中), Explode.wav
ショットガン(命中), Explode.wav
１２連ショットガン(命中), Explode.wav
アイアンシールドピストル(命中), Explode.wav
ダッシュローラースパー, 6;Whiz.wav;2;Swing.wav
ダッシュローラースパー(命中), Slash.wav
ローラースパー, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
ローラースパー(命中), Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
ジャイアントカッター, Swing.wav
ジャイアントカッター(命中), Slash.wav
スタンガン, Swing.wav
スタンガン(命中), Thunder.wav
マイクロキャノン(命中), 1.5;Explode.wav;1.5;Explode.wav
フレイムスローワー, Fire.wav
フレイムスローワー(命中), Explode.wav
ガン・ザック, 2;Type.wav;12;Jet.wav
ガン・ザック(命中), Crash.wav
ジャンプ(ガン・ザック), 2;Type.wav;12;Jet.wav 
