
源氏
###########  武蔵坊弁慶  ##########
飛礫兜割り, EvilEye.wav
飛礫兜割り(命中), Glass.wav
冠笛羅漢(命中), FastGun.wav
阿仁王剛掴, Swing.wav
阿仁王剛掴(命中), Crash.wav
必殺・竜巻斬, 「必殺・竜巻斬！！」;Swing.wav
必殺・竜巻斬, Swing.wav
必殺・竜巻斬(命中), Slash.wav
滅殺・神風陣, Swing.wav
滅殺・神風陣, 「滅殺・神風陣！！」;Swing.wav
滅殺・神風陣(命中), Slash.wav
飛礫兜割り(解説), $(パイロット)は強烈な破棄力のつぶての嵐を放った。
阿仁王剛掴(解説), $(パイロット)は渾身の一撃を叩き込んだ。
###########  源九羅香  ##########
火鼠十刻殺, Fire.wav
天狗乃舞(命中), Slash.wav
奥義・瞑想螺旋, Beam.wav
奥義・瞑想螺旋(命中), Explode.wav
秘剣・一騎刀閃, 2;Swing.wav;Swing.wav
秘剣・一騎刀閃(命中), 2;Slash.wav;Slash.wav
###########  佐藤紅葉  ##########
佐藤家鉾術, Swing.wav
佐藤家鉾術(命中), stab.wav
砕慈雷母情, Thunder.wav
仏頂封印, AntiAirMissile.wav
仏頂封印(命中), Crash.wav
桜花七舞扇, 
竜樹萌牙, Whiz.wav
竜樹萌牙(命中), Whip.wav
竜樹萌牙(解説), $(パイロット)は森の王の力を鉾に乗せ、天界の植物を呼び出した。
###########  静御前  ##########
舞踊扇, Swing.wav
舞踊扇(命中), Slash.wav
万物六徳圧縮法(命中), Shock(Low).wav
神舞, Sharara.wav
神舞(解説), $(パイロット)は妖しくも美しい舞を舞った。
###########  那須与一  ##########
金剛の三矢, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1
金剛の三矢, 「金剛！！」;1;Bow.wav;1;Bow.wav;1;Bow.wav;1
金剛の三矢, 「金剛の三矢！」;1;Bow.wav;1;Bow.wav;1;Bow.wav;1
金剛の三矢(命中), Stab.wav;1;Stab.wav;6;Stab.wav;1
夢想の一矢(準備), Charge.wav
夢想の一矢, 「夢想の一矢！」;Bow.wav
夢想の一矢, 「はっ！！」;Bow.wav
夢想の一矢, Bow.wav
夢想の一矢(命中), Stab.wav
滋藤の弓(解説), $(パイロット)は矢を放った。
金剛の三矢(解説), $(パイロット)は三本の矢を同時に放った。
夢想の一矢(解説), $(パイロット)は空間をも切り裂く必殺必中の一矢を放った。
###########  伊勢玲奈  ##########
伊勢流体術(命中), Combo.wav
忍法・水鏡の術, 「忍法・水鏡の術！！」
忍法・水鏡の術, -
忍法・水鏡の術(命中), Combo.wav
忍法・仙鳴猫丹(準備), Cat.wav
忍法・仙鳴猫丹(命中), Combo.wav
忍法・水鏡の術(解説), 多重分身した$(パイロット)が一斉に攻撃をかけた。
忍法・仙鳴猫丹(解説), $(パイロット)は忍ネコの力を集め一気に攻撃をかけた。
###########  佐藤楓  ##########
源九郎狐, Whiz.wav
源九郎狐(命中), Punch.wav
呉石呪術, Whiz.wav
呉石呪術(命中), Explode.wav
九尾の狐(命中), Stab.wav
