
アロウン(精霊)(Ｔ３)
アロウン, LFT3_Arawn(Spirit).bmp
#  堕天する前のアロウン。カンディド後など。

リムリス(Ｔ３)
リムリス, LFT3_Limwris.bmp
#  アヴァロンの管理をしていた家付き妖精。妻四号。
#  穏やかで優しく、エルミンを妹のように可愛がっている。
#  家事万端をそつなくこなし、お茶会やピクニックをするのが大好き。

エルミン(Ｔ３)
エルミン, LFT3_Ermin.bmp
#  家付き妖精見習い。妻六号。
#  リムリスに付いて一緒に仕事をしているがいたずらばかり目立っている。
#  素直だが、おっちょこちょいのあわてんぼう。
#  アロウンとプィルの冒険を絵本にしている。

エポナ(Ｔ３)
エポナ, LFT3_Epona.bmp
#  道具屋グッドピープルを営んでいる。妖精にさん付けしないと怒る。
#  商魂たくましく、よく分からないものを売りつける。行商もしていた。
#  タリエシンに付きまとわれているが、口で言うほど嫌がっていない。わりとおもちゃ。

スラティ(Ｔ３)
スラティ, LFT3_Suraty.bmp
#  ラスティの変装。

ベビードラゴン(Ｔ３)
ベビードラゴン, LFT3_BabyDragon.bmp
#  コーラス山で孵化したドラゴンの幼生。
#  最初に見たタリエシンになついた。

ミルディン(Ｔ３)
ミルディン, LFT3_Merlin.bmp
#  １２精霊の一人。１２精霊の中にあって異端な存在であり、
#  自分たちの存在を否定していたため不老ではなくなり老い始めていた。
#  アロウンを引き取り、息子として育てる。

プリムラ(Ｔ３)
プリムラ, LFT3_Purimura.bmp
#  １２精霊が世界を雪で覆ったとき、
#  洞窟の中で唯一生き残っていた人間の女の子。

プィル(Ｔ３)
プィル, LFT3_Pwyll.bmp
#  妖精王。１２精霊の神の重力による粛清を、妖精族の運命と受け入れていたが
#  アロウンと出会い、１２精霊と共に戦うことを決意する。

ドルウク(ゾンビ)(Ｔ３)
ドルウク, LFT3_Drwc(Zombie).bmp
#  リーフの塔で復活したドルウク。

クレオン(通常)(Ｔ３)
クレオン, LFT3_Cleon(N).bmp
#  戦闘前のパイロット画像。


#  アロウン
#
#  本編の主人公。
#  元は「１２精霊」の１３番目・忌数として生まれたが、袂を分かち駄天する。
#  妖精王プィルと共に１２精霊と戦い勝利するが、
#  自身は神の戦車メルカディスにより命を奪われる。
#  いつしか魔王と呼ばれるようになり、世界の破滅をもくろむドルウクによって復活するが、
#  リアンノンを救ってゲールの族長となる。
#  ニヒルな風貌・性格だがそのくせハクオロを凌駕するほどのハーレム男。

#  アルサル
#
#  本編もう一人の主人公。
#  ゲールの族長の息子で、妖精王プィルの子孫。リアンノンの兄。
#  誓約のためなら命も投げ出しかねない、一本気で勇気を尊ぶ。
#  幼くして孤児となり、妹を養いながらゲール一の戦士として成長する。
#  基本的に妹大好きの駄目兄貴で、妹のためにも命を投げ出しかねない。
#  一途で単純で頑固なバカキャラのため他のキャラにいじられまくっている。

#  リアンノン
#
#  アルサルの妹。神託の巫女。
#  両親を早くに亡くした為、兄アルサルに育てられる。
#  アロウン復活の為、帝国司祭に生贄として捧げられそうになる。
#  アロウンとアルサルの戦闘を止めるために
#  アロウンをゲール族の族長にしてしまい妻となる。

#  オガム
#
#  アロウンの参謀。竜族の生き残りである。
#  ミルディンと付き合いがあり、ミルディンを継いだアロウンに従う。
#  アロウンの死後は大賢者として暮らしていたが、アロウン復活の際ドルウクに招かれる。
#  復活後はアロウンに従い適切な助言をする。
#  割とおちゃめなじいさんだが、時にはアルサルを叱ったりもする。
#  実は「黄金のウワバミ」といわれるほどのザルであったり、
#  腕っ節がめちゃくちゃ強かったりと謎な爺さん。

#  モルガン
#
#  アルサルの配下。妻二号。ゲール族の中ではアルサルに次いで強い。
#  エリン島脱出の際に船の見張りを任せられるが奪われ、
#  死刑のところをアロウンが救ったため、なし崩し的に妻になる。
#  かなりおおざっぱで、あっけらかんとした性格である。

#  スィール
#
#  アザラシ妖精。妻三号。アロウン復活を聞いてアヴァロンに奉公にやってきたが、
#  干していたアザラシの皮をアロウンに焼かれてしまい、
#  アザラシ妖精の掟にしたがってアロウンの妻となる。
#  不幸キャラ（どじっ娘属性）で、なにをやってもうまくいかない。

#  ラスティ
#
#  鉱山妖精。大きなハンマーで大穴を掘ったり岩を砕く。
#  鉱山妖精は優れた鍛冶屋であり、良質の武具を鍛え上げる。
#  本人は金物の修理の方が好きなようでアロウンにプライドが足りないと叱られている。

#  オクタヴィア
#
#  帝国の女戦士。妻五号。帝国貴族の中でも高名な武人の家系であり、
#  戦士としてのプライドが高く、その強さは帝国の中でも屈指である。
#  没落した家の再興に軍に入っていたが、ひょんなことからアロウンに拾われる。

#  タリエシン
#
#  ブリガンテス族の族長の息子で、自称放蕩息子。
#  吟遊詩人で、諸国を回っている。ブリガンテス族長に関する予言を恐れている。
#  飄々としているが剣の腕もなかなかのもの。

#  ドルウク
#
#  魔王アロウンを復活させた神聖帝国主席司祭。
#  帝国の方針に逆らい魔王を復活させ世界を支配しようと企む。
#  結構な実力があったはずだがイベントで死に実際に戦うことはない。

#  ガイウス
#
#  神聖帝国の将軍。序盤から中盤・後半にかけての敵。
#  肩書きは準執政官にしてアルビオン方面司令官。
#  非常な野心家であり、帝国の神権国家化には苦い思いをしている。
#  現実主義者で有能な将軍。

#  クレオン
#
#  ロンディニウム市長、その実は帝国の上級神官。
#  アロウンたちをオベリスクの罠にかけて倒そうとした。

#  レクトール
#
#  １２精霊の一人。ラスボス。
#  他の精霊が出てこないのは仕様です。

