改造人間
カガミ爆弾, Beam.wav
スカイアームドロップ(命中), Punch.wav
スカイターボダッシュ(命中), Crash.wav
スカイターボダッシュ, Bike.wav
スカイドリル(命中), Punch.wav
スカイフライングソーサー(命中), Punch.wav
ハンマー投げ(命中), Swing.wav
ベアハッグ(命中), BreakOff.wav
メガホン殺人音波, Siren.wav
ライダーブレイク(命中), Crash.wav
ライダーブレイク, Bike.wav
河童巻責め, Whiz.wav
噛みつき殺人音波(命中), 3;Punch.wav;3;Siren.wav
鬼光線, BeamCoat.wav
殺人音波, Siren.wav
三点ドロップ(命中), 3;Punch.wav;3;Punch.wav;3;Punch.wav
大車輪突き(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav
大車輪突き, 10;Swing.wav;9;Swing.wav;8;Swing.wav;7;Swing.wav;6;Swing.wav;5;Swing.wav;4;Swing.wav;3;Swing.wav;2;Swing.wav;1;Swing.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav
蔦(命中), Whip.wav
必殺飛び石砕き(命中), Punch.wav
