バーチャロイド
ソードウェーブ, Saber.wav
スパイラルショット, Beam.wav;5;Beam.wav
ソードスティング(命中), Saber.wav
グライディング・ラム, BeamSaber.wav
ホーミングビーム, Beam.wav
７Ｗａｙミサイル, MultipleRocketLauncher(Light).wav
ナパーム(命中), Explode(Small).wav;8;Explode(Small).wav;8;Explode(Small).wav
ソニックリング, Saber.wav
ビームショットガン, Rifle.wav
ビームトンファー(命中), Saber.wav;7;Saber.wav
ファイヤーボール, MultipleRocketLauncher.wav
ファランクス, MultipleRocketLauncher.wav;9;Explode(Small);3;Explode(Small);3;Explode(Small);3;Explode(Small)
メガスピンハンマー, Whiz;8;Whiz;6;Whiz;4;Whiz;2;Whiz
リングレーザー, BeamShot.wav;3;BeamShot.wav;3;BeamShot.wav;3;BeamShot.wav
ハンドビーム, BeamShot.wav;3;BeamShot.wav;3;BeamShot.wav;3;BeamShot.wav
ボウガンビーム, Saber.wav
ハートビーム, Sharara.wav;8;beam.wav
