アンチボディ
テレポート(バイタルジャンプ), テレポート BeamSaber.wav バイタルジャンプ
分身(バイタルジャンプ), 緊急テレポート BeamSaber.wav バイタルジャンプ
攻撃無効化(チャクラシールド), 光バリア BeamCoat.wav チャクラシールド
フィールド発動(チャクラシールド), 光バリア BeamCoat.wav チャクラシールド
チャクラフラッシュ(攻撃), 発光 イエロー BeamShot.wav 対象ユニットＩＤ
チャクラフラッシュ(命中), 発光 イエロー Explode(Small).wav
チャクラウェーブ, 小ビーム ピンク
チャクラウェーブ, 小ビーム イエロー
ショーター(攻撃), シュートカッター ピンク BeamShot.wav
ショーター(命中), シュートカッター ピンク Explode(Small).wav
ミサイルランチャー(攻撃), ミサイル 6
ミサイルランチャー(命中), 連続爆発
大型ミサイルランチャー(攻撃), ミサイル 4
大型ミサイルランチャー(命中), 連続爆発
スタンバー, スタンロッド
ブレンブレード, ナイフ
ブレードヒルト, エナジーカッター イエロー
ブレンバー, ソード
ソードエクステンション, ソード
ソードエクス, ソード
エンハンスアーム, クロー
30mm機関砲, 機関砲
ワイヤー, 触手 黒
ハイパーブレードヒルト, ハイパービームサーベル イエロー
ブレンバー＋ブレード(攻撃), ダブル斬撃
ブレンバー＋ブレード(命中), ダブル斬撃;刺突;ダブル大斬撃
ソードエクス＋ブレード(準備), エナジーカッター ピンク
ソードエクス＋ブレード(攻撃), ダブル斬撃
ソードエクス＋ブレード(命中), ダブル斬撃;エナジーカッター オレンジ;ダブル大斬撃
チャクラエクステンション(攻撃), 同時光噴出 イエロー Charge.wav;同時必殺光線 イエロー
チャクラエクステンション(命中), 超ビーム イエロー;大爆発
チャクラエクステンション(I)(攻撃), 同時光噴出 イエロー Charge.wav;同時必殺光線 イエロー
チャクラエクステンション(I)(命中), 超ビーム イエロー;大爆発
チャクラエクステンション(J)(攻撃), 同時光噴出 イエロー Charge.wav;同時必殺光線 イエロー
チャクラエクステンション(J)(命中), 超ビーム イエロー;大爆発
チャクラエクステンション(R)(攻撃), 同時光噴出 イエロー Charge.wav;同時必殺光線 イエロー
チャクラエクステンション(R)(命中), 超ビーム イエロー;大爆発
マイクロウェーブ発振器, 音波 Hittyuu.wav
チャクラベルト, 破壊光線 イエロー
チャクラベルト(命中), 放電 BeamCoat.wav
スキンウェハー, ガラス片
チャクラインプロージョン(攻撃), ミサイル 4
チャクラインプロージョン(命中), 大爆発;超爆発
バイタルネット押しつけ(攻撃), タックル
バイタルネット押しつけ(命中), 飛びかかり;放電 BeamCoat.wav

クインシィ・バロンズゥ
チャクラウェーブ, 小ビーム グリーン
ソードエクスフィン, 多触手 レッド

バロンズゥ
チャクラウェーブ, 小ビーム グリーン
ソードエクスフィン, 多触手 ホワイト

ハイパー・バロンズゥ
チャクラウェーブ, 小ビーム グリーン
ソードエクスフィン, 多触手 ホワイト

オルファン
攻撃無効化(オーガニックシールド), 光バリア BeamCoat.wav オーガニックシールド
スキンウェハー, ガラス片
チャクラ光(攻撃), 発光 イエロー BeamShot.wav 対象ユニットＩＤ
チャクラ光(命中), 発光 イエロー Explode(Small).wav
レーザー, 小ビーム イエロー

戦艦
攻撃無効化(オーガニックシールド), 光バリア BeamCoat.wav オーガニックシールド
機関砲, 機関砲
ミサイル, ミサイル 4
ステルス対空ミサイル, ミサイル長距離
魚雷, ミサイル 2
垂直発射型ミサイル, グレネード

サポートメカ
30mm機関砲, 機関砲
ダーツミサイル, 小型ミサイル
小型ミサイル, 小型ミサイル
ワイヤー, 触手 黒
