ライブアライブ
####現代編####
烈風正拳突き, 打突
胴回し回転蹴り(攻撃), 白兵回転
胴回し回転蹴り(命中), 打撃 BreakOff.wav
ローキック(攻撃), 振り上げ
ローキック(命中), 打撃
ヘビーブロウ(攻撃), 連打
ヘビーブロウ(命中), スーパーパンチ
アームロック(攻撃), 格闘
アームロック(命中), 立ち固め;センタリング;FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Arm)(1).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Arm)(2).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Arm)(1).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Arm)(2).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Arm)(1).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Arm)(2).bmp 64 64 透過;Clear;1;
クロス・ヒール・ホールド(攻撃), 格闘
クロス・ヒール・ホールド(命中), 足固め;センタリング;FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Leg)(1).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Leg)(2).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Leg)(1).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Leg)(2).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Leg)(1).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Leg)(2).bmp 64 64 透過;Clear;1;
突き, 打突
アロハリテ(攻撃), 格闘;ＭＡＰ竜巻 Swing.wav
アロハリテ(命中), 竜巻 BreakOff.wav
鬼不動返し, 投げ飛ばし
大激怒岩盤割り(攻撃), ＭＡＰ地震 Crash.wav
大激怒岩盤割り(命中), 落盤
エルボー, 格闘
ジャーマン・スープレックス, ブレーンバスター
ジャーマン・スープレックス(命中), ブレーンバスター;決め文字 ＣＲＵＳＨ！ 黄 Bazooka.wav
マックス・ボンバー(攻撃), センタリング;Punch(4).wav;1;Cutin\EFFECT_LAL_MBomber(1).bmp 96 96 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_MBomber(2).bmp 96 96 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_MBomber(3).bmp 96 96 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_MBomber(4).bmp.bmp 96 96 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_MBomber(5).bmp 96 96 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_EFFECT_LAL_MBomber(6).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_MBomber(7).bmp 96 96 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_MBomber(8).bmp 96 96 透過;Clear;1;_FightHi(1).wav;1;Cutin\EFFECT_LAL_MBomber(9).bmp 96 96 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_MBomber(10).bmp 96 96 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_MBomber(11).bmp 96 96 透過;Clear;1;
マックス・ボンバー(命中), 超打
カミツキ, 噛み付き
トルネードプレス, 急降下
フランケンシュタイナー, ブレーンバスター
イナズマアッパー, アッパー
イナズマアッパー(命中), ダメージ 黒
スパイラル・ニー(攻撃), スーパータックル Swing.wav
スパイラル・ニー(命中), 強打
パンチャマキック, サマーソルト
パンチャマキック(命中), 強打
足払い, キック
通打(準備), 変形 BeamSaber.wav
通打(攻撃), スーパータックル 白
