紋章機
ハイパーキャノン(準備), Charge.wav
ハイパーキャノン, Beam.wav
ワイヤーアンカー, Cannon.wav
ワイヤーアンカー(命中), BreakOff.wav
アンカークロー, 4;Cannon.wav;Cannon.wav
アンカークロー(命中), 4;BreakOff.wav;BreakOff.wav
フライヤー, 4;Beam.wav;4;Beam.wav;Beam.wav
フライヤー(命中), 2;Explode.wav;2;Explode.wav;Explode.wav
フライヤーダンス, 1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
フライヤーダンス(命中), 1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;Explode.wav
ストライクバースト, 1;Beam.wav;1;Beam.wav;15;MicroMissile.wav;1;Beam.wav;Beam.wav
ストライクバースト(命中), 1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;Explode.wav
リペアシステム, Sharara.wav
リペアウェーヴ, Sharara.wav
フェイタルアロー(準備), Charge.wav
フェイタルアロー, 10;Thunder.wav;Canon.wav
フェイタルアロー(命中), Explode.wav
自動追尾型ファランクス, LaserGun.wav
自動追尾型ファランクス(命中), 2;Explode.wav;2;Explode.wav;Explode.wav

戦艦
クロノブレイクキャノン(準備), Charge.wav
クロノブレイクキャノン, Beam.wav
サプライシステム, Sharara.wav

ヴァニラ＝Ｈ
ノーマッドアタック(解説), ノーマッドは$(パイロット)のために勇敢に戦った。
ノーマッド投げ(解説), $(パイロット)はノーマッドを投げた。
シールド防御(解説), ノーマッドは$(パイロット)をかばった。

#シールド防御(ノーマッドシールド)(解説), ノーマッドは$(パイロット)をかばった。
#ノーマッドアタック(解説), ノーマッドは$(相手パイロット)に突っかかっていった！
#ノーマッドアタック(解説), ノーマッドは無謀にも$(相手パイロット)に突っかかっていった！
#ノーマッドシールド(解説), ノーマッドは$(パイロット)の身代わりになった！
#ノーマッド投げ(解説), ノーマッドは$(パイロット)のために勇敢に戦った！

暗黒紋章機
自動追尾型ファランクス, LaserGun.wav
自動追尾型ファランクス(命中), 2;Explode.wav;2;Explode.wav;Explode.wav

汎用
ノーマッドアタック(解説), $(パイロット)はノーマッドで殴った。
ノーマッド投げ(解説), $(パイロット)はノーマッドを投げた。
シールド防御(ノーマッドシールド)(解説), $(パイロット)はノーマッドを盾にした。

#ノーマッドシールド(解説), ノーマッドは$(パイロット)の盾にされた！
#ノーマッドシールド(解説), ノーマッドは$(パイロット)の身代わりにされた！
#ノーマッドシールド(解説), $(パイロット)はノーマッドを身代わりにした！
#ノーマッドシールド(解説), ノーマッドは$(相手パイロット)の人身御供に捧げられた！
