
らんま１／２
拳法(命中), Punch.wav
拳法(クリティカル), Combo.wav
火中天津甘栗拳, 0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav
火中天津甘栗拳(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav
猛虎高飛車, Explode.wav
飛竜昇天破, Storm.wav
飛竜昇天破(命中), 5;Swing.wav;10;Jet.wav;Crash.wav
飛竜降臨弾, 10;Storm.wav;8;Charge.wav;Bazooka.wav
飛竜降臨弾(命中), Explode(Far).wav
飛竜氷突破, 8;Charge.wav;6;Cannon.wav;Storm.wav
飛竜氷突破(命中), Crash.wav
支柱落地勢(命中), Whip.wav
白蛇吐信掌(命中), Combo.wav
背山倒海態(命中), BreakOff.wav
夜叉探海包, Explode(Far).wav
拳圧(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav
地獄のゆりかご, Swing.wav
地獄のゆりかご(クリティカル), Hide.wav
看板(命中), Punch.wav
蛙轢死態, Swing.wav
蛙轢死態(命中), Crash.wav
狼牙襲背態, Swing.wav
狼牙襲背態(命中), Crash.wav
猛虎一撃態, Swing.wav
猛虎一撃態(命中), Crash.wav
雷鳴開脚蹴り(命中), Crash.wav
バンダナ投げ, Swing.wav
バンダナ投げ(命中), Slash.wav
番傘(命中), Punch.wav
爆砕点穴, Explode.wav
爆砕点穴(命中), FastGun.wav
獅子咆哮弾, Explode.wav
完成型獅子咆哮弾, 8;Charge.wav;8;Bazooka.wav;8;PowerDown.wav;Explode(Far).wav
暗器, 3;Saber.wav;3;Saber.wav;Saber.wav
暗器(命中), 3;Slash.wav;3;Whip.wav;Crash.wav
青竜刀(命中), Slash.wav
小刀投げ, 2;Saber.wav;2;Saber.wav;Saber.wav
小刀投げ(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
白鳥拳, Saber.wav
白鳥拳(命中), Crash.wav
ダチョウ脚(命中), Slash.wav
鶏卵拳, 3;Swing.wav;3;Swing.wav;Swing.wav
鶏卵拳(命中), 3;Explode(Small).wav;3;Explode(Small).wav;Explode.wav
鷹爪拳, Saber.wav
鷹爪拳(命中), 4;Slash.wav;Slash.wav
爆撃, Bomb.wav
爆撃(命中), Explode.wav
ボンボリ(命中), Crash.wav
爪(命中), Saber.wav
木刀(命中), Slash.wav
マシンガン突き, 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
マシンガン突き(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
大回転破魔西瓜殺, Stom.wav
大回転破魔西瓜殺(命中), 0.5;Slash.wav;0.5;Slash.wav;0.5;Slash.wav;0.5;Slash.wav;0.5;Slash.wav
痺れ花束(命中), Hide.wav
リボン, Saber.wav
リボン(命中), Whip.wav
クラブスルー, Swing.wav
クラブスルー(命中), Punch.wav
クラブ(命中), 5;Punch.wav;Stab.wav
カミソリフープ, Swing.wav
カミソリフープ(命中), Saber.wav
千手こん棒乱れ打ち, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
千手こん棒乱れ打ち(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav
黒バラ爆弾, 3;Bomb.wav;3;Bomb.wav;Bomb.wav
黒バラ爆弾(命中), 3;Explode.wav;3;Explode.wav;Explode.wav
九能帯刀, Saber.wav
九能帯刀(命中), Stab.wav
メリケン粉, Swing.wav
メリケン粉(命中), Hide.wav
ゴム入りヤキソバ, Swing.wav
ゴム入りヤキソバ(クリティカル), Whip.wav
小ヘラ(命中), Punch.wav
天カスかんしゃく玉(命中), Explode.wav
小ヘラ投げ, 2;Saber.wav;2;Saber.wav;Saber.wav
小ヘラ投げ(命中), 2;Punch.wav;2;Punch.wav;Punch.wav
大ベラ(命中), Crash.wav
暴れ(命中), Combo.wav
八宝五円殺(命中), Charge(high).wav
八宝五十円殺(命中), Charge(high).wav
八宝つり銭返し, Cannon.wav
八宝つり銭返し(命中), Explode.wav
八宝つり銭倍返し, Bazooka.wav
八宝つり銭倍返し(命中), Explode(Far).wav
パンスト巻き付け, Saber.wav
パンスト巻き付け(命中), _.wav
パンスト巻き付け(クリティカル), Whip.wav
一発逆転男蹴り(命中), Crash.wav
たこ墨, BeamShot.wav
たこ墨(命中), Hide.wav
たこ足, Swing.wav
たこ足(命中), Punch.wav
パンチ(命中), Crash.wav
毒蛇探穴掌(命中), Stab.wav
金絲緊縛翔, Saber.wav
金絲緊縛翔(命中), Crash.wav
猛虎開門破(命中), Crash.wav
懐中包珠殺, Swing.wav
懐中包珠殺(命中), BreakOff.wav
鬼神群大乱舞, 6;Storm.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
鬼神群大乱舞(命中), 3;Slash.wav;Slash.wav
鬼神来襲弾, 6;Cannon.wav;2;Swing.wav;2;Swing.wav
鬼神来襲弾(命中), 3;Slash.wav;Slash.wav
六掌拳(命中), Combo.wav
阿修羅フラッシュ, BeamCoat.wav
阿修羅サンダー, Thunder.wav
阿修羅ファイヤー, Fire.wav
六掌流星乱打, MicroMissile.wav 
六掌流星乱打(命中), FastGun.wav
火竜大輪舞, Storm.wav
火竜大輪舞(命中), Fire.wav
雷蛇天誅殺, 5;Thunder.wav;5;Thunder.wav;Thunder.wav
雷蛇天誅殺(命中), Explode(Far).wav
杖(命中), Punch.wav
鮫拳, Whiz.wav
鮫拳(命中), Splash.wav
キセルホイップ(命中), 5;Swing.wav;8;PowerDown.wav;Crash.wav
八宝大華輪, Explode.wav
闘気弾, Whiz.wav
闘気弾(命中), Crash.wav
八宝大華輪スペシャル, Explode(Far).wav
スケートシューズ(命中), Slash.wav
死霊の盆踊り, Storm.wav
死霊の盆踊り(命中), Combo.wav
別れのメリーゴーランド(命中), 10;Storm.wav;5;Swing.wav;10;Jet.wav;Crash.wav
茶杓手裏剣, 1;Bow.wav;1;Bow.wav;Bow.wav
茶杓手裏剣(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
柄杓打ち(命中), Punch.wav
ふくさ返し, Saber.wav
ふくさ返し(命中), Whip.wav
野点傘(命中), Crash.wav
抹茶霞, Saber.wav
抹茶霞(クリティカル), Hide.wav
