
無限の住人
双月(命中), 2;Stab.wav
小天狗(命中), 2;Stab.wav
阿修羅, 5;Swing.wav
阿修羅(命中), 1;Slash.wav
夜叉, 1;Swing.wav
夜叉(命中), 1;Slash.wav
女蠡(命中), 2;Stab.wav
男転(命中), 1;Stab.wav;2;Stab.wav
妹守辰政, 1;Swing.wav;1;Swing.wav
妹守辰政(命中), 1;Slash.wav;2;Slash.wav
無銘, 5;Swing.wav
無銘(命中), 1;Slash.wav
阿吽, 1;Saber.wav
阿吽(命中), 2;Stab.wav
四道, 1;Saber.wav;1;Saber.wav
四道(命中), 1;Slash.wav;2;Slash.wav
滅多斬り, 2;Swing.wav;1;Saber.wav;2;Saber.wav;1;Swing.wav;2;Swing.wav;1;Saber.wav;2;Swing.wav;1;Swing.wav
滅多斬り(命中), 1;Slash.wav;2;Slash.wav;1;Slash.wav;2;Stab.wav;1;Slash.wav;2;Slash.wav;1;Stab.wav;2;Slash.wav
懐剣(命中), 1;Stab.wav
クトネシリカ, 1;Swing.wav
クトネシリカ(命中), 1;Slash.wav
殺陣・黄金蟲, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
殺陣・黄金蟲(命中), 1;Stab.wav;2;Stab.wav
日本刀, 1;Swing.wav
日本刀(命中), 1;Slash.wav
烏, 2;Whiz.wav;3;Whiz.wav
烏(命中), 1;Slash.wav
烏・二連, 2;Whiz.wav;3;Whiz.wav
烏・二連(命中), 1;Slash.wav;1;Slash.wav
烏, 2;Whiz.wav;3;Whiz.wav
足狙い, 1;Saber.wav
足狙い(命中), 2;Stab.wav
グラントルコ, 1;Saber.wav
グラントルコ(命中), 2;Stab.wav
仕込み刀(命中), 2;Stab.wav
匕首(命中), 2;Stab.wav
井上真改蟲殺, 1;Swing.wav
井上真改蟲殺(命中), 1;Slash.wav
春翁, 1;Swing.wav
春翁(命中), 1;Slash.wav
鉤棹, 2;Swing.wav
鉤棹(命中), 1;Stab.wav
鬼太鼓桴, 3;Swing.wav
鬼太鼓桴(命中), 2;Slash.wav
燕誅丸, 1;Saber.wav;1;Saber.wav
燕誅丸(命中), 1;Stab.wav;2;Stab.wav
助拾・雨椿, 1;Swing.wav
助拾・雨椿(命中), 1;Slash.wav
神刃, 3;Swing.wav
神刃(命中), 2;Slash.wav
