エンフィールド住民
平手(命中), Slap.wav
ファイナル・ストライク(命中), Sword.wav
ジ・エンド・オブ・スレッド(命中), Sword.wav
ジ・エンド・オブ・スレッド(突魔)(命中), Sword.wav
ルーン・バレット(命中), Punch.wav
ニードル・スクリーム(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
ヴォーテックス, Storm.wav
カーマイン・スプレッド, Charge.wav
カーマイン・スプレッド(命中), 2;Explode(Small).wav;2.5;Explode(Small).wav;2.5;Explode(Small).wav;2.5;Explode(Small).wav
ヴァニシング・ノヴァ, Charge(high).wav
ヴァニシング・ノヴァ(命中), Explode(Nuclear).wav
デッドリー・ウェッジ(命中), stab.wav
フレイム・ジェイル, Whiz.wav
フレイム・ジェイル(命中), 2;Slash(2).wav;2;Slash(2).wav;2;Slash(2).wav;2;Slash(2).wav
フレイム・ジェイル(クリティカル), 2;Fire.wav
ソニック・ブレイク(クリティカル), Glass.wav
アクア・レフューズ(命中), Splash.wav
アクア・レフューズ(クリティカル), Glass.wav
フライパン(解説), $(パイロット)はフライパンを叩きつけた。
注射(解説), $(パイロット)は注射を取り出した。
ビーティ(解説), ビーティは$(相手パイロット)に飛び掛った。
ボウガン(解説), $(パイロット)はボウガンを発射した。
こしょう爆弾(解説), $(パイロット)はこしょうのビンを投げつけた。
眠りのツボ(解説), $(パイロット)は$(相手パイロット)の眠りのツボを狙った。
ウンディーネ・ティアズ(解説), $(パイロット)は水の精霊を召喚した。
シルフィード・フェザ(解説),  $(パイロット)は風の精霊を召喚した。
イシュタル・ブレス(解説), $(パイロット)は地の精霊を召喚した。
イフリータ・キッス(解説), $(パイロット)は火の精霊を召喚した。
エーテル・バースト(解説), $(パイロット)は同時に４元素の精霊を召喚した。
クロノス・ハート(解説), $(パイロット)は時の精霊を召喚した。
フレイム・ジェイル(解説), $(パイロット)は火炎による重圧を加えた。
グラビティ・チェイン(解説), $(パイロット)は重力による重圧を加えた。
ソニック・ブレイク(解説), $(パイロット)は音波による重圧を加えた。
アクア・レフューズ(解説), $(パイロット)は水による重圧を加えた。
アブソリュート・ゼロ(解説), $(パイロット)は小型のブラックホールを発生させた。
タイムズ・ウィスパー(解説), $(パイロット)は時間による重圧を加えた。
トリーシャチョップ(解説), $(パイロット)は必殺のトリーシャチョップを放った。
連撃(解説), $(パイロット)は目にも止まらぬ連続技で攻撃した。
分散連撃(解説), $(パイロット)は目にも止まらぬ連続技で攻撃した。
スローイングナイフ(解説), $(パイロット)はナイフを投げつけた。
ファイナル・ストライク(解説), $(パイロット)は爆発呼吸の気を伴った一撃を放った。
ジ・エンド・オブ・スレッド(解説), $(パイロット)は爆発呼吸の気を伴った一撃を放った。
フィーバー・ランページ(解説), $(パイロット)は火の精霊を召喚した。
リル・イン・チェリッシュ(解説),  $(パイロット)は風の精霊を召喚した。
エンドル・ウェアーズ(解説), $(パイロット)は地の精霊を召喚した。
おいしいりょうり(解説), $(相手パイロット)は美味しい料理を食べた
安らぎの歌(解説), $(パイロット)は安らぎの歌を歌った。
タンデムアタック(解説), アレフとアルベルトは息の合った連携攻撃を仕掛けた。
シールド防御(メロディ人形)(解説), $(パイロット)はいきなり取り出したメロディ人形で防御した。
尻尾(解説), $(パイロット)は尻尾で辺りを薙ぎ払った。
