
英雄伝説４
## 武器 ##
宝剣カシュナード, 剣
宝剣エルフィード, 剣
神剣エリュシオン, 斬撃武器 Anime\Weapon\EFFECT_ED4_Elysion.bmp 32
クロスブレード, ブーメラン
ナイトブリンガー, ブーメラン
ダーク, ナイフ
名刀インパルス, ナイフ
バゼラート, 投げナイフ
ゼピュロスハンマ, モール
霊杖ガイスト, 杖
スウェアブレード, フランベルジュ
雷光剣, 巨大剣
ルナブレード(準備), Reload(5).wav
ルナブレード(攻撃), なぎ払い
ルナブレード(命中), 刺突 Slash.wav
ワルーンソード, 剣
ラプチャーロッド(準備), 鞭
ラプチャーロッド(攻撃), 振り下ろし
ラプチャーロッド(命中), 打撃 Whip.wav
ハンドアクス, 片刃斧
ククリ, ナイフ
メイス, メイス
ライトフレイル, フレイル
ハルバード, ハルバード
## 技 ##
ヒートスラッシュ(攻撃), 振る武器突撃 -.bmp
ヒートスラッシュ(命中), @戦闘アニメ_斬撃攻撃;斬撃
ダブルファング(攻撃), 振る武器突撃 -.bmp
ダブルファング(命中), @戦闘アニメ_振り上げ攻撃;振り上げ;振り下ろし
ソニックスラッシュ(準備), 粒子集中 白 BeamSaber.wav;放電
ソニックスラッシュ(攻撃), 斬撃
ソニックスラッシュ(命中), 斬撃
ブレイブラッシュ(準備), -
ブレイブラッシュ(攻撃), 振る武器突撃 -.bmp
ブレイブラッシュ(命中), 斬撃乱舞;@戦闘アニメ_斬撃攻撃;大斬撃
ロングスマッシャー, ブーメラン
すずかけ落とし, ブーメラン
すずかけ落とし(命中), ダメージ Punch.wav;ダメージ Punch.wav
オールアタック(準備), 2;MouseWhisle.wav;MouseWhisle.wav
オールアタック, ブーメラン
漆黒の翼(準備), ブーメラン;2;粒子集中 黒;スーパーブーメラン 黒
漆黒の翼(攻撃), スーパーブーメラン 黒
漆黒の翼(命中), 回転エナジーブレード 黒 Saber.wav;黒斬撃 Saber.wav
スピット・ニードル(攻撃), ;_
なぎ払い;実弾発射 Anime\Weapon\EFFECT_ThrowingDagger01.bmp 速 Whiz.wav
スピット・ニードル(命中), 刺突
影縫い(準備), 粒子集中 白 BeamSaber.wav;放電
影縫い(攻撃), 投げナイフ
影縫い(命中), -
ニードル・シャワー(準備), 投げナイフ
ニードル・シャワー(攻撃), なぎ払い
ニードル・シャワー(命中), 連突;@戦闘アニメ_なぎ払い攻撃;連突;_
@戦闘アニメ_連続なぎ払い攻撃;乱突
ヘッドクラッシュ(準備), モール
ヘッドクラッシュ(攻撃), 振り下ろし
ヘッドクラッシュ(命中), 強打 Crash.wav
ジャスティスハンマー, モール突撃
ジャスティスハンマー(命中), 強打 Crash.wav;3;@戦闘アニメ_振り下ろし攻撃;強打 Crash.wav
メテオブレイカー(準備), モール;粒子集中 白;2;発光 白 Flair.wav
メテオブレイカー(攻撃), モール突撃
メテオブレイカー(命中), 強打 Crash.wav;2;強打 Crash.wav;_
3;@戦闘アニメ_振り下ろし攻撃;超打 Crash.wav
ラップ・ビー・ラップ, 杖
雷光斬(攻撃), 振る武器突撃 -.bmp
雷光斬(命中), @戦闘アニメ_斬撃攻撃;斬撃
