仮面ライダーＺＸ
分身, 分身 -.wav 虚像投影分身
マイクロチェーン, 分銅
電撃チェーン(準備), 分銅
電撃チェーン(攻撃), 分銅
電撃チェーン(命中), ダメージ;放電
小型ミサイル, 小型ミサイル 1
電磁ナイフ, ナイフ
ＺＸパンチ, 格闘
十字手裏剣(準備), 投擲武器 weapon\EFFECT_RZX_Shuriken.bmp 16
十字手裏剣(攻撃), 回転投擲武器 weapon\EFFECT_RZX_Shuriken.bmp 16 速
十字手裏剣(命中), 刺突
音波砲, 音波
衝撃集中爆弾(準備), 投擲武器 weapon\EFFECT_RZX_ImpactBomb.bmp 32
衝撃集中爆弾(攻撃), 投擲武器 weapon\EFFECT_RZX_ImpactBomb.bmp 32
衝撃集中爆弾(命中), 爆発
ＺＸキック, スーパーキック 赤
ライダーダブルアタック, 同時スーパーパンチ 色=赤=白
ライダーダブルキック(スカイ), 同時スーパーキック 色=赤=-
ライダーダブルアタック作戦(攻撃), 同時格闘
ライダーダブルアタック作戦(命中), 同時連打;@戦闘アニメ_同時スーパーパンチ攻撃 色=赤=白;@戦闘アニメ_同時スーパーパンチ命中 色=赤=白;ＺＸ「ゼクロスッッ・稲妻キィィィック！！」;@RV3_MaskedRiderV3.bmp;Ｖ３「Ｖ３ィィィ・キィィィック！！！」;@戦闘アニメ_同時スーパーキック攻撃 色=赤=-;@戦闘アニメ_同時スーパーキック命中 色=赤=-

## 丸投げ画像パックの拙作武器アイコンを使用しています。

仮面ライダーＺＸ・ヘルダイバーモード
マイクロチェーン, 分銅
電撃チェーン(準備), 分銅
電撃チェーン(攻撃), 分銅
電撃チェーン(命中), ダメージ;放電
レーザーキャノン, ２連小ビーム 黄
ヘルダイブ(攻撃), タックル Bike.wav
ヘルダイブ(命中), 強打 Crash.wav

村雨良
格闘, 格闘
変身, -

### BDN

改造人間
格闘, 格闘
コンバット剣, ショートソード
クモ糸縛り(準備), -
クモ糸縛り(攻撃), 実弾発射 Animal\EFFECT_Spider01.bmp 16 Bow.wav - 速 - 有線
クモ糸縛り(命中), ダメージ 白
毒針, ニードル連射
牙, 噛み付き
鉤爪, 斬撃 二刀流
催眠術(攻撃), 音再生 Hittyuu.wav
催眠術(命中), -
催眠術(クリティカル), Bubble.wav
毒蛾鱗粉, 煙 赤
毒蛾鱗粉【Ｍ】, ＭＡＰ煙 赤
吸血(攻撃), 格闘
吸血(命中), 刺突;吸収
盲目泡, 泡
カニレーザー, ２連小ビーム 赤
カニアンカー(準備), -
カニアンカー(攻撃), 実弾発射 Hand\EFFECT_Punch(Red)10.bmp 32 Bow.wav - - - チェーン
カニアンカー(命中), ダメージ 赤
カニ鋏, 斬撃
尻尾(準備), -
尻尾(攻撃), なぎ払い
尻尾, ダメージ 緑
万力爪, 格闘
舌槍, 呪槍
蟻地獄, 煙 オレンジ
鋏型爪, 斬撃 二刀流
大鋏, 大斬撃 二刀流
バイク攻撃(攻撃), タックル Bike.wav
バイク攻撃(命中), 強打 Crash.wav
毒液, 粒子噴射 紫
カマキロイドスパイラル, 旋風
大鎌, 大斬撃
シールド防御(襟巻き), -
爪, 爪撃
火炎放射, 火炎放射
集中火炎放射(準備), 炎 - - 対象ユニットＩＤ
集中火炎放射(攻撃), 火炎放射
集中火炎放射(命中), 火炎放射
伸びる脚, 多触手 ブラック
アメンババルカン, 内蔵ガトリング
手裏剣爆弾(準備), クナイ
手裏剣爆弾(攻撃), クナイ
手裏剣爆弾(命中), 小爆発
突撃, スーパーダイブ
毒花粉ガス, 煙 黄
吸血鞭(攻撃), 触手 緑
吸血鞭(命中), 触手 緑;吸収
窒息花弁, バラ吹雪
大輪の花, バラ 赤
針, 刺突
吸血針(攻撃), 刺突
吸血針(命中), 刺突;吸収
射出槍, 矢
血液エネルギー供給, 魔法集中 赤
ダーククロー, 刺突
電磁ムチ(準備), 音再生 Swing(2).wav
電磁ムチ(攻撃), 振り下ろし 
電磁ムチ(命中), 強打 Whip.wav;放電
サザンクロス, 瞬間変形 RZX_SouthernCrossU.bmp 反映
速射ミサイル砲, 小型ミサイル 6
主砲, キャノン砲 2
時空魔法陣(準備), 魔法集中 黒
時空魔法陣(攻撃), 魔法陣 黒 - 相手ユニットＩＤ 背面
時空魔法陣(命中), 重力圧縮
タイガーロイド, 瞬間変形 RZX_TigerRoidU.bmp 反映
剣状牙, 噛み付き
鉄拳, 強打
腰部機関砲, 内蔵ガトリング
連装キャノン砲, キャノン砲 2
80mmタイガー主砲(準備), 音再生 Transform.wav
80mmタイガー主砲(攻撃), 大キャノン砲
80mmタイガー主砲(命中), 大爆発

バダン大首領(コミック版)
レーザー砲, ニードルレーザー連射
回転カッター, チャクラム
アイアンギルド(準備), 音再生 Beamsaber.wav
アイアンギルド(攻撃), 実弾発射 BodyParts\EFFECT_CellWall(Black)01.bmp 32 Jet.wav - 遅
アイアンギルド(命中), 甲殻鋏 黒 Crash.wav
