ニンジャマスターズ
飛蒼月(攻撃), 手裏剣
飛蒼月(命中), 刺突
二刀小太刀『真阿・真吽』(準備), ドス 二刀流
二刀小太刀『真阿・真吽』(攻撃), 連斬撃
二刀小太刀『真阿・真吽』(命中), 斬撃 二刀流
斬空爆蒼陣(攻撃), デフォルト
斬空爆蒼陣(命中), 背負い投げ
蒼空脚(攻撃), タックル
蒼空脚(攻撃), スーパーキック改 簡易
蒼空脚(命中), 打撃;打撃
飛蒼拳(攻撃), アッパー
飛蒼拳(命中), アッパー FightHit(1).wav
飛蒼拳(命中), 打撃 FightHit(1).wav;アッパー FightHit(1).wav
飛蒼拳(クリティカル), @戦闘アニメ_アッパー連打命中 FightHit(1).wav
神撃破(攻撃), 火炎放射 青 Bazooka.wav
神撃破(命中), 飛沫 青
蒼神粉砕爆(攻撃), 九字;光噴出 FastGun.wav 対象ユニットＩＤ
蒼神粉砕爆(命中), 光噴出
疾風烈神撃(攻撃), 突撃
疾風烈神撃(命中), 高度叩きつけ 上下反転 Drill.wav
四門殺・逆麟(攻撃), タックル
四門殺・逆麟(命中), 連打;アッパー連打;2;分身打撃;分身打撃;強打
頭蓋狂我(命中), スープレックス
忍者刀『御影』(準備), 脇差
風牙(攻撃), クナイ
風牙(命中), 連突
龍頭牙(攻撃), デフォルト
龍頭牙(命中), アッパー
殺鬼(攻撃), キック
殺鬼(命中), 打撃
殺鬼(命中), 打撃;打撃
殺鬼(クリティカル), @戦闘アニメ_打撃命中
火炎陣・鬼雨(攻撃), 実弾投下 Common\EFFECT_Shine(Red)04.bmp Whiz.wav
火炎陣・鬼雨(命中), 光噴出 赤 Fire.wav
鬼烈斬・血煙(攻撃), 突撃
鬼烈斬・血煙(命中), 斬撃乱舞;斬撃突撃
鬼封じ・滅(攻撃), 九字;@戦闘アニメ_火柱命中 FastGun.wav
鬼封じ・滅(命中), 炎
闇火炎陣・鬼縛(攻撃), タックル
闇火炎陣・鬼縛(命中), 連打;突撃 Combo.wav;火柱 FastGun.wav
闇火炎陣・鬼縛(命中), 斬撃乱舞;突撃 Combo.wav;火柱 FastGun.wav
雷撃球(攻撃), 球電
雷撃球(命中), 放電
雷撃殺(攻撃), 実弾発射 Bullet\EFFECT_GroundCutter(Yellow)01.bmp 32 Whiz.wav
雷撃殺(命中), 放電
雷・地龍(攻撃), 透明化;回転発射 NMAS_RaigaU.bmp;透明化 解除
雷・地龍(命中), 背負い投げ
鬼包丁『愚流渦』(準備), 振る武器 Weapon\EFFECT_M_Onibohchou.bmp
雷・天龍(攻撃), 回転振り下ろし
雷・天龍(命中), 背負い投げ
地雷龍(攻撃), 実弾発射 Bullet\EFFECT_GroundCutter(Yellow)01.bmp 32 Whiz.wav
地雷龍(命中), 放電;首狩り投げ
爆雷陣(準備), 振る武器 Weapon\EFFECT_M_Onibohchou.bmp
爆雷陣(攻撃), 斬撃;ＭＡＰ落雷
爆雷陣(命中), 放電
爆雷撃(攻撃), タックル
爆雷撃(命中), 打撃
爆雷撃(命中), 打撃;強打
爆雷撃(クリティカル), @戦闘アニメ_アッパー命中
閃光雷刃(準備), 振る武器 Weapon\EFFECT_M_Onibohchou.bmp
閃光雷刃(攻撃), 投擲武器 Weapon\EFFECT_M_Onibohchou(2).bmp
閃光雷刃(命中), 刺突;放電
雷神降臨(攻撃), タックル
雷神降臨(命中), 連打;アッパー Shock(Low).wav;アッパー Shock(Low).wav;アッパー連打 Shock(Low).wav
雷神召, 回復魔法 Shock(Low).wav
呪縛符(攻撃), お札
呪縛符(命中), 放電
獅咬剣『韓羅獅子』(準備), 振る武器 Weapon\EFFECT_NMAS_Shikouken.bmp
風烈弾(攻撃), ヘッドバット
風烈弾(命中), 打撃
閃滅掌(攻撃), @戦闘アニメ_突く武器準備 Weapon\EFFECT_MandaraCard01.bmp;連打
閃滅掌(命中), 連打
天魔円殺陣(攻撃), 周囲回転 Weapon\EFFECT_MandaraCard01.bmp 対象ユニットＩＤ Whiz.wav
天魔円殺陣(命中), ダメージ Saber.wav
守護獣烈弾(攻撃), 周囲回転 Weapon\EFFECT_MandaraCard01.bmp 対象ユニットＩＤ Null.wav;タックル
守護獣烈弾(命中), 強打
旋空剣(準備), 振る武器 Weapon\EFFECT_NMAS_Shikouken.bmp
旋空剣(攻撃), なぎ払い
旋空剣(命中), なぎ払い
旋空剣(命中), なぎ払い;なぎ払い
旋空剣(クリティカル), @戦闘アニメ_なぎ払い命中
太極破, 気弾
旋刃封邪(準備), 振る武器 Weapon\EFFECT_NMAS_Shikouken.bmp
旋刃封邪(攻撃), 周囲回転 Fire\EFFECT_Fire(Red)01.bmp Storm.wav 対象ユニットＩＤ
旋刃封邪(命中), 炎
国士無双(攻撃), タックル
国士無双(命中), 連打;@戦闘アニメ_突く武器準備 Weapon\EFFECT_MandaraCard01.bmp;連打;強打;アッパー連打
修羅放邪(攻撃), 九字;@戦闘アニメ_突く武器準備 Weapon\EFFECT_MandaraCard01.bmp;大回転 縦 黄
修羅放邪(命中), 飛沫 黄
妖刀『凶』(準備), 妖刀
疾風羽, なぎ払い
羽刃(攻撃), 実弾投下 Weapon\EFFECT_Youtou01.bmp Swing.wav;Swing.wav;Swing.wav
羽刃(命中), 大斬撃
鴉刃(攻撃), @戦闘アニメ_妖刀準備;振り上げ
鴉刃(命中), 唐竹割り改 上下反転
乱れ羽(準備), 妖刀
乱れ羽(攻撃), 乱突
乱れ羽(命中), 乱突
闇鴉(攻撃), 実弾発射 Animal\EFFECT_Bird01.bmp 24 速 LaserGun.wav;実弾発射 Animal\EFFECT_Bird01.bmp 24 速 LaserGun.wav;実弾発射 Animal\EFFECT_Bird01.bmp 24 速 LaserGun.wav
闇鴉(命中), ダメージ Explode(Small).wav
闇鴉(命中), ダメージ Explode(Small).wav;ダメージ Explode(Small).wav
闇鴉(クリティカル), @戦闘アニメ_ダメージ命中 Explode(Small).wav
気狂障壁(攻撃), @戦闘アニメ_オーラ上昇準備 BeamSaber.wav
気狂障壁(命中), 放電 Glass.wav
陰陽鴉(攻撃), @戦闘アニメ_粒子集中準備 黒;実弾発射 Animal\EFFECT_Bird01.bmp 48 LaserGun.wav
陰陽鴉(命中), 飛沫 黒 Glass.wav
鴉地獄の舞(攻撃), 九字;実弾発射 Common\EFFECT_GravityBall01.bmp 18 LaserGun.wav
鴉地獄の舞(命中), 旋風 相手ユニットＩＤ 黒 FastGun.wav
狂い刃(準備), 妖刀
狂い刃(攻撃), 斬撃
狂い刃(命中), 斬撃;振り上げ;なぎ払い;@戦闘アニメ_投擲武器攻撃 Weapon\EFFECT_Youtou01.bmp Null.wav;斬撃乱舞
三鈷双剣『迦桜羅』, ライトセイバー 青
空閃光(攻撃), 光投射 白 Beam.wav
空閃光(命中), 飛沫 白 Glass.wav
地烈閃(攻撃), 実弾発射 Bullet\EFFECT_GroundCutter(White)01.bmp 24 Swing.wav
地烈閃(命中), 飛沫 白 Glass.wav
鳳凰天舞(攻撃), 大回転 縦
鳳凰天舞(命中), アッパー
鬼神斬(攻撃), デフォルト
鬼神斬(命中), 打撃
鬼神斬(命中), 打撃;打撃
