
汎用
グングニル(ＲＰＧツクール), パイク突撃
ガンバンテイン(ＲＰＧツクール), 光棒 白

ＲＰＧツクール
# 武器
ロングソード, 剣
バスタードソード, 鋼剣
フレイの魔剣, 銀剣
聖剣ユグドラシル(封), 斬撃武器 Weapon\EFFECT_SaintGreatSword01.bmp
聖剣ユグドラシル(準備), 光斬撃武器 Weapon\EFFECT_SaintGreatSword01.bmp
聖剣ユグドラシル(攻撃), 光斬撃武器 Weapon\EFFECT_SaintGreatSword01.bmp
聖剣ユグドラシル(命中), 雷斬撃
ロングボウ, アーチェリーボウ
ハディングの弓, 光弓矢
ハルバート, 大斬撃武器 Weapon\EFFECT_Halberd02.bmp
トライデント, 大刺突武器 Weapon\EFFECT_Trident01.bmp
テュールの剣, 巨大剣
魔王の槍, パイク突撃
レーヴァテイン, 殴打武器 Weapon\EFFECT_MagicRod02.bmp
ランス, ランス突撃
# 攻撃魔法
ファイアー, 炎投射 赤
フレイム, 炎
バーニング, 火柱
エクスプロード(攻撃), Whiz.wav
エクスプロード(攻撃), Charge.wav;粒子集中 赤 -.wav
エクスプロード(命中), 大爆発
アイス(攻撃), Whiz.wav
アイス(命中), 氷柱 Glass(3).wav
フリーズ(攻撃), Whiz.wav
フリーズ(命中), 大氷柱 Glass.wav
ライトニング, 落雷 青
サンダーボルト, 大落雷
スパーク(攻撃), 大ビーム 橙 Thunder.wav
スパーク(命中), 大ビーム 橙 Fire.wav
フレアー(攻撃), 大ビーム 赤 Fire.wav
フレアー(命中), 大ビーム 赤 -.wav
ライトセイバー, 光大噴出 黄
ダークセイバー, 光大噴出 黒
レッドアウト(命中), 煙 橙
ブラッドボイル(命中), 泡 紫
スペルバースト(命中), 魔法陣 黄
イリュージュン(命中), 五芒星 青
トゥインクル(命中), 邪眼解放 紫
ソフト(攻撃), 発光 青
ソフト(命中), -
# 回復魔法
キュアグリーン, 魔法集中 緑;回復魔法
キュアブルー, 魔法集中 青;回復魔法
キュアライト, 魔法集中 白 中;回復魔法
ヒールグリーン, 魔法集中 緑;回復魔法
ヒールブルー, 魔法集中 青;回復魔法
リフレッシュ, 回復魔法泡
# その他
分身, 分身 分身
