
ウルトラマン
ハンドスラッシュ, Beam.wav
ハンドスラッシュ(命中), Explode(Small).wav
ウルトラファイト, BreakOff.wav
ウルトラファイト(命中), Shock(Low).wav
ティガスライサー, Beam.wav
ティガスライサー(命中), Explode(Small).wav
タイマーフラッシュ, Beam.wav
タイマーフラッシュ(命中), Explode(Small).wav
ゼベリオン光線, 20;Charge.wav;10;LaserGun.wav
ゼベリオン光線(命中), Explode.wav
ＴＤスペシャル, 20;Charge.wav;10;LaserGun.wav
ＴＤスペシャル(命中), Explode.wav
ミラクルバルーン光線, BeamShot.wav
ミラクルバルーン光線(命中), Fold.wav
デラシウム光流, 20;Charge.wav;10;LaserGun.wav
デラシウム光流(命中), Explode.wav
ウルトラフリーザー, LaserGun.wav
ウルトラフリーザー(命中), Flair.wav
ランバルト光弾, 20;Charge.wav;10;Cannon.wav
ランバルト光弾(命中), Explode.wav
イーヴィルビーム, Beam.wav
イーヴィルビーム(命中), Explode(Small).wav
イーヴィルショット, 20;Charge.wav;10;LaserGun.wav
イーヴィルショット(命中), Explode.wav
変形(ウルトラマンティガ(マルチタイプ)), 20;BeamCoat.wav
変形(ウルトラマンティガ(パワータイプ)), 20;BeamCoat.wav
変形(ウルトラマンティガ(スカイタイプ)), 20;BeamCoat.wav

闇の巨人
カミーラウィップ, Whip.wav
カミーラウィップ(命中), Explode(Small).wav
アイゾード, Slash.wav
アイゾード(命中), Explode(Small).wav
ダーラムホイップ, BreakOff.wav
ダーラムホイップ(命中), Shock(Low).wav
ヘッドプレス, Whiz.wav
ヘッドプレス(命中), Shock(Low).wav
ファイアマグナム, 15;Charge.wav;10;LaserGun.wav
ファイアマグナム(命中), Explode.wav
ドラフォーク, Slash.wav
ドラフォーク(命中), Explode(Small).wav
ジャノック, Whiz.wav
ジャノック(命中), Crash.wav
バルテスター, Beam.wav
バルテスター(命中), Explode(Small).wav
ヒューガスト, 15;Charge.wav;10;Storm.wav
ヒューガスト(命中), Explode.wav
ウルトラファイト, BreakOff.wav
ウルトラファイト(命中), Shock(Low).wav
ゼベリオン光線, 20;Charge.wav;10;LaserGun.wav
ゼベリオン光線(命中), Explode.wav
デラシウム光流, 20;Charge.wav;10;LaserGun.wav
デラシウム光流(命中), Explode.wav
ランバルト光弾, 20;Charge.wav;10;Cannon.wav
ランバルト光弾(命中), Explode.wav
