鉄腕能力者
通常技(命中), FightHit(1).wav
メガ本多対空, MultipleRocketLauncher.wav
本多せっかん, Snap(E).wav
本多対空(命中), Explode(Nuclear).wav
本多フレイム, Explode(Far).wav
本多乱舞, Crash.wav
裏切りの本多人工飛び道具(命中), Crash.wav
本多ポチッとな, WindowOpen.wav
本多ポチッとな(命中), Explode(Nuclear).wav
本多ポチッとな(MAP), WindowOpen.wav;15;Explode(Nuclear).wav
コークスクリュー, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;5;Jet.wav
コークスクリュー(命中), Crash.wav
スカイハリケーン, Jet.wav
スカイハリケーン(命中), Crash.wav
ユーコスラッシュ, Saber.wav
ユーコスラッシュ(命中), Punch.wav
デスユーコ, Swing.wav
デスユーコ(命中), Shock(Low).wav
ユーコジャーマン, -.wav
ユーコジャーマン(命中), 2;BreakOff.wav;20;Swing.wav;10;Shock(Low).wav
ユーコインテレクチュアル, ;Swing.wav
ユーコインテレクチュアル(命中), Sword.wav
治虫砲, Charge.wav
斬首烈怒, Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;
斬首烈怒(命中), Slash.wav
しげるビンタ, -.wav
しげるビンタ(命中), Snap(E).wav;1;Snap(E).wav;1;Snap(E).wav;1;Snap(E).wav;1;Snap(E).wav;1;
漫画家エレメンタル, Charge.wav
漫画家エレメンタル(命中), Crash.wav
暗黒式スター, Sharara.wav
暗黒式スラッシュ(命中), Slash.wav
暗黒式ドリル, Drill.wav
暗黒式ギロチン, -.wav
暗黒式ギロチン(命中), Slash(4).wav
暗黒式パンチレーザーＳ, LaserGun.wav
極楽Ｘ突き, Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;
極楽Ｘ突き(命中), Slash(3).wav
ビューチフル極楽Ｘ突き, Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;
ビューチフル極楽Ｘ突き(命中), Slash(4).wav
Ｅ・Ｍ・Ｔ・Ｂ, Swing.wav;10;Sharara.wav
Ｅ・Ｍ・Ｔ・Ｂ(命中), Slash(4).wav
鷹暗剣, Swing.wav
鷹暗剣(命中), Slash.wav
流星空手撃ち, LaserGun.wav
吉良と吉田, Combo.wav
星獣腿, -.wav
星獣腿(命中), Slash(4).wav
電装脚, Combo.wav
超・次元戦斗砕, Thunder.wav
超・次元戦斗砕(命中), FightHit(2).wav;1;FightHit(2).wav;1;FightHit(2).wav;1;FightHit(2).wav;1;FightHit(2).wav;1;
超・次元戦闘破, Thunder.wav
超・次元戦闘破(命中), Combo.wav;5;Combo.wav;5;Combo.wav;5;Combo.wav;1;
ゲンゲン押切掌, Bazooka.wav
ゲンゲン突掛掌, Crash.wav
ゲンゲンぶっ徹し, -.wav
ゲンゲンぶっ徹し(命中),Charge(2).wav;15;Crash.wav
竜巻超電磁, Storm.wav
稲妻壊し, -.wav
稲妻壊し(命中), Slash.wav
オーロラプラズマ返し, MachineGun.wav
アイアンクロー, -.wav
アイアンクロー(命中), Swing(2).wav
鉄拳鎖, Swing.wav;2;Swing.wav;2;Swing.wav;2;
ロシアより愛をこめて, AntiShipMissile.wav
ウデカラ水流, Beam.wav
クチカラ水流, Breath.wav
ハラカラ水流, Breath.wav
必殺技, Bazooka.wav
超必殺技, Charge.wav
超必殺技(命中), Explode.wav
連射可能な飛び道具, Beam.wav;3;Beam.wav;3;Beam.wav;3;Beam.wav;3;Beam.wav;3;
無敵だらけの対空, Missile.wav
一撃でピヨりますパンチ, Punch.wav
一撃でピヨりますパンチ(命中), PiyoPiyo.wav
暗黒ハリケーン投げ, -.wav
暗黒ハリケーン投げ(命中), Storm.wav
暗黒念力投げ, -.wav
暗黒念力投げ(命中), Charge(high).wav
暗黒式全然容赦ナシ, -.wav
暗黒式全然容赦ナシ(命中), FastGun.wav
忍法バグ, Drill.wav
忍法コロニー落とし, Cat.wav
忍法コロニー落とし(命中), Bazooka.wav
忍法コロニー落としＥＸ, Cat.wav
忍法コロニー落としＥＸ(命中), Explode(Long).wav
忍法ソーラーシステム, Cat.wav
忍法ソーラーシステム(命中), Beam.wav
忍法アクシズ落下, Storm.wav
忍法耳からガンキャノン, MachineGun.wav
忍法タイヤ, Drill.wav
暗黒ニウム光線, LaserGun.wav
苦無, Swing.wav
苦無(命中), Slash.wav
風魔手裏剣, Swing.wav
風魔手裏剣(命中), Slash.wav
風魔流忍術, Thunder.wav
明石トマホーク, Swing.wav
明石トマホーク(命中), Swing(2).wav
明石ミサイル, Missile.wav
明石ロケットパンチ, Missile.wav
明石ダイナミック, Explode(Long).wav
薄田トマホーク, Swing.wav
薄田トマホーク(命中), Swing(2).wav
薄田ミサイル, Missile.wav
薄田ロケットパンチ, Missile.wav
薄田ダイナミック, Explode(Long).wav
Ｇピースメーカー×２, MachineGun.wav
ゴールドルガー, Gun.wav
ゴールドドミネーター, Gun.wav
