
いっき
カマ, 回転投擲 Weapon\EFFECT_Scicle01.bmp 32
カマ(攻撃), 回転投擲 Weapon\EFFECT_Scicle01.bmp 32;回転発射 Weapon\EFFECT_Scicle01.bmp 32 Swing.wav
カマ(命中), 刺突 FightHit(4).wav
竹やり(攻撃), 連突
竹やり(命中), 刺突
石, 石
石(解説), $(ユニット)は石を投げた。
おにぎり, 「ひとやすみして、食ってはどうじゃ？」;@戦闘アニメ_回転投擲攻撃 Music\EFFECT_GuitarPick(White)01.bmp
おにぎり(解説), $(ユニット)はおにぎりを投げた。


腰元(いっき)
抱きつく(攻撃), スーパータックル
抱きつく(命中), 立ち固め
抱きつく(解説), $(ユニット)は抱擁をせまった。
別れのくちづけ(攻撃), -
別れのくちづけ(命中), ダメージ ピンク Stab.wav
別れのくちづけ(解説), -
追加攻撃(解説), $(ユニット)はさらにくちづけをせまった。
脱出, Footstep(Run).wav
