
ウルトラマン
ビームスライサー, Beam.wav
ビームスライサー(命中), Explode(Small).wav
ウルトラファイト, BreakOff.wav
ウルトラファイト(命中), Shock(Low).wav
フラッシュ光弾, Beam.wav
フラッシュ光弾(命中), Explode(Small).wav
ウルトラフォーク, 15;Beam.wav;10;BeamShot.wav
ウルトラフォーク(命中), Explode(Small).wav
ダイナスラッシュ, Beam.wav
ダイナスラッシュ(命中), Explode(Small).wav
ソルジェント光線, 20;Charge.wav;10;LaserGun.wav
ソルジェント光線(命中), Explode.wav
ＴＤスペシャル, LaserGun.wav
ガルネイトボンバー, Whiz.wav
ガルネイトボンバー(命中), Shock(Low).wav
ガルネイトボンバーショット, LaserGun.wav
ガルネイトボンバーショット(命中), Explode.wav
ダイナックル, 20;Charge.wav;10;Canon.wav
ダイナックル(命中), Shock(Low).wav
シャイニングジャッジ, Glass.wav
レボリウムウェーブ, 20;Charge.wav;10;Cannon.wav
レボリウムウェーブ(命中), Whiz.wav
変形(ウルトラマンダイナ(フラッシュタイプ)), 20;BeamCoat.wav
変形(ウルトラマンダイナ(ストロングタイプ)), 20;BeamCoat.wav
変形(ウルトラマンダイナ(ミラクルタイプ)), 20;BeamCoat.wav

ＧＵＴＳメカ
トルネードサンダー砲, LaserGun.wav
