帝国華撃団
霊剣荒鷹, Swing.wav
霊剣荒鷹(命中), Slash.wav
居合い, Slash.wav
居合い(命中), Sword.wav
斬鉄, Sword.wav
桜花放神, Whiz.wav
胡蝶の舞, 1;Swing.wav;1;Swing.wav
長刀, Swing.wav
長刀(命中), Slash.wav
鳳凰の舞, 1;Swing.wav;1;Swing.wav
鳳凰の舞(命中), 1;Slash.wav;1;Slash.wav
桐島流空手, Combo.wav
トンファー, Punch.wav
カンナパンチ, Shock(Low).wav
来留々破, Crash.wav
エンフィールド改, Gun.wav
スネグーラチカ, Beam.wav
スネグーラチカ(クリティカル), Glass.wav
零距離一斉射, 0.4;Gun.wav;0.4;Gun.wav;0.4;Gun.wav;0.4;Gun.wav;0.4;Gun.wav;0.4;Gun.wav
弾丸装填, Reload.wav
電撃,   Thunder.wav
ガオー, Fire.wav
イリス・ジャルダン, Sharara.wav
超能力暴走, Explode(Far).wav
霊子バズーカ, Cannon.wav
天象烈界破, LaserGun.wav
神刀滅却, Swing.wav
神刀滅却(命中), Slash.wav
抜刀術, Slash.wav
抜刀術, Sword.wav
魔神器, Charge(high).wav
大藤流合気柔術, Punch.wav
神剣白羽鳥, Swing.wav
神剣白羽鳥(命中), Slash.wav
