
汎用
###盾###
シールド防御(華麗なマント捌き), マント
###剣###
シルバーソード(汎用), ソード
フレイムソード(汎用), 炎剣
暗闇の剣(汎用), 黒剣
呪いの剣(汎用), 呪剣
###大剣###
バスタードソード(汎用), 大剣
ドラゴンスレイヤー(汎用), 巨大剣
###短剣###
早業の短剣(汎用)(準備), エストック
早業の短剣(汎用)(攻撃), 乱突
早業の短剣(汎用)(命中), 乱突
アイスサーベル(汎用)(攻撃), 斬撃
アイスサーベル(汎用)(命中), 凍斬撃
###槍###
ポイズンランス(汎用)(攻撃), 蛇矛(突)
ポイズンランス(汎用)(命中), 刺突;泡 緑
珊瑚の槍(汎用)(準備), さす又
珊瑚の槍(汎用)(攻撃), 投擲武器 _GetWPBN(さす又) 40
珊瑚の槍(汎用)(命中), 刺突;泡
###斧###
トマホーク(汎用), トマホーク投擲
銀の斧(汎用), 銀の斧投擲
金の斧(汎用), 金の斧投擲
オーガキラー(汎用), 鉄の斧投擲
デスサイズ(汎用), 大鎌投擲
###鎚###
聖なるハンマー(汎用)(準備), ウォーハンマー
聖なるハンマー(汎用)(攻撃), 振り下ろし
聖なるハンマー(汎用)(命中), 刺突;発光
アースクエイク(汎用), 鎖鉄球
スマッシャー(汎用)(準備), モール
スマッシャー(汎用)(攻撃), 振り下ろし
スマッシャー(汎用)(命中), 唐竹割り
###鞭###
ビーストペイン(汎用), 鞭
稲妻の鞭(汎用)(準備), 鞭
稲妻の鞭(汎用)(攻撃), 振り上げ Whip.wav
稲妻の鞭(汎用)(命中), 落雷
いばらの鞭(汎用)(準備), 鞭
いばらの鞭(汎用)(攻撃), 振り上げ Whip.wav
いばらの鞭(汎用)(命中), 多触手 緑
###弓###
毒矢(汎用), 弓矢
銀の矢(汎用), 弓矢
炎の矢(汎用)(攻撃), 弓矢
炎の矢(汎用)(命中), 爆発
氷の矢(汎用)(攻撃), 弓矢
氷の矢(汎用)(命中), 刺突;凍結
光の矢(汎用)(攻撃), 弓矢
光の矢(汎用)(命中), 小ビーム
呪いの矢(汎用), 弓矢
###楽器###
人魚の竪琴(汎用), 竪琴
ハーピィの笛(汎用), 横笛 音波
メデューサの瞳(汎用), 発光 黒
ユニコーンの角(汎用), 回復魔法
人魚の竪琴(汎用), 竪琴
ハーピィの笛(汎用), 横笛 音波
水精のハープ(汎用)(準備), ハープ
水精のハープ(汎用)(攻撃), ハープ
水精のハープ(汎用)(命中), 津波
###魔法の品###
聖水(汎用), 聖水
メデューサの瞳(汎用), 特殊光線 黒
ユニコーンの角(汎用), 回復魔法
###書物###
ファイア(汎用), 炎投射
ブレイズ(汎用), 火柱
ストーム(汎用), 旋風 白
トルネード(汎用), 竜巻
ウォータ(汎用)(攻撃), 気弾 Whiz.wav
ウォータ(汎用)(命中), 飛沫 青 Splash.wav
スプラッシュ(汎用), 津波
シャイン(汎用)(攻撃), 発光 白
ストーンブラスト(汎用), 岩弾
ライトニング(汎用), 落雷
フリーズ(汎用), 凍結
ブリザード(汎用), 吹雪
エクスプロージョン(汎用)(攻撃), 粒子集中 赤
エクスプロージョン(汎用)(命中), 大爆発
デス(汎用)(攻撃), 逆五芒星 黒
デス(汎用)(命中), 炎 黒 Inori.wav
カース(汎用)(攻撃), 逆五芒星 黒
カース(汎用)(命中), 魔法集中 黒
ブライン(汎用), 魔法集中 黒
ポイズン(汎用)(攻撃), 逆五芒星 黒 
ポイズン(汎用)(命中), 粒子集中 黒
スモッグ(汎用)(攻撃), 煙噴射 黒 
スモッグ(汎用)(命中), 煙 黒 Bubble.wav
スリープ(汎用)(攻撃), 魔法放射 桃
スリープ(汎用)(命中), 煙 桃
フィアー(汎用)(攻撃), 重力弾
フィアー(汎用)(命中), -
テラー(汎用), 重力弾
ホーリーライト(汎用), ＭＡＰフラッシュ
ターンアンデッド(汎用)(攻撃), 羽
ターンアンデッド(汎用)(命中), 光柱
ディヴァイン(汎用)(攻撃), 中ビーム 白
ディヴァイン(汎用)(命中), 中ビーム 白 Glass.wav
サンクチュアリー(汎用)(攻撃), 魔法陣 白;発光 白
サンクチュアリー(汎用)(命中), 光柱;飛沫 白

イビルアイグレート(汎用)
怪光線(攻撃), 虹色必殺光線
怪光線(命中), 発光;ユニット変色 桃 EvilEye.wav

スキュラ(汎用)
周りの首(攻撃), 乱突
周りの首(命中), 噛み付き 連続
牙(攻撃), 狼
牙(命中), 噛み付き

トロール(汎用)
自動反撃(再生停止：火), トロールの再生能力が失われてゆく……;ユニット変色 黒 Fire(2).wav
自動反撃(解説), $(ユニット)は苦痛の叫びをあげた！
苦痛の叫び(攻撃), 音再生 Roar.wav;音波 -.wav
苦痛の叫び(命中), -

イフリート(汎用)
パンチ(命中), 打撃;炎
魔法の剣(準備), 大剣
魔法の剣(攻撃), 大斬撃
魔法の剣(命中), 大斬撃

ジィニー(汎用)
パンチ(命中), 打撃;風
魔法の曲刀(準備), シャムシール
魔法の曲刀(攻撃), 大炎斬撃 緑
魔法の曲刀(命中), 大斬撃

シャーク(汎用)
噛み付き(攻撃), ヘッドバット
噛み付き(命中), 噛み付き

ドルフィン(汎用)
頭突き(攻撃), ヘッドバット
頭突き(命中), 打撃

マンタレイ(汎用)
尻尾, なぎ払い

ジャイアントオクトパス(汎用)
触手, 多触手 白

カマイタチ(汎用)
鎌(攻撃), スーパータックル Wind.wav
鎌(命中), 連斬撃

エレファント(汎用)
鼻(攻撃), 振り上げ
鼻(命中), 連続なぎ払い FightHit(2).wav

アンキロサウルス(汎用)
尻尾(攻撃), なぎ払い Bazooka.wav
尻尾(命中), 強打

ヒドラ(汎用)
周りの首(攻撃), 乱突
周りの首(命中), 噛み付き 連続
自動反撃(再生停止：火), ヒドラの再生能力が失われてゆく……;ユニット変色 黒 Fire(2).wav
自動反撃(解説), $(ユニット)は苦痛の咆哮をあげた！
苦痛の咆哮(攻撃), 音再生 Roar.wav;音波 -.wav
苦痛の咆哮(命中), -
牙(攻撃), ヘッドバット
牙(命中), 噛み付き

汎用ファンタジー
###通常###
プロテクション発動(ホーリーサークル), 光バリア Flair.wav ホーリーサークル
分身(霧化), 透明化 相手ユニットＩＤ;煙 白 相手ユニットＩＤ Wind.wav
錆びた剣, 銅剣
錆びた大剣, 斬撃武器 _GetWPBN(銅剣) 40
呪いの拳, 打突
ランスチャージ, ランス突撃
憑依(攻撃), スーパータックル 黒 Inori.wav
憑依(命中), -
牙(攻撃), 格闘
牙(命中), 噛み付き
誘惑, バラ吹雪
抱擁(攻撃), 打撃突撃
抱擁(命中), ダメージ
ポイズンブレス, 火炎放射 緑
ダークブレス, 火炎放射 黒
悪魔の囁き, -
豪腕(攻撃), 打突
豪腕(命中), 強打
聖剣, 神剣
