あやかしびと
シールド防御(物体操作)(解説), $(ユニット)は周囲の物体を引き寄せて攻撃を防いだ！
引き寄せ(解説), $(ユニット)は相手の持つ武器を引き寄せた！
付喪神(解説), $(ユニット)は周囲の無機物を融合し、巨大な武器を作り出した！
阻止(カンフュール), 洋傘防御 黒 Reload(2).wav カンフュール;ビームコート BeamCoat.wav カンフュール
死神鎌の防壁(使用), @戦闘アニメ_結界発動 白 Storm.wav 死神鎌の防壁
格闘(攻撃), 振る武器突撃 -.bmp
格闘(命中), @戦闘アニメ_格闘攻撃;格闘
格闘(命中), @戦闘アニメ_打突攻撃;打撃
格闘(命中), @戦闘アニメ_格闘攻撃;連打
格闘(命中), @戦闘アニメ_アッパー攻撃;アッパー
九鬼流(攻撃), 振る武器突撃 -.bmp
九鬼流(命中), @戦闘アニメ_格闘攻撃;連打;@戦闘アニメ_キック攻撃;キック Crash.wav
九鬼流(命中), @戦闘アニメ_格闘攻撃;連打;@戦闘アニメ_アッパー攻撃;アッパー
九鬼流(命中), @戦闘アニメ_格闘攻撃;連打;@戦闘アニメ_打突攻撃;打撃 FightHit(1).wav
九鬼流(命中), @戦闘アニメ_格闘攻撃;連打;@戦闘アニメ_ヘッドバット攻撃;ダメージ Shock(Low).wav
八咫雷天流(攻撃), 振る武器突撃 -.bmp
八咫雷天流(命中), @戦闘アニメ_格闘攻撃;連打;@戦闘アニメ_キック攻撃;キック Crash.wav
八咫雷天流(命中), @戦闘アニメ_格闘攻撃;連打;@戦闘アニメ_アッパー攻撃;アッパー
八咫雷天流(命中), @戦闘アニメ_格闘攻撃;連打;@戦闘アニメ_打突攻撃;打撃 FightHit(1).wav
八咫雷天流(命中), @戦闘アニメ_格闘攻撃;連打;@戦闘アニメ_ヘッドバット攻撃;ダメージ Shock(Low).wav
コマンドサンボ(攻撃), 振る武器突撃 -.bmp
コマンドサンボ(命中), 立ち固め BreakOff.wav 1
コマンドサンボ(命中), 足固め BreakOff.wav 1
コマンドサンボ(命中), 背負い固め BreakOff.wav 1
コマンドサンボ(命中), 立ち足固め BreakOff.wav 1
鋼の拳(攻撃), 振る武器突撃 -.bmp
鋼の拳(命中), @戦闘アニメ_格闘攻撃;格闘
鋼の拳(命中), @戦闘アニメ_打突攻撃;打撃
鋼の拳(命中), @戦闘アニメ_格闘攻撃;連打
鋼の拳(命中), @戦闘アニメ_アッパー攻撃;アッパー
引き寄せ(準備), 粒子集中 赤
引き寄せ(攻撃), 多触手 赤 Whiz.wav
引き寄せ(命中), 発光 赤 Bow.wav
引き寄せ(クリティカル), 4;吸収 赤 Breakoff.wav
焔螺子(準備), 粒子集中 赤
焔螺子(攻撃), スーパーパンチ 赤
焔螺子(命中), 強打 FightHit(1).wav;ダメージ 赤 Warship.wav
焔錐(準備), 粒子集中 赤
焔錐(攻撃), スーパーパンチ 赤
焔錐(命中), 大刺突 赤
付喪神(準備), 粒子集中 黒 Transform.wav
付喪神(攻撃), スーパーパンチ 黒
付喪神(命中), @戦闘アニメ_スーパーパンチ攻撃 黒;大刺突 黒 Warship.wav
水月(準備), 粒子集中 白
