宇宙海賊
艦首ラムセイバー, Jet.wav
アレスティングアーム(命中), Punch(2).wav
バインディングウィップ(命中), Whip.wav
ブレードショット, Beam.wav
光弾砲, FastGun.wav
レーザーブレード(命中), Slash.wav
リボンウィップ, Saber.wav
リボンウィップ(命中), Whip.wav
マシンガンシューズ, 3;Swing.wav;7;Reload.wav;7;Reload.wav;6;MachineGun.wav
メガネビーム, Charge.wav
リボンソード(準備), Sword.wav
リボンソード, 3;Swing.wav;3;Swing.wav
リボンソード(命中), 3;Slash.wav;3;Slash.wav
液状化攻撃, Fold.wav
伝家の砲搭, Charge(Long).wav
阻止(アレスティングアーム), Punch(2).wav
手裏剣, Bow.wav
手裏剣(命中), Sword.wav
巨大手裏剣, Swing.wav
巨大手裏剣(命中), Slash.wav



銀河パトロール
オコサマキャノン, Bow.wav
オコサマキャノン(命中), Punch.wav
オコサマソード(準備), BeamSaber.wav
ボイスガン, Bazooka.wav
ボイスガン(命中), Punch.wav
ボイスガン(クリティカル), Crash.wav
ブレードショット, Beam.wav
レーザーブレード(命中), Slash.wav
２丁拳銃, 1;Gun.wav;5;Gun.wav

銀河星王家
カカト落とし(命中), 2;Swing.wav;5;Bazooka.wav
×念動(準備), 2;Glass.wav;2;Glass.wav;2;Glass.wav
攻撃無効化(×念動), 2;Glass.wav;2;Glass.wav;2;Glass.wav
×念動, 1;Bazooka.wav;1;Bazooka.wav;1;Bazooka.wav
×念動(命中), 1;Bazooka.wav;1;Bazooka.wav;1;Bazooka.wav
