
ユニバーサルウォリアー
ラピッドクラッシュ, 1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
ラピッドクラッシュ(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;Punch.wav
ニーリングロルフショット, Beam.wav
ロルフショット, Beam.wav
プラネットブレイカー, Jet.wav
プラネットブレイカー(命中), Bazooka.wav
ストライキングナパーム, Breath.wav
ストライキングナパーム(命中), Fire.wav
忍法　影うつし, Saver.wav
無空　殺風陣, 1;Swing.wav;1;Swing.wav;Swing.wav
無空　殺風陣(命中), Slash.wav
颪　颶風剣(命中), 3;Sword.wav;Slash.wav
疾風回身　裂斬殺, Explode(Far).wav
ニードルショット, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
ニードルショット(命中), 5;Punch.wav;3;Punch.wav;3;Punch.wav;2;Punch.wav;Punch.wav
レイザー・ストローク(命中), 2;Punch.wav;Bazooka.wav
サマーソルトキック(命中), Whip.wav
ローリングスライサー, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
ローリングスライサー(命中), 5;Punch.wav;3;Punch.wav;3;Punch.wav;2;Punch.wav;Punch.wav
ギャラクティカサイクロン(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;Punch.wav
ローリングボンバー(命中), Crash.wav
ローリングクラッシュ, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
ローリングクラッシュ(命中), Crash.wav
ラビットブロー(命中), _.wav
ジャイアントナックル(命中), Explode(Far).wav
ブルボンバー, Swing.wav
ブルボンバー(命中), Crash.wav
ブルブレス, Breath.wav
ブルブレス(命中), Fire.wav
ブルショルダー(命中), Crash.wav
ワイルドシェイク(命中), 5;Crash.wav;5;Crash.wav;5;Crash.wav;Crash.wav
ハンマーブレイク(命中), 6;Stairs(Run).wav;Explode(Far).wav
アルブラスト, Whiz.wav
アルブラスト(命中), Punch.wav
アルファイヤー, Whiz.wav
アルファイヤー(命中), Fire.wav
アルサンダー, Thunder.wav
アルスラッガー, Saver.wav
アルスラッガー(命中), Slash.wav
ハイパーモード(スーパーアルバン), Charge.wav
背面アタック(命中), Punch.wav
ダイビング・ヘッドバット(命中), Punch.wav
フライングクロスチョップ(命中), Punch.wav
ハリケーン・ボルト(命中), Crash.wav
ファイナルメガドライバー, Beam.wav
ファイナルメガドライバー(命中), Explode(Far).wav
ムサファーキック(命中), Punch.wav
ムサファーミサイル, Missile.wav
ムサファーミサイル(命中), Explode.wav
ムサファーパンチ(命中), Crash.wav
Ｍスパイラルレッグボマー, 5;Swing.wav;Powerdown.wav
Ｍスパイラルレッグボマー(命中), Crash.wav
デッドリードロップ(命中), Crash.wav
ディストリーボール, Whiz.wav
ディストリーボール(命中), Crash.wav
デモリションボール, Whiz.wav
デモリションボール(命中), Fire.wav
カオスストーム(命中), Fire.wav
アブソリュートディザスター(命中), 3;Thunder.wav;3;Thunder.wav;3;Thunder.wav;Explode(Nuclear).wav
直突き(命中), Punch.wav
直突き木霊, Saver.wav
直突き木霊(命中), Punch.wav
天連振り, 1;Swing.wav;1;Swing.wav;Swing.wav
天連振り(命中), 1;Punch.wav;1;Punch.wav;Punch.wav
跳突き(命中), Bazooka.wav
流水千鳥返し, Combo.wav
流水燕返し, 5;Combo.wav;Crash.wav
硬襲啖, BeamShot.wav
硬襲啖(命中), Punch.wav
蹴り(命中), Punch.wav
頭突き(命中),Crash.wav
ヤコプキック(命中), Punch.wav
