
武者頑駄無
種子島雷威銃, 火縄銃
堂我手裏剣(準備), クナイ
堂我手裏剣(攻撃), クナイ;クナイ;クナイ
堂我手裏剣(命中), 連突
忍者刀(準備), 忍者刀
忍者刀(攻撃), 斬撃
忍者刀(命中), 斬撃
乱散破天, 火炎弾
対乱散破天, 二連小ビーム
乱散破天槌矛(準備), メイス
乱散破天槌矛(攻撃), 振り下ろし
乱散破天槌矛(命中), 強打
手甲, クロー
二連回転機関砲, ガトリング
なまくら刀(準備), 脇差
なまくら刀(攻撃), 斬撃
なまくら刀(命中), 斬撃
長槍, 和槍
長槍, 刺突
長槍, 刺突
百雷槍, 和槍
百雷槍, 刺突
百雷槍, 刺突
御用ちょうちん(準備), フラスコ
御用ちょうちん(攻撃), 小ビーム ピンク
御用ちょうちん(命中), 小ビーム ピンク
幻怪波, 音波
隠し毒針(準備), -
隠し毒針(攻撃), ニードル
隠し毒針(命中), 吹き矢
邪手甲, クロー
邪手甲投撃, 実弾発射 Weapon\EFFECT_IronClaw01.bmp Swing.wav - - 速
呪鬼の杖, 杖
炎散弾銃, ビームライフル Weapon\EFFECT_MatchlockGun01.bmp
雷電撃の術(準備), 魔法集中
雷電撃の術(攻撃), 怪光線
雷電撃の術(命中), 電撃
火炎の術(準備), 魔法集中
火炎の術(攻撃), 火炎弾
火炎の術(命中), 火柱
竜巻の術(準備), 魔法集中
竜巻の術(攻撃), 竜巻
竜巻の術(命中), 強風
暴風波浪注意砲(準備), 魔法集中
暴風波浪注意砲(攻撃), 竜巻;津波
暴風波浪注意砲(命中), 強風;津波
亡者刀(準備), 日本刀
亡者刀(攻撃), 斬撃
亡者刀(命中), 斬撃
狐火刀(準備), 日本刀
狐火刀(攻撃), 斬撃
狐火刀(命中), 斬撃
怪炎刀(準備), 日本刀
怪炎刀(攻撃), 斬撃
怪炎刀(命中), 斬撃
朱漸(準備), 日本刀
朱漸(攻撃), 斬撃
朱漸(命中), 斬撃
炎雷威銃, ビームライフル Weapon\EFFECT_MatchlockGun01.bmp
焼威刃(準備), 日本刀
焼威刃(攻撃), 斬撃
焼威刃(命中), 斬撃
凍牙丸(準備), 日本刀
凍牙丸(攻撃), 斬撃
凍牙丸(命中), 斬撃
凍鬼丸(準備), 日本刀
凍鬼丸(攻撃), 斬撃
凍鬼丸(命中), 斬撃
凍鬼丸(準備), 日本刀
霜風十字斬(攻撃), なぎ払い;振り下ろし
霜風十字斬(命中), 唐竹割り;横大斬撃
爆魔刀(準備), 日本刀
爆魔刀(攻撃), 斬撃
爆魔刀(命中), 斬撃
邪霊槍(準備), 和槍
邪霊槍(攻撃), 刺突
邪霊槍(命中), 刺突
爆魔砲(準備), バズーカ
爆魔砲(攻撃), バズーカ
爆魔砲(命中), 爆発
地動の術(準備), 魔法集中
地動の術(攻撃), 地表衝撃波
地動の術(命中), 落下
双蛇の鞭(準備), -
双蛇の鞭(攻撃), 触手 レッド
双蛇の鞭(命中), 強打
凶蛇の刺股(準備), さす又
凶蛇の刺股(攻撃), 刺突
凶蛇の刺股(命中), 刺突
闇手裏剣(準備), 手裏剣
闇手裏剣(攻撃), 手裏剣
闇手裏剣(命中), 刺突
鉞撃(準備), 火縄銃
鉞撃(攻撃), 斬撃
鉞撃(命中), 斬撃
鉞撃砲, ショットガン  Weapon\EFFECT_MatchlockGun01.bmp
真空刀(鎌)(準備), 鎌 二刀流
真空刀(鎌)(攻撃), 斬撃 二刀流
真空刀(鎌)(命中), 斬撃 二刀流
つむじ返し(準備), 鎌 二刀流
つむじ返し(攻撃), 風;斬撃 二刀流
つむじ返し(命中), 風;斬撃 二刀流
風乱丸, 日本刀
風乱丸(攻撃), 斬撃
風乱丸(命中), 斬撃
尖鋭鎌(準備), 鎌
尖鋭鎌(攻撃), 分銅
尖鋭鎌(命中), 立ち固め;斬撃
乱れ鎖鎌(準備), 鎌
乱れ鎖鎌(攻撃), 分銅;分銅
乱れ鎖鎌(命中), 立ち固め;斬撃乱舞
氷蛇の鞭(準備), 鞭
氷蛇の鞭(攻撃), 白兵武器
氷蛇の鞭(攻撃), 打撃
冷徹剣(準備), 日本刀
冷徹剣(攻撃), 斬撃
冷徹剣(命中), 斬撃
咬竜(準備), 日本刀
咬竜(攻撃), 斬撃
咬竜(命中), 斬撃
魔風烈刀撃(準備), 日本刀
魔風烈刀撃(攻撃), 円月殺法 緑
魔風烈刀撃(命中), 大斬撃
妖鋭爪(準備), -
妖鋭爪(攻撃), 格闘
妖鋭爪(命中), 爪撃
鉤爪(準備), -
鉤爪(攻撃), 格闘
鉤爪(命中), 爪撃
冥府の爪(準備), -
冥府の爪(攻撃), 格闘
冥府の爪(命中), 爪撃
触手, 触手 緑
蛮砕(準備), -
蛮砕(攻撃), ８ＷＡＹ射出
蛮砕(命中), 乱打
白甲剣(準備), 脇差し
白甲剣(攻撃), 斬撃
白甲剣(命中), 斬撃
凍魔白波(準備), 粒子集中 青
凍魔白波(攻撃), 地表衝撃波 ホワイト
凍魔白波(命中), 凍結
槌々素っ転ばし(準備), -
槌々素っ転ばし(攻撃), タックル
槌々素っ転ばし(命中), 強打
呪い牙(準備), -
呪い牙(攻撃), タックル
呪い牙(命中), 噛み付き
破城槌(準備), -
破城槌(攻撃), タックル
破城槌(命中), 超打
妖魔銃, ビームライフル Weapon\EFFECT_MatchlockGun01.bmp
蝦蟇の舌(準備), -
蝦蟇の舌(攻撃), 触手
蝦蟇の舌(命中), 打突
紅空剣(準備), 日本刀
紅空剣(攻撃), 斬撃
紅空剣(命中), 斬撃
蛇体撃(準備), -
蛇体撃(攻撃), 格闘
蛇体撃(命中), 強打
獣魔息(準備), -
獣魔息(攻撃), 火炎放射 赤
獣魔息(命中), 火炎放射 赤
朱炎刀(準備), 青龍刀
朱炎刀(攻撃), 斬撃
朱炎刀(命中), 斬撃
蒼冷刀(準備), 青龍刀
蒼冷刀(攻撃), 斬撃
蒼冷刀(命中), 斬撃
邪術・鬼爪(準備), 魔法集中
邪術・鬼爪(攻撃), -
邪術・鬼爪(命中), 爪撃
鬼斬剣(準備), 野太刀
鬼斬剣(攻撃), 斬撃
鬼斬剣(命中), 斬撃
邪刀・漆黒鬼(準備), 青龍刀
邪刀・漆黒鬼(攻撃), 斬撃
邪刀・漆黒鬼(命中), 斬撃
怒濤山津波(準備), 野太刀
怒濤山津波(攻撃), 振り下ろし
怒濤山津波(命中), 大爆発
鬼神怒髪天(準備), -
鬼神怒髪天(攻撃), 乱打;乱打;乱打
鬼神怒髪天(命中), 乱打;乱打;乱打
副砲, キャノン砲
主砲, 大キャノン砲
連続発射, キャノン砲;大キャノン砲;キャノン砲;大キャノン砲
槌矛(準備), メイス
槌矛(攻撃), 白兵武器
槌矛(命中), 打撃
雪崩錫杖(準備), 杖
雪崩錫杖(攻撃), 白兵武器
雪崩錫杖(命中), 打撃
邪錬金の錫杖(準備), 棒
邪錬金の錫杖(攻撃), 刺突
邪錬金の錫杖(命中), 打撃
突々弾(準備), 棒
突々弾(攻撃), 刺突
突々弾(命中), 打撃
突々連打撃(準備), 棒
突々連打撃(攻撃), 連突;連突;連突
突々連打撃(命中), 連打;連打;乱打
怒髪天砲(準備), -
怒髪天砲(攻撃), 炎打ち上げ
怒髪天砲(命中), 爆発
氷柱落とし(準備), 魔法集中
氷柱落とし(攻撃), 氷柱
氷柱落とし(命中), 強打
雪女の涙(準備), 魔法集中
雪女の涙(攻撃), 雪だるま
雪女の涙(命中), 凍結
水刀・赤星(準備), 日本刀
水刀・赤星(攻撃), 斬撃
水刀・赤星(命中), 斬撃
尻子玉飛来撃(準備), -
尻子玉飛来撃(攻撃), ８ＷＡＹ射出
尻子玉飛来撃(命中), オールレンジ
水竜巻(準備), -
水竜巻(攻撃), 中ビーム ブルー Splash.wav
水竜巻(命中), 飛沫
熊手(準備), -
熊手(攻撃), 中ビーム ブルー Splash.wav
熊手(命中), 飛沫
金剛棍(準備), 日本刀
金剛棍(攻撃), 斬撃
金剛棍(命中), 斬撃
重装乱散破天(準備), -
重装乱散破天(攻撃), 小型ミサイル;２連小ビーム
重装乱散破天(命中), 小型ミサイル;２連小ビーム
輪体撃(準備), Bike.wav
輪体撃(攻撃), タックル Engine.wav
輪体撃(命中), 突く武器突撃 -.bmp
げっぷ玉(準備), -
げっぷ玉(攻撃), 泡
げっぷ玉(命中), 飛沫
水かき(準備), -
水かき(攻撃), 格闘
水かき(命中), 打撃
真・水かき(準備), -
真・水かき(攻撃), 格闘
真・水かき(命中), 打撃
猛突進, タックル
化侶化依侶(準備), -
化侶化依侶(攻撃), 泡
化侶化依侶(命中), 飛沫
双風剣(準備), サーベル 二刀流
双風剣(攻撃), 斬撃 二刀流
双風剣(命中), 斬撃 二刀流
愛々輪(準備), チャクラム
愛々輪(攻撃), 回転投擲 Weapon\EFFECT_Chakram01.bmp 32 - - -
愛々輪(命中), 光噴出 桃
飛出手裏剣(準備), 手裏剣
飛出手裏剣(攻撃), 手裏剣
飛出手裏剣(命中), 刺突
風斬り(準備), -
風斬り(攻撃), タックル
風斬り(命中), 斬撃
くない乱れ投げ(準備), -
くない乱れ投げ(攻撃), クナイ;クナイ;クナイ
くない乱れ投げ(命中), ダメージ
雷爪(準備), 十手
雷爪(攻撃), 白兵武器
雷爪(命中), 打撃
雷体撃(準備), -
雷体撃(攻撃), 格闘
雷体撃(命中), 強打
貫通電撃(準備), 魔法集中
貫通電撃(攻撃), ニードルレーザー イエロー
貫通電撃(命中), ニードルレーザー イエロー;電撃
八方電撃陣(準備), 魔法集中
八方電撃陣(攻撃), ＭＡＰ放電
八方電撃陣(命中), 大放電
雷導波(準備), 粒子集中
雷導波(攻撃), 中ビーム イエロー Thander.wav
雷導波(命中), 電撃
マタギ斧, トマホーク
怒管砲(準備), バズーカ
怒管砲(攻撃), バズーカ
怒管砲(命中), 爆発
尖斧乱心(準備), トマホーク
尖斧乱心(攻撃), 斬撃乱舞
尖斧乱心(命中), 斬撃乱舞
言霊弾・爆睡(準備), 五芒星
言霊弾・爆睡(攻撃), ミサイル
言霊弾・爆睡(命中), 逆五芒星
言霊弾・恐怖(準備), 五芒星
言霊弾・恐怖(攻撃), ミサイル
言霊弾・恐怖(命中), 逆五芒星
歪転閃光(準備), -
歪転閃光(攻撃), 交差ビーム レッド イエロー;交差ビーム イエロー ブルー
歪転閃光(命中), 交差ビーム レッド イエロー;交差ビーム イエロー ブルー
砕壁槌(準備), -
砕壁槌(攻撃), タックル
砕壁槌(命中), 超打
亀丸(準備), ドス
亀丸(攻撃), 斬撃
亀丸(命中), 斬撃
激痛球(準備), 鎖鉄球
激痛球(攻撃), 鎖鉄球
激痛球(命中), 強打
斬空剣(準備), 日本刀
斬空剣(攻撃), 斬撃
斬空剣(命中), 斬撃
棍棒・鬼牙(準備), 棍棒
棍棒・鬼牙(攻撃), 白兵武器
棍棒・鬼牙(命中), 強打
斬空両断(準備), 日本刀
斬空両断(攻撃), 振り下ろし
斬空両断(命中), 唐竹割り
卍輪(準備), 手裏剣
卍輪(攻撃), 手裏剣
卍輪(命中), ダメージ
双刃斧(準備), 両刃鎌
双刃斧(攻撃), 斬撃
双刃斧(命中), 斬撃
寸裂斬(準備), 両刃鎌
寸裂斬(攻撃), 連斬撃
寸裂斬(命中), 連斬撃
回転地獄斬(準備), 両刃鎌
回転地獄斬(攻撃), 回転斬撃
回転地獄斬(命中), 回転斬撃
鬼くない・壱式(準備), -
鬼くない・壱式(攻撃), クナイ
鬼くない・壱式(命中), ダメージ
鬼くない・弐式(準備), -
鬼くない・弐式(攻撃), クナイ
鬼くない・弐式(命中), ダメージ
鬼刀・壱式(準備), 日本刀
鬼刀・壱式(攻撃), 斬撃
鬼刀・壱式(命中), 斬撃
鬼刀・弐式(準備), 日本刀
鬼刀・弐式(攻撃), 斬撃
鬼刀・弐式(命中), 斬撃
牙鬼斬(準備), 日本刀
牙鬼斬(攻撃), 振り下ろし
牙鬼斬(命中), 大斬撃
爪鬼斬(準備), 日本刀
爪鬼斬(攻撃), 振り下ろし
爪鬼斬(命中), 大斬撃
牙鬼面黒炎弾(準備), -
牙鬼面黒炎弾(攻撃), ４ＷＡＹ射出
牙鬼面黒炎弾(命中), 乱打
邪眼呪縛陣(準備), 五芒星
邪眼呪縛陣(攻撃), 粒子集中
邪眼呪縛陣(命中), 逆五芒星
毒針連射(準備), -
毒針連射(攻撃), ニードル連射
毒針連射(命中), ニードル連射
妖体撃(準備), -
妖体撃(攻撃), 格闘
妖体撃(命中), 強打
鎌痛血(準備), -
鎌痛血(攻撃), 旋風
鎌痛血(命中), 連斬撃
猛毒汁(準備), -
猛毒汁(攻撃), 旋風
猛毒汁(命中), 連斬撃
邪眼貫通弾(準備), -
邪眼貫通弾(攻撃), ニードルレーザー イエロー
邪眼貫通弾(命中), 打撃
殻体撃(準備), -
殻体撃(攻撃), 格闘
殻体撃(命中), 強打
蟹爪(準備), -
蟹爪(攻撃), 格闘
蟹爪(命中), 爪撃
超圧激流波(準備), 魔法集中
超圧激流波(攻撃), 大ビーム 白 Splash.wav
超圧激流波(命中), 大ビーム 白
傀儡の舞(準備), 魔法集中
傀儡の舞(攻撃), 音波
傀儡の舞(命中), 音波
羽手裏剣(準備), -
羽手裏剣(攻撃), 小柄
羽手裏剣(命中), 刺突
巨体撃(準備), -
巨体撃(攻撃), 格闘
巨体撃(命中), 強打
張り扇(準備), -
張り扇(攻撃), 格闘
張り扇(命中), 強打
地獄炎弾(準備), 魔法集中
地獄炎弾(攻撃), 火炎弾
地獄炎弾(命中), 炎
爆炎雨(準備), 魔法集中
爆炎雨(攻撃), 炎投射
爆炎雨(命中), 炎
鎖鞭(準備), 鞭
鎖鞭(攻撃), チェーン
鎖鞭(命中), 斬撃
捕縛弾(準備), -
捕縛弾(攻撃), グレネード
捕縛弾(命中), 打撃
爆火砲, 火炎弾
冷気息(準備), -
冷気息(攻撃), 火炎放射 白 Wind.wav
冷気息(命中), 凍結
氷獄乱・絶対零度(準備), 粒子集中 青
氷獄乱・絶対零度(攻撃), 火炎放射 白 Breath.wav
氷獄乱・絶対零度(命中), 吹雪
人影の術(準備), 魔法集中
人影の術(攻撃), 分身斬撃
人影の術(命中), 立ち固め;乱打
種手裏剣(準備), 魔法集中
種手裏剣(攻撃), マシンガン
種手裏剣(命中), マシンガン
携武留(準備), -
携武留(攻撃), クナイ 有線
携武留(命中), 強打

