ディスガイア
ヴァジュラ, ソード
魔王剣, ソード
獄炎ナックル(攻撃), 急降下
獄炎ナックル(命中), 急降下;爆発
飛天無双斬(準備), ソード;オーラ上昇
飛天無双斬(攻撃), 急降下;瞬間変形 -.bmp
飛天無双斬(命中), 強打 Crash.wav
魔王玉(準備), オーラ上昇
魔王玉(攻撃), 斬撃;連気弾
魔王玉(命中), 大爆発 Explode(Far).wav
秘剣・闇夜斬り(準備), ソード
秘剣・闇夜斬り(攻撃), 振り上げ
秘剣・闇夜斬り(命中), アッパー Crash.wav;スーパータックル乱舞 赤 Slash(4).wav;3;-.wav;飛沫 青 Explode(Far).wav
メテオインパクト(攻撃), 急降下;瞬間変形 -.bmp;4;-.wav;飛来アップ Anime\Bullet\EFFECT_Meteor01.bmp Storm.wav
メテオインパクト(命中), 超爆発
デモンスピア, スピア
エルダースピア, スピア
セクスィービーム(攻撃), 画像前面発射 Anime\Common\EFFECT_Heart01.bmp LaserGun.wav
セクスィービーム(命中), 飛沫 桃
プリニー落とし(攻撃), @戦闘アニメ_斜め落ち共通 Unit\DISGAEA_PlinianTroopsU.bmp Bomb.wav
プリニー落とし(命中), 連続大爆発
タービュレンス(準備), スピア
タービュレンス(攻撃), 振り回し Weapon\EFFECT_Spear01.bmp 32;旋風 緑
タービュレンス(命中), 旋風 緑
カオスインパクト(攻撃), なぎ払い;連気弾;光球 赤 AntiShipMissile.wav
カオスインパクト(命中), 連続爆発;超爆発
プリニー投げ(準備), 瞬間変形 -.bmp Partner(1);振る武器 Unit\DISGAEA_PlinianTroopsU.bmp
プリニー投げ(攻撃), 投擲武器 Unit\DISGAEA_PlinianTroopsU.bmp;2;-.wav;ＭＡＰ大爆発
プリニー投げ(命中), ダメージ Explode.wav
カーチス投げ(準備), 瞬間変形 -.bmp Partner(1);振る武器 Unit\DISGAEA_Curtis(Plinie)U.bmp
カーチス投げ(攻撃), 投擲武器 Unit\DISGAEA_Curtis(Plinie)U.bmp;2;-.wav;ＭＡＰ大爆発 Explode(Far).wav
カーチス投げ(命中), ダメージ Explode.wav
マジカルスタッフ, 杖
プリニー棒, 棒
ホーリーアロー(準備), 魔法陣 白
ホーリーアロー(攻撃), ニードルレーザー連射 白 Whiz.wav
ホーリーアロー(命中), ニードルレーザー連射 白 Whiz.wav;大爆発
裁きの光(準備), 魔法集中 白;翼 二刀流
裁きの光(攻撃), 拡散ビーム 白
裁きの光(命中), 拡散ビーム 白
フォーリンアロー(準備), 魔法陣 赤 Beamshot.wav
フォーリンアロー(攻撃), ニードルレーザー連射 赤 Whiz.wav
フォーリンアロー(命中), ニードルレーザー連射 赤 Whiz.wav;大爆発
大怪獣フロン(準備), 変形 Anime\Creature\EFFECT_ChineseDragon(White)01.bmp Charge.wav
大怪獣フロン(攻撃), 火炎放射 Breath.wav
大怪獣フロン(命中), 火炎放射
ヒール, 回復魔法
メガヒール, 回復魔法
ギガヒール, 回復魔法
エスポワール, 回復魔法泡
光線銃・さむらい, スーパーガン
ゴードンスパーク(攻撃), 格闘
ゴードンスパーク(命中), ドライバー Explode.wav
ゴードンパンチ, スーパーパンチ 黄
ゴードンアタック, スーパーパンチ乱舞 黄
インフェルノ(準備), スーパーガン
インフェルノ(攻撃), ピストル Weapon\EFFECT_SuperGun01.bmp;ピストル Weapon\EFFECT_SuperGun01.bmp;ピストル Weapon\EFFECT_SuperGun01.bmp;ピストル Weapon\EFFECT_SuperGun01.bmp
インフェルノ(命中), 小ビーム 赤 ランダム方向;小ビーム 赤 ランダム方向;小ビーム 赤 ランダム方向;小ビーム 赤 ランダム方向
カンフー, 連打
ファーストアーツ(攻撃), キック;打突
ファーストアーツ(命中), 強打;強打 Explode.wav
セカンドアーツ(攻撃), なぎ払い;実弾発射 Anime\Common\EFFECT_SonicBoom(Red)02.bmp Whiz.wav
セカンドアーツ(命中), 飛沫 赤 Explode.wav
ファイナルアーツ(攻撃), 打突
ファイナルアーツ(命中), ドライバー Explode.wav;強打 Crash.wav;2;-.wav;大爆発
ロボアタック, スピンアタック
ロボクラッシュ, スーパータックル乱舞 黄
ロボバズーカ(準備), -
ロボバズーカ(攻撃), ロックオン;大キャノン砲
ロボバズーカ(命中), 爆発
サヨナラロボ(攻撃), ＭＡＰ大爆発 Explode(Nuclear).wav
サヨナラロボ(命中), 爆発
エネルギーガン, 小ビーム
ロケットアーム, ロケットパンチ
ファイナルアーム(準備), ロケットパンチ
ファイナルアーム(攻撃), ロケットパンチ
ファイナルアーム(命中), Drill.wav;大爆発
超電子融合爆破(準備), 魔法集中 黄
超電子融合爆破(攻撃), ＭＡＰ火炎弾 黄;ＭＡＰ爆発
超電子融合爆破(命中), 超爆発
スペーストライアングル(準備), 同時粒子集中 白
スペーストライアングル(攻撃), 光投射 白
スペーストライアングル(命中), 飛沫 白
プラズマカルテット(準備), 同時粒子集中 白
プラズマカルテット(攻撃), 光投射 白
プラズマカルテット(命中), 超爆発
プラズマカルテット(Ｐ)(準備), 同時粒子集中 白
プラズマカルテット(Ｐ)(攻撃), 光投射 白
プラズマカルテット(Ｐ)(命中), 超爆発
プリニーラッシュ, ナイフ 二刀流
プリニー連射(準備), ナイフ 二刀流
プリニー連射(攻撃), 投げナイフ;投げナイフ
プリニー連射(命中), 連突
プリニー踊り(攻撃), 魔法放射 緑
プリニー踊り(命中), 粒子噴射 緑
プリニー爆弾, 爆弾
プリニガービーム(攻撃), ＭＡＰ持続ビーム
プリニガービーム(命中), 超爆発 Explode(Nuclear).wav
ビューティー弾(攻撃), 気弾
ビューティー弾(命中), 爆発
ビューティー波(攻撃), スーパータックル 青
ビューティー波(命中), スーパータックル 青;強風
ビューティー撃(攻撃), 分身打撃
ビューティー撃(命中), 分身打撃
真ビューティー弾(攻撃), 急降下;瞬間変形 -.bmp;4;-.wav;飛来アップ Anime\Common\EFFECT_Moon01.bmp Storm.wav
真ビューティー弾(命中), 超爆発
必殺！回転斬り, 回転斬撃
奥義！暗黒斬り(準備), 片刃斧
奥義！暗黒斬り(攻撃), 黒斬撃
奥義！暗黒斬り(命中), 黒斬撃
押忍！土竜突き, スーパータックル 橙
秘技！岩石落とし, 岩
ヴァンファイア(攻撃), 火炎弾
ヴァンファイア(命中), 連続爆発
ヴァンパレード, スピンアタック 黒
ヴァンフォース(攻撃), 魔法放射 黒;怨霊
ヴァンフォース(命中), 粒子噴射 黒
ヴァンプラズマ(準備), 粒子集中 黄
ヴァンプラズマ(攻撃), フラッシュ 黄 Thunderbolt.wav
ヴァンプラズマ(命中), 大落雷
炎の拳, 格闘
火竜撃(攻撃), 打突
