
ＡＴレディ
ほおりなげ, 投げ飛ばし
ロケット手首, ロケットパンチ
車投げ(準備), 突く武器 M_PoliceCarU.bmp Reload.wav
車投げ(攻撃), 投擲武器 M_PoliceCarU.bmp 残像 Bomb.wav
車投げ(命中), ロケットパンチ M_PoliceCarU.bmp Crash.wav
七万馬力, タックル
ウルトラアルカリ最大出力, スーパータックル
ビーム警棒, ライトセイバー 赤
制式レーザー銃, レーザーガン
電磁ロッド, チェーン
電磁ロッド(命中), 雷斬撃 Whip.wav
犯罪データファイル(使用), @戦闘アニメ_５インチフロッピー攻撃 Computer.wav
犯罪データファイル(発動), エネルギーフィールド展開 -.wav
ケンカ殺法, 連打
ケンカ殺法, 乱打
急降下キック(攻撃), 急降下
急降下キック(命中), 急降下
加速装置(攻撃), ＭＡＰ移動タックル 桃
加速装置(命中), ダメージ Slash.wav
Ｘ線レーザー銃, バスタービームライフル 橙
レーダーバード(使用), @戦闘アニメ_鳩攻撃 Sharara.wav
レーダーバード(発動), 粒子集中 緑 -.wav

ＡＴ
ウインチ(準備), クロー Drill.wav
ウインチ(攻撃), 実弾発射 Weapon\EFFECT_IronClaw01.bmp 32 Cannon.wav
ウインチ(命中), 爪撃
ミサイルランチャー, ミサイルランチャー
牙(準備), -
牙(攻撃), タックル
牙(命中), 噛み付き
ズビズバカノン, ＭＡＰビーム


ヒットロイド３３号
加速装置(攻撃), ＭＡＰ移動タックル 黒
加速装置(命中), ダメージ Slash.wav
強力レーザーガン, ビームライフル
格闘(攻撃), 白兵武器
格闘(命中), ダメージ Slash.wav
スピア(準備), スピア
スピア(攻撃), 白兵武器
スピア(攻撃), 刺突
スピア(攻撃), スピア突撃
スピア(命中), ダメージ Stab.wav
スピア(命中), スピア突撃
スピア(命中), 大斬撃
スピア(命中), 大刺突

悪のロボット
すけべー攻撃, スーパータックル 桃
しおふき攻撃(準備), 津波
しおふき攻撃(攻撃), 津波 Storm.wav
しおふき攻撃(命中), 津波 Splash.wav
モリモリ攻撃(攻撃), 矢連射 Cannon.wav
モリモリ攻撃, 矢連射
キック, 浴びせ蹴り
バタ足攻撃, 踏み潰し
高圧電流(準備), 放電
高圧電流(攻撃), 触手 黄 LaserGun.wav
高圧電流(命中), 雷斬撃
触手, 触手 青
タコ足, 多触手 赤
エネルギー吸収触手(攻撃), 多触手 黄 LaserGun.wav
エネルギー吸収触手(命中), 多触手 黄;放電;吸収 黄

