汎用
レインドロップ, ２連水流 水色

クレヨン王国
光のリュウ(クラウド)(準備), ショートソード;2;光噴出 白
光のリュウ(クラウド)(攻撃), 触手 黄色
光のリュウ(クラウド)(命中), 竜炎 黄色 発光
格闘, 格闘
トマトマト, 気弾 赤
ノビルジャー, 強打
みんなの力, 立ち固め
公爵家の剣, ショートソード
投げ飛ばし, ジャイアントスイング
石化(クラウド)(準備), ショートソード
石化(クラウド)(攻撃), 落雷 白
石化(クラウド)(命中), -
石化(クラウド)(とどめ), @戦闘アニメ_フラッシュ攻撃 相手パイロットＩＤ
ピーマンソード, 光剣 緑
ピーマンソード, 光剣突撃 緑
撮影(攻撃), 発光 白 Reload.wav;発光 白 Reload.wav
撮影(命中), -
ホイッスル(攻撃), Whitsle.wav
ホイッスル(命中), -
門番の意地, 棒 二刀流
木の棒, 棒
ストンストンキック, スーパーキック
鼻息(攻撃), 飛びかかり
鼻息(命中), 3;旋風
パワーキノコ(準備), 光球集中
パワーキノコ(攻撃), 炎 対象ユニットＩＤ;3;スーパータックル
パワーキノコ(命中), スーパータックル
しびれ薬, 注射器 黄色
爪, 爪撃
影渡り(準備), 透明化
影渡り(攻撃), 大気放出 黒
影渡り(命中), 5;立ち固め 1;透明化 解除;立ち固め
石化光線(準備), 光球集中 紫
石化光線(攻撃), 特殊光線
石化光線(命中), 特殊光線;フラッシュ
死に灸(攻撃), 格闘
死に灸(命中), 吸収
ハッピーダンス(準備), 音符 オレンジ Charge.wav
ハッピーダンス(攻撃), 音符 オレンジ Charge.wav
ハッピーダンス(命中), -
みんなでハッピーダンス, ＭＡＰ音符 オレンジ Charge.wav
みんなでハッピーダンス(命中), -
みんなでハッピーダンス(分離), ＭＡＰ音符 オレンジ Charge.wav
みんなでハッピーダンス(分離)(命中), -
ハッピーダンス【ＭＡＰ】, ＭＡＰ音符 オレンジ Charge.wav
ハッピーダンス【ＭＡＰ】(命中), -
黄金のマゴの手(準備), 光噴出 黄色;3
黄金のマゴの手(攻撃), @戦闘アニメ_方天戟準備;2;連突
黄金のマゴの手(命中), 連打 Charge(High).wav;3;回転 3 PowerDown.wav
小太刀, ダガー
武烈流奥義, 連続なぎ払い
炎, 炎投射
天使のスタンプ(準備), 光弓矢
天使のスタンプ(攻撃), 光弓矢;フラッシュ 白
天使のスタンプ(命中), -

#王女はアニメ繁雑なので分離しています
王女シルバー＝マーガレット
デッキブラシ, 殴打武器 DGoods\EFFECT_Broom01.bmp
シルバースペシャル(準備), 振る武器 DGoods\EFFECT_Broom01.bmp
シルバースペシャル(攻撃), 振る武器突撃 DGoods\EFFECT_Broom01.bmp
シルバースペシャル(命中), 振る武器突撃 DGoods\EFFECT_Broom01.bmp
クレヨンペン(準備), 振る武器 Weapon\EFFECT_FancyMagicRod03.bmp
クレヨンペン(攻撃), -
クレヨンペン(命中), 「赤！」;@戦闘アニメ_リングビーム攻撃 赤;リングビーム 赤 Charge(High).wav
クレヨンペン(命中), 「青！」;@戦闘アニメ_リングビーム攻撃 青;リングビーム 青 Charge(High).wav
クレヨンペン(命中), 「水色！」;@戦闘アニメ_リングビーム攻撃 水色;リングビーム 水色 Charge(High).wav
クレヨンペン(命中), 「黄色！」;@戦闘アニメ_リングビーム攻撃 黄色;リングビーム 黄色 Charge(High).wav
クレヨンペン(命中), 「緑！」;@戦闘アニメ_リングビーム攻撃 緑;リングビーム 緑 Charge(High).wav
クレヨンペン(命中), 「草色！」;@戦闘アニメ_リングビーム攻撃 緑;リングビーム 緑 Charge(High).wav
クレヨンペン(命中), 「ピンク！」;@戦闘アニメ_リングビーム攻撃 ピンク;リングビーム ピンク Charge(High).wav
クレヨンペン(命中), 「黒！」;@戦闘アニメ_リングビーム攻撃 黒;リングビーム 黒 Charge(High).wav
クレヨンペン(命中), 「灰色！」;@戦闘アニメ_リングビーム攻撃 黒;リングビーム 黒 Charge(High).wav
クレヨンペン(命中), 「白！」;@戦闘アニメ_リングビーム攻撃 白;リングビーム 白 Charge(High).wav
クレヨンペン(命中), 「オレンジ！」;@戦闘アニメ_リングビーム攻撃 オレンジ;リングビーム オレンジ Charge(High).wav
