
ＥＸＴＲＡＶＡＧＡＮＺＡ
シールド防御(獣魔蟲)(解説), 獣魔蟲が櫻井夢美を守った。
獣魔蟲の触手(解説), 獣魔蟲が触手で攻撃をかけた。
獣魔蟲の力(解説), 力を解放した獣魔蟲が触手で攻撃をかけた。
力の解放(解説), 獣魔蟲は力を解放し、触手で攻撃をかけた。
両脚の触手化, $(パイロット)は両脚を触手化させ攻撃をかけた。
捕獲蟲(解説), $(パイロット)は捕獲蟲を放った。
痺蟲(解説), $(パイロット)は痺蟲を放った。
刃蟲(解説), $(パイロット)は刃蟲を放った。
鉄甲蟲(解説), $(パイロット)は鉄甲蟲を放った。
飛炎蟲(解説), $(パイロット)は飛炎蟲を放った。
爆蟲(解説), $(パイロット)は爆蟲を放った。
秘蟲(解説), $(パイロット)は秘蟲を放った。
一斉攻撃(解説), $(パイロット)は大量の蟲を一斉に放った。
刻凍る果ての獣魔(解説), 力を解放した獣魔蟲が触手で攻撃をかけた。
蟲(解説), $(パイロット)は蟲を放った。
西博士製蟲(解説), $(パイロット)は西博士からもらった蟲を放った。
蟲乱射(解説), $(パイロット)はありったけの数の蟲を解き放った。

