ＯＦ
エネルギーシールド, Beamcoat.wav
グラブスルー, Saber.wav
グラブスルー(命中), 2;Swing.wav;2;Swing.wav;2;Swing.wav;4;Swing.wav;2;Crash.wav
グラブスルー(N), Saber.wav
グラブスルー(N)(命中), 2;fighthit(3).wav;2;fighthit(3).wav;2;fighthit(3).wav;7;fighthit(3).wav;6;Jet.wav;2;Crash.wav
ジャベリン, 1;Swing.wav
ジャベリン(命中), Saber.wav
スナイパー, Saber.wav
ゲイザー, 3;Bow.wav
ゲイザー(クリティカル), 7;Beamsaber.wav
エネルギーショット, 2;Beam.wav;2;Beam.wav
ファランクス, MicroMissile.wav
ホーミングランス, 3;Whiz.wav;7;Beam.wav
ガントレット, Bazooka.wav
ガントレット(命中), 2;Shock(Low).wav
コメット, Warship.wav
ハルバード, Lasergun.wav
パドルブレード, 4;Whiz.wav
パドルブレード(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav
バーストブレード,  5;Charge.wav;4;Whiz.wav
バーストブレード(命中),  1;Saber.wav
バーストショット, 7;Charge(long).wav;4;Cannon.wav
バーストショット(命中), Explode.wav
ホーミングミサイル, 3;Reload.wav;3;Reload.wav;3;MultipleRocketLauncher.wav
Ｆマイントラップ, Saber.wav
Ｆマイントラップ(命中), Explode(Small).wav
フローティングマイン, 2;Saber.wav;2;Saber.wav;2;Saber.wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav
ベクターキャノン, 13;Charge(2).wav;10;Explode(Long).wav
ゼロシフト, 10;Inori.wav;4;Inori.wav
ゼロシフト(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav
スマートミサイル, 2;Missile.wav;2;Missile.wav;2;Missile.wav
リップルレーザー, 2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav
フォーメーションアタック, 5;Jet.wav;2;LaserGun.wav;2;LaserGun.wav;2;Missile.wav;2;Missile.wav;2;Missile.wav;2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav
ガントレットラッシュ, 3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav
ガントレットラッシュ(命中), 3;Shock(Low).wav;3;Shock(Low).wav;3;Shock(Low).wav;5;Whiz.wav;3;Crash.wav
アトラクターアタック, Charge(Long).wav
アトラクターアタック(命中), 1;Swing.wav;1;Swing.wav;1;Swing.wav;3;Explode(Small).wav
高速スピン, Drill.wav
クナイ, Bow.wav;Bow.wav;Bow.wav
クナイ(命中), Sword.wav;Sword.wav;Sword.wav
フレイム, Saber.wav;3;Fire.wav
フレイム(命中), Explode(Small).wav
ウィスプメテオ, 10;Bomb.wav;10;Fastgun.wav
ウィスプメテオ(命中), Explode(Small).wav
空間振動波, Hide.wav
空間振動波(命中), Inori.wav
プレス, 10;Whiz.wav;10;Bomb.wav
プレス, 5;Crash.wav
プローブ, Fold.wav
プローブ(命中), Search.wav
突進, 3;Flyby.wav
突進(命中), 2;Crash.wav
ホーミングショット, Beam.wav
ハイ・ウィスプ, 2;Beam.wav;2;Beam.wav;2;Beam.wav
コフィンブラスター, 10;Charge.wav;5;Beam.wav
バドスラスト, 10;Charge.wav;5;Jet.wav
バドスラスト(命中), 5;Crash.wav
シールドアタック, 3;Flyby.wav
シールドアタック(命中), 2;Crash.wav
グラブスルー(A), Saber.wav
グラブスルー(A)(命中), 4;Swing.wav;2;Crash.wav
ハウンドスピア, 1;Beam.wav;1;Beam.wav;1;Beam.wav
ハウンドスピア(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav
バーストショット(A), 7;Charge(long).wav;4;Explode(Long).wav
バーストショット(A)(命中), Explode.wav
大出力レーザー砲, 10;Charge.wav;5;Beam.wav
エネルギー主砲, 10;Charge.wav;2;Beam.wav;2;Beam.wav
エネルギー連装砲, 10;Charge.wav;2;Beam.wav;2;Beam.wav
