
## ダンテ　トニー ###########################

デビルメイクライ
フォースエッジ, 銀剣
ハイタイムジャンプ(準備), 銀剣
ハイタイムジャンプ(攻撃), 振り上げ
ハイタイムジャンプ(命中), 振り上げ
連続突き(準備), 銀剣
連続突き(攻撃), 連斬撃;連突
連続突き(命中), 連斬撃;連突
スパーダ(準備), -
スパーダ(攻撃), 連斬撃;斬撃突撃
スパーダ(命中), 連斬撃;超斬撃
ハイタイムジャンプ(Ｓ)(準備), -
ハイタイムジャンプ(Ｓ)(攻撃), 振り上げ
ハイタイムジャンプ(Ｓ)(命中), 振り上げ Crash.wav
連続突き(Ｓ)(準備), -
連続突き(Ｓ)(攻撃), 連斬撃;乱突
連続突き(Ｓ)(命中), 連斬撃;乱突
光弾, ニードルレーザー連射 赤
魔剣スパーダ(準備), -
魔剣スパーダ(攻撃), エナジーブレード突撃 赤
魔剣スパーダ(命中), ハイパービームサーベル 赤
火炎弾, 火炎弾
炎龍(準備), 粒子集中 赤
炎龍(攻撃), 竜炎 大
炎龍(命中), 竜炎 大
アラストル(準備), ソード
アラストル(攻撃), 連斬撃
アラストル(命中), 連斬撃
ラウンドトリップ(準備), ソード
ラウンドトリップ(攻撃), なぎ払い
ラウンドトリップ(命中), 回転斬撃
スティンガー(準備), ソード
スティンガー(攻撃), タックル;刺突
スティンガー(命中), 刺突 Crash.wav
ヘルムブレイカー(準備), ソード
ヘルムブレイカー(攻撃), 急降下
ヘルムブレイカー(命中), 急降下 -.wav;唐竹割り Crash.wav
雷撃, 電撃
ヴォルテックス, スーパータックル
イフリート(攻撃), 打突;打突;キック;スピンキック
イフリート(命中), 連続爆発;小爆発
ローリングブレイズ(攻撃), ＭＡＰ移動タックル 赤
ローリングブレイズ(命中), 炎
キック１３(準備), -
キック１３(攻撃), スピンキック
キック１３(命中), 超打
マグマドライブ(準備), -
マグマドライブ(攻撃), 超アッパー
マグマドライブ(命中), 超アッパー
メテオ(準備), 粒子集中 赤
メテオ(攻撃), 火炎弾
メテオ(命中), 超打 Bazooka.wav
インフェルノ(準備), 粒子集中 赤
インフェルノ(攻撃), 振り下ろし;ＭＡＰ超爆発
インフェルノ(命中), 超爆発
エボニー＆アイボリー(準備), 左右別武器 EFFECT_DMC_Ebony01.bmp - - EFFECT_DMC_Ivory01.bmp - - Reload.wav
エボニー＆アイボリー(攻撃), 内蔵チェーンガン 赤
エボニー＆アイボリー(命中), 内蔵チェーンガン 赤
フォースエッジ装備, Transform.wav
スパーダ装備, Transform.wav
アラストル装備, Transform.wav
イフリート装備, Transform.wav
ハイパーモード(魔人化【アラストル】), 魔法放射 青 Whiz.wav
ハイパーモード(魔人化【イフリート】), 魔法放射 赤 Whiz.wav
ハイパーモード(魔人化【ダンテ】), オーラ 赤 Whiz.wav
ハイパーモード(魔人化), オーラ 黒 Whiz.wav
