
戦術機
リアクティブアーマー(準備),        振る武器 ML_Shield.bmp 32
リアクティブアーマー(攻撃),        タックル
リアクティブアーマー(命中),        強打
65式近接戦闘短刀,                  斬撃武器 ML_Type65-PBKnife.bmp 32
74式近接戦闘長刀,                  斬撃武器 ML_Type74-PBSword.bmp 36
二刀近接戦闘長刀,                  斬撃武器 ML_Type74-PBSword.bmp 36 二刀流
ＣＩＷＳ－１,                      斬撃武器 ML_Type65-PBKnife.bmp 32
ＣＩＷＳ－２,                      斬撃武器 ML_Type74-PBSword.bmp 36
ＣＩＷＳ－２×２,                  斬撃武器 ML_Type74-PBSword.bmp 36 二刀流
36mm突撃機関砲,                    マシンガン ML_Type87-AssaultRifle.bmp 32
二挺突撃機関砲,                    マシンガン ML_Type87-AssaultRifle.bmp 32;マシンガン Anime\Weapon\ML_Type87-AssaultRifle.bmp 32
突撃砲一斉掃射,                    マシンガン ML_Type87-AssaultRifle.bmp 32;マシンガン Anime\Weapon\ML_Type87-AssaultRifle.bmp 32
120mm滑空砲,                       対物ライフル ML_Type87-AssaultRifle.bmp 32
36mmチェーンガン,                  マシンガン ML_AMWS-21.bmp 32
36mmチェーンガン×２,              マシンガン ML_AMWS-21.bmp 32; マシンガン Anime\Weapon\ML_AMWS-21.bmp 32
チェーンガン一斉掃射,              マシンガン ML_AMWS-21.bmp 32; マシンガン Anime\Weapon\ML_AMWS-21.bmp 32
120mm滑空砲(AMWS-21),              対物ライフル ML_Type87-AssaultRifle.bmp 32
87式支援突撃砲,                    長筒 ML_Type87-AssaultRifle(Long).bmp 48
73式地対地狙撃砲,                  対物ライフル ML_SS-SniperRifle.bmp. 48
自律制御型多目的ミサイル,          ホーミングミサイル
ＡＬＭランチャー(発動),            煙
36mmチェーンガン(海神),            機関砲
120mm滑空砲(海神),                 キャノン砲 4
ミサイルランチャー,                小型ミサイル 4
フェニックス(準備),                -
フェニックス(攻撃),                スーパーミサイル;ＭＡＰ爆発
フェニックス(命中),                超爆発
超大型ガトリング<MAP>(準備),       ガトリング
超大型ガトリング<MAP>(攻撃),       ガトリング;ガトリング;ガトリング
超大型ガトリング<MAP>(命中),       ガトリング
超大型ガトリング,                  ガトリング
S-11投擲(攻撃),                    投擲武器 Bullet\EFFECT_Grenade01.bmp 32; ＭＡＰ大爆発
S-11投擲(命中),                    超爆発
S-11,                              ＭＡＰ大爆発
1200mmＯＴＨキャノン,              対戦車ライフル ML_1200mmOTH-Cannon.bmp 64
シールド防御(92式多目的追加装甲),  シールド防御 32 ML_Shield.bmp
弾倉交換,                          Reload.wav
流転れ私達の無限力！(明理)(準備),  会話 夢城明理(衛士強化装備) ――流転れ、私の無限力！！;オーラ上昇 赤bpartner(0);オーラ上昇 青 partner(1);オーラ上昇 緑 partner(2)
流転れ私達の無限力！(明理)(攻撃),  マシンガン ML_Type87-AssaultRifle.bmp 32 partner(0);振る武器突撃 ML_Type74-PBSword.bmp 36 partner(0);マシンガン ML_Type87-AssaultRifle.bmp 32 partner(1);振る武器突撃 ML_Type74-PBSword.bmp 36 partner(1);マシンガン ML_Type87-AssaultRifle.bmp 32 partner(2);マシンガン ML_Type87-AssaultRifle.bmp 32 partner(2)
流転れ私達の無限力！(明理)(命中),  連続爆発;大爆発
流転れ私達の無限力！(姫奈)(準備),  会話 恩田姫奈(衛士強化装備) ――流転れ、私の無限力！！;オーラ上昇 青 partner(0);オーラ上昇 赤 partner(1);オーラ上昇 緑 partner(2)
流転れ私達の無限力！(姫奈)(攻撃),  マシンガン ML_Type87-AssaultRifle.bmp 32 partner(0);振る武器突撃 ML_Type74-PBSword.bmp 36 partner(0);マシンガン ML_Type87-AssaultRifle.bmp 32 partner(1);振る武器突撃 ML_Type74-PBSword.bmp 36 partner(1);マシンガン ML_Type87-AssaultRifle.bmp 32 partner(2);マシンガン ML_Type87-AssaultRifle.bmp 32 partner(2)
流転れ私達の無限力！(姫奈)(命中),  連続爆発;大爆発
流転れ私達の無限力！(鳳)(準備),    会話 鳳恵理澄(衛士強化装備) ――流転れ、私の無限力！！;オーラ上昇 緑 partner(0);オーラ上昇 赤 partner(1);オーラ上昇 青 partner(2)
