
# 戦術機用の武装画像が無い場合用

戦術機
リアクティブアーマー(準備),        振る武器 Shield\EFFECT_SFShield03.bmp 32
リアクティブアーマー(攻撃),        タックル
リアクティブアーマー(命中),        強打
65式近接戦闘短刀,                  ナイフ
74式近接戦闘長刀,                  野太刀
二刀近接戦闘長刀,                  野太刀 二刀流
ＣＩＷＳ－１,                      ナイフ
ＣＩＷＳ－２,                      野太刀
ＣＩＷＳ－２×２,                  野太刀 二刀流
36mm突撃機関砲,                    マシンガン
二挺突撃機関砲,                    マシンガン;マシンガン
四挺突撃機関砲,                    マシンガン;マシンガン
120mm滑空砲,                       対物ライフル Weapon\EFFECT_Rifle01.bmp
36mmチェーンガン,                  マシンガン
36mmチェーンガン×２,              マシンガン;マシンガン
36mmチェーンガン×４,              マシンガン;マシンガン
120mm滑空砲(AMWS-21),              対物ライフル Weapon\EFFECT_Rifle01.bmp
87式支援突撃砲,                    ライフル
73式地対地狙撃砲,                  対物ライフル
自律制御型多目的ミサイル,          ホーミングミサイル
ＡＬＭランチャー(発動),            煙
36mmチェーンガン(海神),            機関砲
120mm滑空砲(海神),                 キャノン砲 4
ミサイルランチャー,                小型ミサイル 4
S-11投擲(攻撃),                    投擲武器 Bullet\EFFECT_Grenade01.bmp 32; ＭＡＰ大爆発
S-11投擲(命中),                    超爆発
S-11,                              ＭＡＰ大爆発
1200mmＯＴＨキャノン,              対戦車ライフル ML_1200mmOTH-Cannon.bmp 64
シールド防御(92式多目的追加装甲),  ＳＦシールド３
流転れ私達の無限力！(明理)(準備), 会話 夢城明理(衛士強化装備) ――流転れ、私の無限力！！;partner(0) オーラ上昇 赤;partner(1) オーラ上昇 青;partner(2) オーラ上昇 緑
流転れ私達の無限力！(明理)(攻撃), partner(0) マシンガン;partner(0) 野太刀突撃;partner(1) マシンガン;partner(1) 野太刀突撃;partner(2) マシンガン;partner(2) マシンガン
流転れ私達の無限力！(明理)(命中), partner(0) 野太刀突撃;partner(1) 野太刀突撃;partner(2) マシンガン
流転れ私達の無限力！(姫奈)(準備), 会話 恩田姫奈(衛士強化装備) ――流転れ、私の無限力！！;partner(0) オーラ上昇 青;partner(1) オーラ上昇 赤;partner(2) オーラ上昇 緑
流転れ私達の無限力！(姫奈)(攻撃), partner(0) マシンガン;partner(0) 野太刀突撃;partner(1) マシンガン;partner(1) 野太刀突撃;partner(2) マシンガン;partner(2) マシンガン
流転れ私達の無限力！(姫奈)(命中), partner(0) 野太刀突撃;partner(1) 野太刀突撃;partner(2) マシンガン
流転れ私達の無限力！(鳳)(準備), 会話 鳳恵理澄(衛士強化装備) ――流転れ、私の無限力！！;partner(0) オーラ上昇 緑;partner(1) オーラ上昇 赤;partner(2) オーラ上昇 青
流転れ私達の無限力！(鳳)(攻撃), partner(1) マシンガン;partner(1) 野太刀突撃;partner(2) マシンガン;partner(2) 野太刀突撃;partner(2) マシンガン;partner(2) マシンガン
流転れ私達の無限力！(鳳)(命中), partner(1) 野太刀突撃;partner(2) 野太刀突撃;partner(0) マシンガン


戦略航空機動要塞
重力偏差,                    重力圧縮
36mmチェーンガン(凄乃皇),    機関砲;機関砲
散弾式広域制圧弾頭(攻撃),    ＭＡＰミサイル
散弾式広域制圧弾頭(命中),    連続大爆発
通常弾頭,                    ミサイル 10
120mm電磁速射砲,             大キャノン砲 8
2700mm電磁投射砲(攻撃),      ２連光弾 白
2700mm電磁投射砲(命中),      大爆発;大爆発
バンカーバスター(攻撃),      ミサイル 5
バンカーバスター(命中),      連続大爆発;超爆発
荷電粒子砲,                  巨大ビーム 白 電撃
ＡＬＭランチャー(発動),      煙


戦略合神機
攻撃無効化(水晶防壁),        光バリア
無限力波(準備),              -
無限力波(攻撃),              中ビーム 白 LaserGun.wav
無限力波(命中),              中ビーム 白
駿馬百裂拳(準備),            -
駿馬百裂拳(攻撃),            打突 Bazooka.wav;打突 Bazooka.wav;打突 Bazooka.wav;打突 Bazooka.wav
駿馬百裂拳(命中),            超打 Bazooka.wav;超打 Bazooka.wav;超打 Bazooka.wav;超打 Bazooka.wav
猛禽翼翔天(準備),            オーラ上昇 青
猛禽翼翔天(攻撃),            スーパーキック
猛禽翼翔天(命中),            スーパーキック
月水晶力昇天(準備),          オーラ上昇 赤
月水晶力昇天(攻撃),          スーパーパンチ 赤
月水晶力昇天(命中),          大爆発
毒蛇幻魔拳(準備),            魔法集中 黒
