##１２月２０日付
#１、エフェクト追加

#エフェクト追加担当：八沢あかり


熱血高校生
気合弾, Cannon.wav
流星キック, Jet.wav
流星キック(命中), Punch.wav
全開気合弾(準備), Charge.wav
全開気合弾, Cannon.wav
全開ガッツアッパー(準備), Charge.wav
全開ガッツアッパー, Swing.wav
全開ガッツアッパー(命中), Punch(4).wav
全開流星キック(準備), Charge.wav
全開流星キック, Jet.wav
全開流星キック(命中), FightHit(4).wav
炎舞脚, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
炎舞脚(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav
連撃拳, 3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav
連撃拳(命中), 3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav
連撃拳(クリティカル), Crash.wav
昇陽拳, 2;Swing.wav;2;Swing.wav;2;Swing.wav
昇陽拳(命中), 2;Punch.wav
ファイヤー連撃拳, 3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
ファイヤー連撃拳(命中), 3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav
ファイヤー連撃拳(クリティカル), Fire.wav
ファイヤー旋風脚, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
ファイヤー旋風脚(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav
ファイヤー旋風脚(クリティカル), Fire.wav
クロスカッター, 2;Swing.wav;10;Saber.wav
クロスカッター(命中), Saber.wav
幻影ブレーカー, Swing(2).wav
幻影ブレーカー(命中), FightHit(1).wav
雷神アッパー, Thunder.wav
雷神アッパー(命中), Punch.wav
拡散クロスカッター, 2;Swing.wav;10;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav
拡散クロスカッター(命中), 3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav
スーパー雷神アッパー, 2;Thunder.wav;2;Thunder.wav
スーパー雷神アッパー(命中), Combo.wav
ダブル幻影キック, -.wav
ダブル幻影キック(命中), 3;FightHit(1).wav;3;FightHit(1).wav;3;Combo.wav;Saber.wav
フラッシュ攻撃, Hittyuu.wav
フラッシュ攻撃(命中), -.wav
号外！, Page.wav
号外！(命中), Punch.wav
スーパーフラッシュ攻撃, 10;Reload.wav;10;Reload.wav;10;Reload.wav;10;Reload.wav;10;Reload.wav
スーパーフラッシュ攻撃(命中), -.wav
超剛速球, 2;Swing.wav;8;Bow.wav
超剛速球(命中), Punch.wav
分身魔球, MicroMissile.wav
分身魔球(命中), Punch(4).wav
ハイジャンプ分身魔球, MicroMissile.wav
ハイジャンプ分身魔球(命中), Punch(4).wav
大回転打法, 2;Swing.wav;2;Swing.wav
大回転打法(命中), Crash.wav
一本釣り打法, Swing.wav
一本釣り打法(命中), 3;FightHit(4).wav;8;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;7;Shock(Low).wav
ジャンピングサーブ, 2;Swing.wav;2;Punch.wav
ジャンピングサーブ(命中), Punch.wav
千本スパイク, 2;Swing.wav;2;Punch.wav;2;Swing.wav;2;Punch.wav;2;Swing.wav;2;Punch.wav;2;Swing.wav;2;Punch.wav;2;Swing.wav;2;Punch.wav
千本スパイク(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav
ロングシュート, 2;Swing.wav;2;Punch.wav
ロングシュート(命中), Punch.wav
爆裂Ｖゴール, 2;Swing.wav;2;Punch.wav
爆裂Ｖゴール(命中), 2;Combo.wav
爆裂リフティング(命中), 4;Punch.wav;4;Punch.wav;4;Punch.wav;4;Swing.wav;4;Punch(2).wav
バタ足, 2;Swing.wav;2;Swing.wav;2;Swing.wav
バタ足(命中), 2;Punch(3).wav
ダイナマイトストレート, Swing.wav
ダイナマイトストレート(命中), Crash.wav
ツイスターアッパー, 2;Swing.wav;2;Swing.wav;2;Swing.wav
ツイスターアッパー(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav
タッチダウンウェーブ, Shock(Low).wav
タッチダウンウェーブ(命中), -.wav
スーパータッチダウン, 2;Shock(Low).wav;2;Shock(Low).wav;2;Shock(Low).wav
スーパータッチダウン(命中), -.wav
トリプルツイスター, 2;Swing(2).wav
トリプルツイスター(命中), 2;Punch(3).wav;8;Punch(3).wav;8;Combo.wav
グルービーパンチ, 2;Swing.wav;2;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
グルービーパンチ(命中), Punch.wav
ワンダフルキック(命中), 3;Punch.wav;3;Punch.wav;5;Combo.wav
ヘブンズクロス, Swing(2).wav
ヘブンズクロス(命中), Combo.wav
ヘブンズラッシュ, Swing.wav
ヘブンズラッシュ(命中), 3;Punch(2).wav;5;Punch(2).wav;5;Punch(4).wav
裏裡門, Swing.wav
裏裡門(命中), Punch.wav
気功塊, Charge.wav
裏斬り, Swing.wav
裏斬り(命中), Stab.wav
罵倒, Swing(2).wav
罵倒(クリティカル), Hide.wav
血祭り(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
荒波四股(命中), Bazooka.wav
鉄砲突き(命中), 2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;2;Crash.wav
噴火山(命中), 5;Swing.wav;5;Swing.wav;5;Swing.wav;5;Swing.wav;10;Shock(Low).wav
無双蹴り(命中), Punch(2).wav
無双突き(命中), 3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav
十文字斬り, 1;Swing.wav;1;Swing.wav
十文字斬り(命中), 1;Slash.wav;1;Slash.wav
天雷斬, 2;Jet.wav
天雷斬(命中), Shock(Low).wav
桜竜斬, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
桜竜斬(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
暗黒幻影蹴(命中), 3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
六腑突き(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
