
ダイの大冒険
格闘(命中), Punch.wav
メラ, Whiz.wav
メラ(命中), Fire.wav
メラミ, Whiz.wav
メラミ(命中), Fire.wav
メラゾーマ, Whiz.wav
メラゾーマ(命中), Fire.wav
バギ, 3;Saber.wav;3;Saber.wav;3;Saber.wav
バギマ, Storm.wav
バギクロス, 3;Saber.wav;3;Saber.wav;Storm.wav
ギラ, Beam.wav
ギラ(命中), Explode.wav
ベギラマ, AntiAirMissile.wav
ベギラマ(命中), Explode.wav
ベギラゴン(準備), AntiShipMissile.wav
ベギラゴン, MicroMissile.wav
ベギラゴン(命中), Explode.wav
ヒャド, Whiz.wav
ヒャド(クリティカル), Glass.wav
ヒャダルコ, Whiz.wav
ヒャダルコ(クリティカル), Glass.wav
ヒャダイン(準備), Wind.wav
ヒャダイン, Whiz.wav
ヒャダイン(クリティカル), Glass.wav
マヒャド(準備), Wind.wav
マヒャド, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
マヒャド(クリティカル), Glass.wav
イオ, Explode.wav
イオラ, Explode.wav
イオナズン, Explode(Far).wav
ライデイン, Thunder.wav
ライデイン(命中), Explode.wav
ライデイン(合体), Thunder.wav
ライデイン(合体)(命中), Explode.wav
ライデイン(合体・前), Thunder.wav
ライデイン(合体・前)(命中), Explode.wav
ギガデイン, 3;Thunder.wav;3;Thunder.wav;Thunder.wav
ギガデイン(命中), Explode.wav
ベタン, 6;Whiz.wav;Warship.wav
ザキ, Search.wav
ザラキ, Search.wav
ラリホー(クリティカル), Bubble.wav
ラリホーマ(クリティカル), Bubble.wav
メダパニ(クリティカル), Bubble.wav
フィンガーフレアボムズ, 2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;Whiz.wav
フィンガーフレアボムズ(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav;Explode.wav
メドローア, 8;Warship.wav;AntiAirMissile.wav
メドローア(命中), Explode.wav
海波斬, Saber.wav
海波斬(命中), Slash.wav
大地斬(命中), 1;Swing.wav;Slash.wav
火炎大地斬(準備), Fire.wav
火炎大地斬, Saber.wav
火炎大地斬(命中), Slash.wav
空裂斬, Saber.wav
空裂斬(命中), Glass.wav
アバンストラッシュ(未), Saber.wav
アバンストラッシュ(未)(命中), Slash.wav
ライデインストラッシュ(未)(準備), Thunder.wav
ライデインストラッシュ(未), Saber.wav
ライデインストラッシュ(未)(命中), Slash.wav
アバンストラッシュ, Saber.wav
アバンストラッシュ(命中), Slash.wav
ライデインストラッシュ(準備), Thunder.wav
ライデインストラッシュ, Saber.wav
ライデインストラッシュ(命中), Slash.wav
紋章閃(準備), BeamSaber.wav
紋章閃, Beam.wav
紋章閃(命中), Explode.wav
アバンストラッシュＸ, Saber.wav
アバンストラッシュＸ(命中), 1;Swing.wav;1;Slash.wav;Slash.wav
ギガストラッシュ(命中), Slash.wav
ドルオーラ, 2;Beam.wav;Explode(Nuclear).wav
ドルオーラ(命中), Explode.wav
マジックブースター(命中), 1;Swing.wav;Punch.wav
輝きの杖(命中), 1;Swing.wav;Punch.wav
杖(命中), 1;Swing.wav;Punch.wav
ハンマースピア(命中), 1;Swing.wav;Punch.wav
魔弾銃<マヌーサ>, Cannon.wav
魔弾銃<マヌーサ>(命中), Hide.wav
魔弾銃<メラ>, Cannon.wav
魔弾銃<メラ>(命中), Fire.wav
魔弾銃<メラミ>, Cannon.wav
魔弾銃<メラミ>(命中), Fire.wav
魔弾銃<ヒャド>, Cannon.wav
魔弾銃<ヒャド>(クリティカル), Glass.wav
魔弾銃<ヒャダルコ>, Cannon.wav
魔弾銃<ヒャダルコ>(クリティカル), Glass.wav
メタルフィスト(命中), Punch.wav
武神流拳法(命中), Punch.wav
武神流拳法(命中), Whip.wav
武神流拳法(命中), Breakoff.wav
閃華裂光拳(命中), Explode.wav
猛虎破砕拳(命中), Crash.wav
闘魔傀儡掌, 3;Saber.wav;3;Saber.wav;Saber.wav
闘魔傀儡掌(命中), 2;Thunder.wav;2;Thunder.wav;Thunder.wav
ブラッディースクライド(準備), Sword.wav
ブラッディースクライド, 5;Storm.wav;Saber.wav
ブラッディースクライド(命中), Explode.wav
グランドクルス, 10;Charge(Long).wav;Beam.wav
ブーメラン, Swing.wav
ブーメラン(命中), Slash.wav
鎧の魔槍(命中), 1;Swing.wav;Stab.wav
海鳴閃, Saber.wav
海鳴閃(命中), Slash.wav
地雷閃(命中), 1;Swing.wav;Slash.wav
虚空閃, Saber.wav
虚空閃(命中), Glass.wav
無刀陣(スクライド), 5;Storm.wav;Saber.wav
無刀陣(スクライド)(命中), Explode(Far).wav
カウンター(命中), Punch.wav
ヒートブレス, AntiShipMissile.wav
獣王痛恨撃, Storm.wav
獣王痛恨撃(命中), Explode.wav
獣王会心撃, Storm.wav
獣王会心撃(命中), Explode.wav
獣王激烈掌, Storm.wav
獣王激烈掌(命中), 8;Storm.wav;8;Sword.wav;8;Sword.wav;3;Sword.wav;3;Sword.wav;3;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;Explode.wav
窮鼠文文拳, 3;Swing.wav;3;Swing.wav;Swing.wav
窮鼠包包拳(準備), Bike.wav
窮鼠包包拳, _.wav
窮鼠包包拳(命中), Shock(Low).wav
土竜昇破拳, Explode.wav
ナイフ, Swing.wav
ナイフ(命中), Stab.wav
オーラナイフ(準備), BeamSaber.wav
オーラナイフ, Swing.wav
オーラナイフ(命中), Stab.wav
オーラブレード(準備), BeamSaber.wav
オーラブレード(命中), 1;Swing.wav;Slash.wav
ノーザングランブレード(準備), 3;BeamSaber.wav;3;BeamSaber.wav;BeamSaber.wav
ノーザングランブレード, Saber.wav
ノーザングランブレード(命中), Slash.wav
パプニカ一刀流(命中), 1;Swing.wav;Slash.wav
無刀陣(ストラッシュ), Saber.wav
無刀陣(ストラッシュ)(命中), Slash.wav
ヘルズクロー(命中), 1;Swing.wav;Stab.wav
ヘルズチェーン, Bow.wav
ヘルズチェーン(命中), Stab.wav
超魔爆炎覇(準備), Fire.wav
超魔爆炎覇, Jet.wav
超魔爆炎覇(命中), 1;Swing.wav;Slash.wav
氷炎爆花散, Explode.wav
氷炎爆花散(命中), FastGun.wav
ブレス, AntiShipMissile.wav
弾岩爆花散, Explode(Far).wav
弾岩爆花散(命中), FastGun.wav
タックル(命中), Crash.wav
フレアパンチ(準備), Fire.wav
フレアパンチ(命中), Punch.wav
毒爪(命中), 1;Swing.wav;Stab.wav
毒牙の鎖, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Whiz.wav
毒牙の鎖(命中), Stab.wav
ギガブレイク(準備), Thunder.wav
ギガブレイク(命中), 1;Swing.wav;Slash.wav
ハーケンディストール, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;Saber.wav
ハーケンディストール(命中), 1;Swing.wav;Slash.wav
ハーケンディストール(MAP), 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;Saber.wav
ハーケンディストール(MAP)(命中), 1;Swing.wav;Slash.wav
羽手裏剣<白>, Swing.wav
羽手裏剣<白>(命中), Stab.wav
羽手裏剣<赤>, Swing.wav
羽手裏剣<赤>(命中), Stab.wav
巻き付き(命中), _.wav
チェーン, Bow.wav
チェーン(命中), Whip.wav
コールドブレス, Whiz.wav
コールドブレス(クリティカル), Glass.wav
シザース(命中), Slash.wav
毒針, Saber.wav
毒針(命中), Stab.wav
ニードルサウザンド, LaserGun.wav
高速移動攻撃, Flair.wav
