

餓狼伝説
タービランスアッパー, Swing.wav
タービランスアッパー(命中), Punch.wav;4;Storm.wav;4;Slash.wav;4;Slash.wav;3;Punch.wav;3;FightHit(3).wav;4;Punch.wav;2;「おととい、来やがれ！！」;1;FastGun.wav;「おととい、来やがれ！！
ファイアーキック(命中), Punch(2).wav
パワーチャージ(命中), Crash.wav
パワーウェイブ, Whiz.wav
パワーウェイブ(命中), Explode(Small).wav
ラウンドウェイブ, Explode.wav
ラウンドウェイブ(命中), Explode.wav
パワーダンク(命中), 4;Punch.wav;Explode(Small).wav
ライジングタックル(命中), 1.2;BreakOff.wav;1.2;BreakOff.wav;BreakOff.wav
クラックシュート(命中), Punch(2).wav
トリプルゲイザー, 5;Explode(Small).wav;5;Explode(Small).wav;Explode(Small).wav
トリプルゲイザー(命中), 5;Explode(Small).wav;5;Explode(Small).wav;Explode(Small).wav
パワーゲイザー(命中), Explode(Small).wav
バスターウルフ, Cannon.wav
バスターウルフ(命中), 4;Crash.wav;Explode.wav
ハイアングルゲイザー(命中), 5;Crash.wav;10;Punch(3).wav;1;「ゲイッザーッ！！」;Explode.wav;「ゲイッザーッ！！」
ハイアングルゲイザー(命中), 5;Crash.wav;10;Punch(3).wav;1;「ゲイザー！！」;Explode.wav;「ゲイザー！！」
ハイアングルゲイザー(命中), 5;Crash.wav;10;Punch(3).wav;1;「<BIG>Geyser！！</BIG>」;Explode.wav;「<BIG>Geyser！！</BIG>」
ヒートアップゲイザー(命中), 5;Punch.wav;10;FightHit(3).wav;1;「マキシマムパワー！！」;Explode.wav;「ゲイッザーッ！！」
ヒートアップゲイザー(命中), 5;Punch.wav;10;FightHit(3).wav;1;「<BIG>Maximum Power！！</BIG>」;Explode.wav;「<BIG>Geyser！！</BIG>」
飛翔拳, Whiz.wav
飛翔拳(命中), Punch.wav
撃壁背水掌(命中), 6;Punch(2).wav;4;Punch.wav;Punch.wav
激・飛翔拳, 5;Punch.wav;FastGun.wav
激・飛翔拳(命中), FastGun.wav
空破弾(命中), Punch.wav
昇竜弾(命中), 1.2;BreakOff.wav;1.2;BreakOff.wav;BreakOff.wav
斬影拳, 1;Swing.wav;Swing.wav
斬影拳(命中), Punch.wav
飛翔流星拳(命中), 1;「ていっ！」;4;Punch.wav;1;「ていっ！ せやぁっ！！」;4;Punch.wav;1;「ていっ！ せやぁっ！！ はァァ…」;8;Punch.wav;4;Charge.wav;1;「ていっ！ せやぁっ！！ はァァ…絶！！！」;1;Beam.wav;「ていっ！ せやぁっ！！ はァァ…絶！！！」
超裂破弾(命中), FastGun.wav
斬影裂破, Whiz.wav
斬影裂破(命中), 6;FightHit(3).wav;FastGun.wav
爆裂拳(命中), Combo.wav
タイガーキック(命中), Explode(Small).wav
黄金のカカト(命中), Punch.wav
史上最強のローキック(クリティカル), Crash.wav
スライドスクリュー, 5;Whiz.wav;Storm.wav
スクリューアッパー, Storm.wav
サンダーファイヤー(命中), 6;Punch(2).wav;4;Fire.wav;4;Fire.wav;Explode(Small).wav
爆裂Ｈタイガーカカト(命中), 1;「爆れェつ！」;5;Combo.wav;1;「爆れェつ！ ハリケーン！」;3;Storm.wav;3;Storm.wav;1;「爆れェつ！ ハリケーン！ タイガー！！」;3;Explode(Small).wav;1;「爆れェつ！ ハリケーン！ タイガー！！ とどめだぁー！！！」;Punch(2).wav;「爆れェつ！ ハリケーン！ タイガー！！ とどめだぁー！！！」
サンダーファイヤー, Swing.wav
サンダーファイヤー(命中), 3;Explode(Small).wav;5;Combo.wav;5;Combo.wav;0.1;「おっしゃぁー！！」;FastGun.wav
ソニックウィング, Swing.wav
ダイバージェンス, Swing.wav
ダイバージェンス(命中), Punch.wav
クリティカルウィング, Swing.wav
クリティカルウィング(命中), Slash.wav
オングメーターウィング, Swing.wav
オングメーターウィング(命中), Slash.wav
メーデーメーデー, Drill.wav
メーデーメーデー(命中), Combo.wav
Ｓ・ＴＯＬ, Swing.wav
Ｓ・ＴＯＬ(命中), 3;Swing.wav;Explode.wav
ショックストール, BeamCoat.wav
ショックストール(命中), 1;「<big>Ready！</big>」;4;Stab.wav;4;Stab.wav;2;Null.wav;1;「<big>Ready！ Go！！</big>」;1;Slash.wav;「<big>Ready！ Go！！</big>」
