
### 解説 #############################################################

魔将アビシオン
魔眼イビルアイ(解説), $(ユニット)は$(武器)を構え、レンジウィングルで攻撃をかけた。
魔装アポカリプス(解説), $(ユニット)は$(武器)から飛燕連脚で攻撃をかけた。
魔杖ケイオスハート(解説), $(ユニット)は$(武器)を掲げ、フレイムランスの呪文を唱えた。
魔符黒翼(解説), $(ユニット)は$(武器)を構え、炸力符で攻撃をかけた。
邪剣ファフニール(解説), $(ユニット)は$(武器)を構え、閃空衝裂破で攻撃をかけた。
魔斧ディアボロス(解説), $(ユニット)は$(武器)を構え、岩砕襲撃で攻撃をかけた。
魔剣ネビリム(解説), $(ユニット)は$(武器)を構え、獅吼旋破で攻撃をかけた。
魔剣ソウルイーター(解説), $(ユニット)は$(武器)を構え、風雷神剣で攻撃をかけた。
ビシャスコア(解説), $(ユニット)は$(武器)を掲げ、プリズムソードの呪文を唱えた。

### 効果音 ###########################################################

ＴＯＳ
シールド防御, BeamCoat.wav
シールド防御(シールド), -.wav
魔神剣(攻撃), Whiz.wav
魔神剣(命中), Saber.wav
剛・魔神剣(攻撃), Whiz.wav
剛・魔神剣(命中), Saber.wav
魔皇刃(攻撃), Saber.wav;Whiz.wav
魔皇刃(命中), Saber.wav
魔神剣・双牙(攻撃), Whiz.wav;Whiz.wav
魔神剣・双牙(命中), Saber.wav;Saber.wav
魔神連牙斬(攻撃), Whiz.wav;Whiz.wav;4;Whiz.wav
魔神連牙斬(命中), Saber.wav;Saber.wav;4;Saber.wav
裂空斬(攻撃), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
裂空斬(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav
裂斬風(攻撃), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
裂斬風(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
真空裂斬(攻撃), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;3;Swing.wav;1;Swing.wav
真空裂斬(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;3;Saber.wav;1;Saber.wav
虎牙破斬(攻撃), Swing.wav;Swing.wav
虎牙破斬(命中), Saber.wav;Saber.wav
虎牙烈斬(攻撃), Swing.wav;Swing.wav
虎牙烈斬(命中), Saber.wav;Shock(Low).wav
猛虎豪破斬(攻撃), Swing.wav;Swing.wav;Swing.wav;Swing.wav
猛虎豪破斬(命中), Saber.wav;Saber.wav;Saber.wav;Shock(Low).wav
虎牙連斬(攻撃), Swing.wav;Swing.wav;Swing.wav
虎牙連斬(命中), Saber.wav;Saber.wav;Saber.wav
散沙雨(攻撃), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
散沙雨(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
綜雨衝(攻撃), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;2;Swing.wav
綜雨衝(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;2;Slash.wav
秋沙雨(攻撃), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
秋沙雨(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
斬光時雨(攻撃), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Saber.wav
斬光時雨(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
瞬迅剣(攻撃), Saber.wav
瞬迅剣(命中), Slash.wav
空破衝(攻撃), Saber.wav
空破衝(命中), Stab.wav
風迅剣(攻撃), Saber.wav
風迅剣(命中), Slash.wav;Saber.wav
獅子戦吼(攻撃), Bazooka.wav
獅子戦吼(命中), Crash.wav
獅吼翔破陣(攻撃), Whiz.wav;Bazooka.wav
獅吼翔破陣(命中), Crash.wav
獅吼旋破(攻撃), Swing.wav;Bazooka.wav
獅吼旋破(命中), Crash.wav
飛天翔駆(攻撃), Saber.wav;Whiz.wav
飛天翔駆(命中), Saber.wav
天翔蒼破斬(準備), Charge.wav
天翔蒼破斬(攻撃), Whiz.wav;Swing.wav
天翔蒼破斬(命中), Crash.wav
ピコハン(攻撃), Swing.wav
ピコハン(命中), PiyoPiyo.wav
ピコピコハンマー(攻撃), Swing.wav
ピコピコハンマー(命中), Piyopiyo.wav;PiyoPiyo.wav
ピコレイン(攻撃), Swing.wav
ピコレイン(命中), Piyopiyo.wav;PiyoPiyo.wav;PiyoPiyo.wav
パラライボール(攻撃), Swing.wav
パラライボール(命中), Whip.wav
パラライパルティータ(攻撃), Swing.wav
パラライパルティータ(命中), Whip.wav;Whip.wav
レイトラスト(攻撃), Swing.wav;Whiz.wav
レイトラスト(命中), Saber.wav
レイシレーゼ(攻撃), Swing.wav;1;Whiz.wav;1;Whiz.wav
レイシレーゼ(命中), Saber.wav;Saber.wav
リミュエレイヤー(攻撃), Swing.wav;1;Whiz.wav;1;Whiz.wav;1;Whiz.wav
リミュエレイヤー(命中), Saber.wav;Saber.wav;Saber.wav
ルーンスティア(攻撃), Whiz.wav
ルーンスティア(命中), Saber.wav;Saber.wav;Saber.wav
スティアフェンネル(攻撃), Whiz.wav;Whiz.wav;Whiz.wav
スティアフェンネル(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
ブランディス(攻撃), Saber.wav
ブランディス(命中), Saber.wav;Saber.wav
レンジウィングル(攻撃), Saber.wav;Saber.wav
レンジウィングル(命中), Saber.wav;Saber.wav;Saber.wav;Saber.wav
ソルフェージュ(攻撃), Swing.wav;Swing.wav;Swing.wav;Saber.wav
ソルフェージュ(命中), Slash.wav;Slash.wav;Slash.wav;Saber.wav
アイテムスティール(攻撃), Swing.wav;FallDown.wav
アイテムスティール(命中), Punch.wav
ローバーアイテム(攻撃), Swing.wav;FallDown.wav
ローバーアイテム(命中), Punch.wav
グランシャリオ(攻撃), Swing.wav;Whiz.wav
グランシャリオ(命中), Saber.wav;Thunder.wav
スターダスト・クロス(攻撃), Swing.wav
スターダスト・クロス(命中), 1;UnitOn.wav;1;UnitOn.wav;1;UnitOn.wav;1;UnitOn.wav
エンジェルフェザー(準備), Whiz.wav
エンジェルフェザー(攻撃), Flair.wav
エンジェルフェザー(命中), 2;Saber.wav;Saber.wav
ホーリーソング, BeamShot.wav
ジャッジメント(準備), Whiz.wav
ジャッジメント(攻撃), Beam.wav;Beam.wav;Beam.wav;Beam.wav
リヴァヴィウサー(準備), Whiz.wav
リヴァヴィウサー(攻撃), Charge.wav
リヴァヴィウサー(命中), Inori.wav
閃空裂破(攻撃), Whiz.wav
閃空裂破(命中), Slash.wav
閃光墜刃牙(攻撃), Whiz.wav
閃光墜刃牙(命中), Whiz.wav;Stab.wav
閃空衝裂破(攻撃), Whiz.wav
閃空衝裂破(命中), Whiz.wav;Slash.wav
紅蓮剣(攻撃), Swing.wav
紅蓮剣(命中), Explode.wav
雷神剣(攻撃), Saber.wav
雷神剣(命中), Slash.wav;Thunder.wav
風雷神剣(攻撃), Saber.wav
風雷神剣(命中), Slash.wav;Saber.wav;Thunder.wav
アクアエッジ(攻撃), Whiz.wav;Whiz.wav
アクアエッジ(命中), Splash.wav
スプレッド(攻撃), Splash.wav
タイダルウェイブ(攻撃), InterFerence.wav
アクアレイザー(命中), Cannon.wav
ファイアボール(攻撃), 2;Cannon.wav:Cannon.wav
ファイアボール(命中), Explode(Small).wav
イラプション(攻撃), Fire.wav
イラプション(命中), Explode(Small).wav
エクスプロード(攻撃), Whiz.wav
エクスプロード(命中), Explode(Far).wav
フレイムランス(攻撃), Bazooka.wav
