
ＷＡＭ
苦痛感染, タックル
ぶよぶよ, タックル
ねこじゃらし, 爪撃
チョッキンパ, ダブル斬撃
１６ｔ, 踏み潰し
鉄穿肘砲, タックル
閃拳列破鉄火拳, 乱打
グラスパーマッシュ(攻撃), 打突
グラスパーマッシュ(命中), 強打
アンデッドハウル, 打突
リフリジレイト, 氷柱
プレッシャー, 泡
アクア, 泡
フレイム, 炎投射 赤
ブレイク, 石柱
グラッヴ, 重力弾
スリープ, 光投射 桃
スリープ, 発光 桃
ディセラレイト(攻撃), 光投射 黄
ディセラレイト(命中), 発光 黄
トキシックブレス, 煙噴射 緑
スランバーフォッグ, 煙噴射 桃
パラライズガス, 煙噴射 赤
ひかりごけ, 発光 橙
スティンククラウド, 煙噴射 緑
アスフィクシエイション, 煙噴射 黒
ヒュプノタイザー, 中ビーム 桃
メランコリックレイ, 中ビーム 黄
グラスブロウワー, 中ビーム 緑
エジェクト, 重力弾
スカイツイスター, 風
アークティックランス, 小ビーム 青
コキュートス, ＭＡＰ吹雪
カロリックスフィア, 小ビーム 赤
カロリックノヴァ, 中ビーム 赤
ヴォルカノントラップ, 火炎弾
プラネットダスト, 石柱
クラックトレマー, 石柱
ロックゲイザー, 石柱
タイダルウェイブ, 津波
メイルシュトローム, 津波
カレントスパーク, 電撃
ブライトブラスト, 大ビーム 白
スクリーミングマッド, 中ビーム 黒
ファントムハザード, 大ビーム 黒
アゴニーアフェクト, 重力弾
発禁呪文！？, 重力弾
無修正呪文！？, 球電
毒電波, 音波
（＠□＠）ゞ, 光柱
地殻汚染, ＭＡＰオーラ 橙
魔力封印, 魔法放射 黒
魔力封印(命中), 魔法集中 黒
危険物質６６６, 中ビーム 黒
やるせないニャ～(攻撃), cat.wav
ダイレクトヴォイス, 音波
アルカンシエル, ＭＡＰフラッシュ Interference.wav
ハイペリオンブラスター, 中ビーム 白
箒, 竹ぼうき
オリヴィエ汁, 光球 桃
オリヴィエ汁(命中), 飛沫 桃 Splash.wav
ブフォオオオオオ！, ＭＡＰ煙 黒
ムーブキャンセラー, 時間逆行
アルカナ１３(攻撃), 光投射 黒
アルカナ１３(命中), 発光 黒
ゴールデンハンマー, 木槌
エイミング, タックル
ソニックスクラッチ, 爪撃
ブランザチップ(攻撃), 斬撃
コズミックレイ, 小ビーム 白;小ビーム 赤;小ビーム 青;小ビーム 黄;小ビーム 緑;小ビーム 桃;小ビーム 黒
アローフラッシュ, 中ビーム 白
エネルギーボール, 光球 黄
シュートアイテム(攻撃), 石
シュートアイテム(攻撃), チャクラム
シュートアイテム(攻撃), 手裏剣
シュートアイテム(攻撃), ブーメラン
シュートアイテム(攻撃), ポテトマッシャー
シュートアイテム(攻撃), 回転投擲 Weapon\EFFECT_Kinjirou01.bmp
シュートアイテム(命中), ダメージ
ヴァルカンビーク, タックル
マグナライズ, 大ビーム 白
アイスビーム, 中ビーム 青
アイスビーム(クリティカル), ショック
ビッグプレス, タックル
ダウンバースト, タックル
ヴォルテック, 風
ロックボルト, 石柱
クリメイト, 炎 赤
ヘヴィブレイブ, 大剣
メガスマッシュ, タックル
メテオスウォーム, 隕石
パワーチャージ, 連斬撃
ジャッジメントディ(攻撃), 光球 白
ジャッジメントディ(命中), 大爆発
セラフィムゴート, ＭＡＰ発光 白
ギィ・マキシマム(攻撃), 逆五芒星 赤 Hittyuu.wav
ギィ・マキシマム(命中), 発光 赤
ラッキーシュート, ＭＡＰビーム 白
ソルデリーター, ＭＡＰビーム 白
モレキュラーブレイク, ＭＡＰオーラ 青 Interference.wav
マグネトロンボム, ＭＡＰブラックホール
オペレーションメテオ, ＭＡＰ大爆発 Explode.wav
レイジハンマー(攻撃), ＭＡＰビーム 紫 Thunder.wav
レイジハンマー(命中), 放電
ダッシュコレダー, ＭＡＰ移動タックル 紫 Thunder.wav
プラネットブレイカー, ＭＡＰ地震 FastGun.wav
アウゴエイデス, ＭＡＰビーム 白
アサルトタイド, ＭＡＰ津波 Interference.wav
ハイスピードリッパー, 爪撃
アイシクルエンド, ＭＡＰ吹雪
アイスコフィン, ＭＡＰ凍結 Wind.wav
ヴェイパーブラスト(攻撃), ＭＡＰ炎 Fire.wav;ＭＡＰ大爆発 Explode.wav
ヴェイパーブラスト(命中), 炎
テラファウスト, ＭＡＰ爆発 Explode(small).wav
ジャスティーンアタック(攻撃), 斬撃
ジャスティーンアタック(命中), 大斬撃
ファンタズムハート, ＭＡＰ大爆発 Explode(Far).wav
大々災害大々混乱, 火炎放射 赤
インパクトボマー, ＭＡＰ大爆発
木っ端微塵(攻撃), 斬撃
木っ端微塵(命中), 強打
カウンタースウィープ(攻撃), 斬撃
カウンタースウィープ(命中), 強打
ブラックノヴァ(攻撃), 光球 黒
ブラックノヴァ(命中), 魔法放射 黒 Explode.wav
オーラボンバー(攻撃), 光球 白
オーラボンバー(命中), 魔法放射 白 Explode.wav
ヴォルカニックボム, 火炎放射 赤
The7thMoon(攻撃), 浮上アップ WAM_AngolmoisU.bmp 黒;ＭＡＰオーラ 黒
The7thMoon(命中), 魔法集中 黒 Shock(Low).wav
一兆℃, 火炎放射 赤
大々災害大々混乱(クリティカル), 混乱
ギィ・マキシマム(クリティカル), 即死
ムーブキャンセラー(クリティカル), 攻撃不能
アルカナ１３(クリティカル), 即死
セラフィムゴート(クリティカル), 即死
バブルプリンセス(クリティカル), 脱力
人体実験(クリティカル), 麻痺;毒
リフリジレイト(クリティカル), ショック
カピラリアレイ(クリティカル), 毒
地殻汚染(クリティカル), 毒
メランコリックレイ(クリティカル), 脱力
ペトロタッチ(クリティカル), 石化
スリープ(クリティカル), 睡眠
ヒュプノタイザー(クリティカル), 睡眠
ディセラレイト(クリティカル), 運動性ＤＯＷＮ;移動力ＤＯＷＮ
禁じられた遊び(クリティカル), 毒
トキシックブレス(クリティカル), 毒
やるせないニャ～(クリティカル), 脱力
魔力封印(クリティカル), 沈黙
危険物質６６６(クリティカル), 死の宣告
エジェクト(クリティカル), 強制転移
毒電波(クリティカル), 毒
スランバーフォッグ(クリティカル), 睡眠
ダイレクトヴォイス(クリティカル), 混乱
パラライズガス(クリティカル), 麻痺
ひかりごけ(クリティカル), 混乱
グラスブロウワー(クリティカル), 石化;死の宣告
グレートブースター, 粒子集中 白 Drill.wav

