バーチャロイド
ニュートラルランチャー, Beam.wav
ラジカル・ザッパー, LaserGun.wav
ブリッツ・セイバー, BeamSaber.wav
ブリッツ・セイバー(命中), Saber.wav
ブルー・スライダー, Jet.wav
クロー・ストリング, AntiAirMissile
フラグメント・クロー, Thunder.wav
アーマーブレイク(命中), Crash.wav
ミサイルランチャー<Ｒ>, AntiShipMissile.wav
ショルダーランチャー, AntiShipMissile.wav;8;AntiAirMissile.wav
オーバーヘッドランチャー, AntiShipMissile.wav
オーバーヘッドランチャー(命中), Explode(Far).wav
ＣＩＳディスポーザー, Fold.wav
ビーム・エンクロージャー, BeamCoat.wav
ＥＲＬ／ワイヤー, BeamSaber.wav
ＥＲＬ, LaserGun.wav
リフレクション・モード, BeamCoat.wav
ハンドショット, BeamShot.wav;7;BeamShot.wav;7;BeamShot.wav
ロッドショット(命中), Glass.wav
ロッドショット(命中), Glass.wav
クリスタルビット(命中), Storm.wav
双龍召喚(命中), Storm.wav
ダキアス・ガン・システム, MachineGun.wav
ボックス・ランチャー, MultipleRocketLauncher(Light).wav
ユニットガン, Bazooka.wav;3;Bazooka.wav
ヴァイス, Missile.wav
ドリル, Missile.wav
突撃, Drill.wav
火炎放射, Fire.wav
メガスピンドリル, Whiz;8;Whiz;6;Whiz;4;Whiz;2;Whiz
ダガー, Saber.wav;4;Saber.wav;4;Saber.wav
ホーミングレーザー, Beam.wav
ソードカッター, Saber.wav
愚者の慈愛, Sharara.wav
賢者の盲愛, BeamShot.wav;5;BeamShot.wav;5;BeamShot.wav
ＥＶＬスクリーマー, Saber.wav
ロングランチャー, BeamShot.wav
ランサー, Beam.wav
オークニー・ランチャー, Bazooka.wav
連装ボックス・ランチャー, MultipleRocketLauncher(Light).wav
連装ユニットガン, Bazooka.wav
全方位ファランクス, MultipleRocketLauncher.wav;9;Explode(Small);8;Explode(Small);8;Explode(Small)
