
### フォーマットはめんどいので作りたくない。誰か作らないかな。

### 詠唱文一覧

### 拳術
攻撃(連続拳), 熱き正義の燃えたぎる！ 赤き血潮の拳がうなる！ 連続拳！
攻撃(波動撃), 渦巻く怒りが熱くする！.これが咆哮の臨界！ 波動撃！
攻撃(地烈斬), 大地の怒りがこの腕を伝う！ 防御あたわず！ 疾風、地烈斬！
攻撃(秘孔拳), この指先に全身全霊を込めて！ 地獄への引導！ 秘孔拳！
### 白魔法
ケアル, 清らかなる生命の風よ、失いし力とならん！ ケアル！
ケアルラ, 清らかなる生命の風よ、天空に舞い邪悪なる傷を癒せ！ ケアルラ！
ケアルガ, 空の下なる我が手に、祝福の風の恵みあらん！ ケアルガ！
ケアルジャ, 波動に揺れる大気、その風の腕で傷つける命を癒せ！ ケアルジャ！
レイズ, 生命をもたらしたる精霊よ、今一度我等がもとに！ レイズ！
アレイズ, 生命を司る精霊よ、失われゆく魂に、今一度生命を与えたまえ！ アレイズ！
リレイズ, 大気に満ち、木々を揺らす波動、生命の躍動を刻め！ リレイズ！
リジェネ, 森羅万象の生命を宿すものたち、命分かち、共に在らん！ リジェネ！
プロテス, たゆとう光よ、見えざる鎧となりて、小さき命を守れ… プロテス！
プロテジャ, 大気に散る光よ、その力解き放ち堅牢なる鎧となれ！ プロテジャ！
シェル, 沈黙の光よ、音の波動のもたらす邪悪な影から守りたまえ！ シェル！
シェルジャ, 揺らぎ無き光よ、魔力の咆哮から我らを守りたまえ！ シェルジャ！
ウォール, 大地に眠る古の光、眠れるその力を地上にもたらせ！ ウォール！
エスナ, 天駆ける風、力の根源へと我を導きそを与えたまえ！ エスナ！
攻撃(ホーリー), 汚れ無き天空の光よ、血にまみれし不浄を照らし出せ！ ホーリー！
### 黒魔法
攻撃(ファイア), 岩砕き、骸崩す、地に潜む者たち集いて赤き炎となれ！ ファイア！
攻撃(サンダー), まばゆき光彩を刃となして、地を引き裂かん！ サンダー！
攻撃(ブリザド), 闇に生まれし精霊の吐息の、凍てつく風の刃に散れ！ ブリザド！
攻撃(ファイラ), 地の砂に眠りし火の力目覚め、緑なめる赤き舌となれ！ ファイラ！
攻撃(サンダラ), 暗雲に迷える光よ、我に集いその力解き放て！ サンダラ！
攻撃(ブリザラ), 虚空の風よ、非情の手をもって人の業を裁かん！ ブリザラ！
攻撃(ファイガ), 地の底に眠る星の火よ、古の眠り覚し裁きの手をかざせ！ ファイガ！
攻撃(ブリザガ), 無念の響き、嘆きの風を凍らせて忘却の真実を語れ… ブリザガ！
攻撃(サンダガ), 天空を満たす光、一条に集いて神の裁きとなれ！ サンダガ！
攻撃(ファイジャ), 地に閉ざされし、内臓にたぎる火よ… 人の罪を問え！ ファイジャ！
攻撃(サンダジャ), 天と地の精霊達の怒りの全てを今そこに刻め！ サンダジャ！
攻撃(ブリザジャ), 大気に潜む無尽の水、光を天に還し形なす静寂を現せ！ ブリザジャ！
攻撃(トード), カ～エ～ル～の～き～も～ち～！ トード！
攻撃(ポイズン), 大地に染み渡る、復讐の赤い血よ… その使命を果たせ… ポイズン！
攻撃(デス), 命に飢えた死神達よ、汝らにその者の身を委ねん… デス！
攻撃(フレア), 滅びゆく肉体に暗黒神の名を刻め、始源の炎甦らん！ フレア！
### 時魔法
ヘイスト, ひるがえりて来たれ、幾重にもその身を刻め… ヘイスト！
ヘイスジャ, 時の流れよ、我が身を包み込み巨大な渦をなせ… ヘイスジャ！
攻撃(スロウ), 時よ、足を休め、選ばれし者にのみ恩恵を与えよ！ スロウ！
攻撃(スロウジャ), 天空の意志に従い、真実の時を刻み天命とならん！ スロウジャ！
攻撃(ストップ), 時を知る精霊よ、因果司る神の手から我を隠したまえ… ストップ！
レビテト, 慈悲に満ちた大地よ、つなぎとめる手を緩めたまえ… レビテト！
攻撃(ドンムブ), 命ささえる大地よ、我を庇護したまえ… 止めおけ！ ドンムブ！
リフレク, 静寂に消えた無尽の言葉の骸達、闇を返す光となれ！ リフレク！
クイック, 心震え、失われた時間の輝石を螺旋の相に還さん！ クイック！
攻撃(グラビデ), 無念の死を抱き続ける大地よ、黒き呪縛となれ… グラビデ！
攻撃(グラビガ), 魔空の時に生まれた黒き羊よ、現世の光を包め… グラビガ！
攻撃(メテオ), 時は来た！ 許されざる者達の頭上に、星砕け降り注げ！ メテオ！
攻撃(メテオ(敵)), 時は来た！ 許されざる者達の頭上に、星砕け降り注げ！ メテオ！
### 召喚魔法
モーグリ, クポーー！ くるくるぴゅ～… モーグリ！
モーグリ, クポーー！ くるくるぴゅ～… モグのおまじない！
攻撃(シヴァ), 風、光の波動の静寂に消える時、我が力とならん… シヴァ！
攻撃(シヴァ), 風、光の波動の静寂に消える時、我が力とならん… 氷河の結晶！ シヴァ！
攻撃(ラムウ), 森羅万象の翁、汝の審判を仰ぐ！ ラムウ！
攻撃(ラムウ), 森羅万象の翁、汝の審判を仰ぐ… 裁きのいかずち！ ラムウ！
攻撃(イフリート), 創世の火を胸に抱く灼熱の王… 灰塵に化せ！ イフリート！
攻撃(イフリート), 創世の火を胸に抱く灼熱の王… 灼熱の地獄！ イフリート！
攻撃(タイタン), 大地を統べる無限の躍動を以て、圧殺せん！ タイタン！
攻撃(タイタン), 大地を統べる無限の躍動を以て、圧殺せん… 大地の怒り！ タイタン！
ゴーレム, 大地を肉体とする堅牢なる肉体よ、我らを守らん！ ゴーレム！
ゴーレム, 大地を肉体とする堅牢なる肉体よ、我らを守らん！ アースウォール！
カーバンクル, 紅石に眠りし瞳、精霊の声に目覚めん… ルビーの光！ カーバンクル！
カーバンクル, 紅石に眠りし瞳、精霊の声に目覚めん… 我が聖戦に光を！ カーバンクル！
攻撃(バハムート), 夜闇の翼の竜よ、怒れしば我と共に、胸中に眠る星の火を！ バハムート！
攻撃(バハムート), 夜闇の翼の竜よ、怒れしば我と共に、胸中に眠る星の火を！ メガフレア！
攻撃(バハムート(敵)), 夜闇の翼の竜よ、怒れしば我と共に、胸中に眠る星の火を！ バハムート！
攻撃(バハムート(敵)), 夜闇の翼の竜よ、怒れしば我と共に、胸中に眠る星の火を！ メガフレア！
攻撃(オーディン), 漆黒の光閃き、大気の震えとなれ！ 斬鉄剣！ オーディン！
攻撃(オーディン), 漆黒の光閃き、大気の震えとなれ！ 破壊の閃光！ オーディン！
攻撃(リバイアサン), 青き水の牙、青き鎧打ち鳴らして汚れ清めたまえ！ リバイアサン！
攻撃(リバイアサン), 青き水の牙、青き鎧打ち鳴らして汚れ清めたまえ！ ダイダルウェイブ！
攻撃(サラマンダー), 炎の精霊よ、今一瞬の全ての炎をその手に委ねる… サラマンダー！
攻撃(サラマンダー), 炎の精霊よ、今一瞬の全ての炎をその手に委ねる… 火炎竜立ち昇らん！ サラマンダー！
