ゴーストスイーパー
神通棍, 折り畳み警棒
破魔札, お札
精霊石(攻撃), 石
精霊石(命中), 発光
神通棍【鞭】, 鞭
破魔札【8000万】, お札
破魔札乱れ撃ち(攻撃), お札;お札;お札
破魔札乱れ撃ち(命中), 桜吹雪
竜の牙, ソード突撃
霊波刀, エナジーブレード 黄
霊波放射, 中ビーム
神魔霊破撃, 回転ハイパービームサーベル 黄
サイキック猫だまし(命中), 発光 黄
ヨコシマキック, キック
ハンズオブグローリー, エナジーブレード 黄
サイキックソーサー(攻撃), ガラス片
サイキックソーサー(命中), 爆発
文珠【模】(攻撃), 文字発射 模
文珠【凍】(攻撃), 文字発射 凍
文珠【凍】(命中), 凍結
文珠【爆】(攻撃), 文字発射 爆
文珠【爆】(命中), 爆発
文珠【剣】(準備), 決め文字 剣 黄;光巨大剣
文珠【剣】(攻撃), 光巨大剣突撃
文珠【剣】(命中), 光巨大剣突撃
文珠【雷】(準備), 決め文字 雷
文珠【雷】(攻撃), 文字発射 雷
文珠【雷】(命中), 大電撃
文珠【滅】(準備), 決め文字 滅
文珠【滅】(攻撃), 文字発射 滅
文珠【滅】(命中), オーラ 黄
文珠【粉砕】(準備), 決め文字 粉;決め文字 砕
文珠【粉砕】(攻撃), 光投射 黄
文珠【粉砕】(命中), オーラ
文珠【治】, 回復魔法
文珠【飛翔】, 羽
霊体ブーメラン, ブーメラン
霊体貫通波, 中ビーム 黄
霊体撃滅波, ＭＡＰ持続ビーム 黄
鬼火, 炎
ネクロマンサーの笛, 横笛
ネクロマンサーの笛<浄化>, 横笛
浄化(命中), 光柱
ヒーリング, 回復魔法
ジャスティス・スタン, 電撃
銀の弾丸, リボルバー
霊剣ジャスティス, ソード
幻覚, 音波
虎よ、虎よ！(初期), 音波
虎よ、虎よ！, 音波
鉤爪, 爪撃
霊波砲, 小ビーム 黄
連続霊波砲, ２連小ビーム 黄
怪光線, 怪光線
霊力弾, 気弾 黄
ダンピールフラッシュ, 光投射 黒
ロケットアーム, 両手ロケットパンチ
エルボーバズーカ, グレネード
クレイモアキック, ベアリング
ピカラ, 噛み付き
アジラ, 炎投射
ハイラ, ニードル連射
アンチラ, 強風
サンチラ, 大電撃
バサラ, ＭＡＰブラックホール
１２神将暴走, ＭＡＰ大爆発
ダブルＧＳキック, スーパーキック
ヨコシマンパンチ, 打突
ヨコシマンチョップ, 格闘
ヨコシマンキック, 浴びせ蹴り
ＹＭＢＦメガクラッシュ, 全拡散ビーム 黄
ＹＭ外道焼身霊破光線, 超ビーム 黄
神通棍ヌンチャク, 三節棍
小竜姫の神剣, 大剣
霊波刀最大出力, エナジーブレード 黄
レーザービーマー, 中ビーム
阻止(ニーベルンゲンの指輪), 呪盾 Sword.wav ニーベルンゲンの指輪
攻撃無効化(サイキックソーサー), ビームシールド BeamCoat.wav サイキックソーサー
攻撃無効化(文珠【防】), バリア BeamCoat.wav 文珠【防】

魔族
鉤爪, 爪撃
魔散弾, 連気弾
魔力弾, 気弾
土角結界(命中), 陰陽太極図
魔剣, 大剣突撃
魔咆哮, 中ビーム 青
フェザーブレット(攻撃), 翼
フェザーブレット(命中), 銃弾
ビッグイーター, 蛇
爆炎, ＭＡＰ大爆発
双角槍, 月牙(２)
鱗粉攻撃, ＭＡＰ煙
３連魔霊弾, 拡散ビーム 青
麻痺毒, 爪撃
妖蜂毒, 爪撃
魔霊弾, 中ビーム 青
波動, 特殊光線 青
魔閃光, 中ビーム 青
魔光弾, 中ビーム 青
魔光弾斉射(攻撃), 全拡散ビーム 青
魔光弾斉射(命中), 全拡散ビーム 青
神滅砲, 巨大ビーム 青
悪魔の笛の音, 縦笛
悪魔の笛の音<ＭＡＰ>, 縦笛


妖怪
断末魔, 音波
包囲攻撃, 乱打
花粉, ＭＡＰ煙
葉髪, 多触手
伸腕, 打突
居合い(攻撃), 気斬
妖刀八房, 妖刀
八度太刀(攻撃), 妖刀
八度太刀(命中), 斬撃乱舞
噛みつき, 噛み付き
踏み潰し, 踏み潰し
