
遺跡兵器
100mmライフル, マシンガン
格闘, 格闘
バースト・トンファー, トンファー
無反動砲バズーカ, バズーカ
グレネードランチャー, グレネードランチャー
対空機銃, 機関砲
回転式バルカン, 内蔵ガトリング
大型爪, 格闘
大型ミサイル, グレネード
アームマシンガン, 機関砲
アーム, 打突
ワイヤー, ホーミングミサイル 橙
胸部ミサイル, 小型ミサイル 6
子機射出(攻撃), 矢連射
大型クロー, 打突
体当たり, タックル
3連マシンガン, 内蔵ガトリング
格闘, 格闘
腕部ミサイル, 小型ミサイル 6
格闘, 格闘
突風(攻撃), ２連小ビーム 白;旋風 白
突風(命中), 旋風 白
締め付け, 立ち固め
雷撃, 大電撃 青
ダウンバースト, ＭＡＰオーラ 白
ビット, 小ビーム 黄;小ビーム 黄
格闘, 格闘
ビーム砲, ２連ショックビーム 紫
次元砲(攻撃), 大ビーム 黄
次元砲(命中), 光柱 黄
小型ロケット砲, 小型ミサイル

ＺＩＮＶ
手甲, 打突
手甲(クリティカル), @戦闘アニメ_乱打命中
重力弾, 大ビーム 青
ハイパーモード, @戦闘アニメ_光の翼準備 緑 二刀流
攻撃無効化(マイクロブラックホール), ビームシールド 黒
光鳳翼, 光の翼 緑 二刀流
マイクロブラックホール, ＭＡＰオーラ 白
空間圧縮(準備), 光の翼 緑 二刀流
空間圧縮(攻撃), 強風
空間圧縮(命中), 大放電 赤;重力圧縮

遺跡船(デュアル！)
誘導型ビーム砲, ホーミングレーザー 青

大型遺跡艦(デュアル！)
誘導型ビーム砲, ホーミングレーザー 青

ＨＩＭＣ
ビーム砲, 持続ビーム 桃
触手(攻撃), ２連小ビーム 黄
触手(命中), ２連小ビーム 黒
触手(命中), ２連小ビーム 黄
プラズマ砲(準備), 粒子集中 青
プラズマ砲(攻撃), 大ビーム 青
プラズマ砲(命中), オーラ 青
