
ウィザードリィ・コミックス
カティノ(攻撃), ＭＡＰ煙 Whiz.wav
カティノ(命中), 煙 Null.wav
ハリト, 火炎弾
モリト(攻撃), 怪光線 Thunder.wav
モリト(命中), 放電
マハリト, 炎投射
ラハリト, 炎投射
ダルト(攻撃), 吹雪
ダルト(命中), 凍結
マダルト, 吹雪
ラダルト(攻撃), 拡散ビーム 白 Storm.wav
ラダルト(命中), 凍結;飛沫 白
ラカニト(攻撃), 光投射 白 Interference.wav
ラカニト(命中), 飛沫 白 Whiz.wav
ジルワン(攻撃), 光投射 白 Flair.wav
ジルワン(命中), 魔方陣 白 Null.wav;飛沫 白 Glass.wav
ティルトウェイト(攻撃), 光投射 白 Whiz.wav
ティルトウェイト(命中), 超爆発;@戦闘アニメ_ＭＡＰフラッシュ攻撃 相手ユニットＩＤ
ティルトウェイト(M)(攻撃), ＭＡＰビーム 白;ＭＡＰフラッシュ
ティルトウェイト(M)(命中), 超爆発
モンティノ(攻撃), -
モンティノ(命中), -
マニフォ(攻撃), 魔法放射 白 Whiz.wav
マニフォ(命中), -
バディオス(攻撃), 重力弾 Whiz.wav
バディオス(命中), ダメージ
バディアル(攻撃), 重力弾 Whiz.wav
バディアル(命中), ダメージ
バディアルマ(攻撃), 重力弾 Whiz.wav
バディアルマ(命中), ダメージ
ロルト, 強風
リトカン(攻撃), 光投射 赤 Whiz.wav
リトカン(命中), 火柱
マリクト(シェーラ(ＷＩＺＣ)), ２連中ビーム 黒 Inori.wav
マリクト(ルーシィディティ), ＭＡＰダークネス 対象ユニットＩＤ Inori.wav
ディスペル, Whiz.wav
バディアルマ, 光投射 黒 Whiz.wav
バディ(攻撃), @戦闘アニメ_死神 Whiz.wav
バディ(命中), -
マバディ(攻撃), 魔法放射 黒 Whiz.wav
マバディ(命中), @戦闘アニメ_死神
ディアル, 回復魔法
ディアルマ, 回復魔法
マディ, 回復魔法
ラツモフィス, 回復魔法
ディアルコ, 回復魔法
ポーフィック, 粒子集中 黄 Hide.wav;Sword.wav;3;Shield\EFFECT_BeamShield(Yellow)01.bmp 32 32 WX() WY() 透過
マポーフィック, 粒子集中 青 Hide.wav;Sword.wav;3;Shield\EFFECT_BeamShield(Blue)01.bmp 32 32 WX() WY() 透過
鳳龍剣技(準備), @戦闘アニメ_パターン決定 11;日本刀
鳳龍剣技(対パターン_1), 斬撃;@戦闘アニメ_拡散ビーム命中 黄 FastGun.wav 相手ユニットＩＤ
鳳龍剣技(対パターン_2), 斬撃;中ビーム 黄 Whiz.wav
鳳龍剣技(対パターン_3), 中ビーム 白 Whiz.wav
鳳龍剣技(対パターン_4), 斬撃;爆発 Bazooka.wav
鳳龍剣技(対パターン_5), 円月殺法 白 Whiz.wav
鳳龍剣技(対パターン_6), 斬撃 Swing(2).wav;旋風 白 Storm.wav
鳳龍剣技(対パターン_7), 斬撃 Swing.wav;旋風 白 Storm.wav
鳳龍剣技(対パターン_8), 斬撃;連続刺突 Gunpod.wav
鳳龍剣技(対パターン_9), 斬撃 Bazooka.wav
鳳龍剣技(対パターン_10), 斬撃 二刀流
鳳龍剣技(対パターン_11), 怪光線 LaserGun.wav
鳳龍剣技(命中)(対パターン_1), 拡散ビーム 黄 FastGun.wav 相手ユニットＩＤ;@戦闘アニメ_パターン解除
鳳龍剣技(命中)(対パターン_2), 中ビーム 黄 Explode(Small).wav;@戦闘アニメ_パターン解除
鳳龍剣技(命中)(対パターン_3), 強打 Whiz.wav;@戦闘アニメ_パターン解除
鳳龍剣技(命中)(対パターン_4), 爆発 Explode.wav;@戦闘アニメ_パターン解除
鳳龍剣技(命中)(対パターン_5), @戦闘アニメ_斬撃攻撃 Slash.wav 相手ユニットＩＤ;@戦闘アニメ_パターン解除
鳳龍剣技(命中)(対パターン_6), 風 Storm.wav;@戦闘アニメ_パターン解除
鳳龍剣技(命中)(対パターン_7), 交差ビーム 白 白 Storm.wav;交差ビーム 白 白 Storm.wav;@戦闘アニメ_パターン解除
鳳龍剣技(命中)(対パターン_8), 連続爆発 Gunpod.wav;@戦闘アニメ_パターン解除
鳳龍剣技(命中)(対パターン_9), 爆発 Explode.wav;@戦闘アニメ_パターン解除
鳳龍剣技(命中)(対パターン_10), 斬撃 二刀流;@戦闘アニメ_パターン解除
鳳龍剣技(命中)(対パターン_11), 怪光線 BeamSaber.wav;落下 Swing.wav;@戦闘アニメ_パターン解除
鳳龍渦旋斬(準備), 日本刀
鳳龍渦旋斬(攻撃), 日本刀突撃 Null.wav;旋風 黄
鳳龍渦旋斬(命中), 旋風 黄
鳳龍烈風斬(準備), 日本刀
鳳龍烈風斬(攻撃), 斬撃;旋風 白
鳳龍烈風斬(命中), 旋風 白
鳳龍虚空斬(準備), 日本刀
鳳龍虚空斬(攻撃), 斬撃
鳳龍虚空斬(命中), 鳳龍虚空斬 Glass.wav
鳳龍核撃斬(準備), 鳳龍核撃斬 Charge.wav
鳳龍核撃斬(攻撃), 鳳龍核撃斬;ＭＡＰフラッシュ Explode(Nuclear).wav
鳳龍核撃斬(命中), 超爆発 Explode(Nuclear).wav
鳳龍地裂斬(準備), 日本刀;オーラ上昇
鳳龍地裂斬(攻撃), ＭＡＰビーム 黒 Explode(Far).wav
鳳龍地裂斬(命中), ダメージ Explode(Small).wav
鳳龍四方斬(準備), 日本刀
鳳龍四方斬(攻撃), なぎ払い;ＭＡＰビーム 赤
鳳龍四方斬(命中), 拡散ビーム 赤 Slash.wav
鳳龍水月斬(準備), 日本刀
