
リョウ＝サカザキ
巴投げ, ブレーンバスター
極限流連舞拳, 連打
虎咆, アッパー
虎煌撃(攻撃), 打突 Beam.wav
虎煌撃(命中), ダメージ Explode(Small).wav
虎煌拳(攻撃), 気弾 オレンジ Beam.wav
虎煌拳(命中), ダメージ Shock(Low).wav
飛燕疾風脚(攻撃), スーパータックル オレンジ
飛燕疾風脚(命中), 強打 Punch.wav;@戦闘アニメ_キック攻撃;超打 Bazooka.wav
暫烈拳(攻撃), 乱打
暫烈拳(命中), 乱打;強打 Bazooka.wav
覇王翔吼拳(準備), 粒子集中 オレンジ
覇王翔吼拳(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Orange)01.bmp 96 MultipleRocketLauncher.wav 残像
覇王翔吼拳(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Orange)01.bmp 96 MultipleRocketLauncher.wav 残像
覇王翔吼拳(命中), 超爆発
龍虎乱舞(準備), 粒子集中 オレンジ;オーラ上昇 Evileye.wav
龍虎乱舞(攻撃), @戦闘アニメ_テレポート発動 Charge(high).wav " "
龍虎乱舞(命中), 連打 FightHit(1).wav;連打 FightHit(2).wav;乱打 Glass.wav;@戦闘アニメ_アッパー攻撃 Storm.wav;振り上げ Crash.wav
鉄拳・風林火山, 打突
氷柱割り(攻撃), 振り下ろし
氷柱割り(命中), 唐竹割り Crash.wav
ビール瓶切り(攻撃), なぎ払い
ビール瓶切り(命中), なぎ払い Glass.wav
猛虎雷神剛(攻撃), アッパー
猛虎雷神剛(命中), ダメージ Punch.wav;アッパー
猛虎雷神刹(攻撃), 飛びかかり Bow.wav
猛虎雷神刹(命中), @戦闘アニメ_斬撃攻撃;唐竹割り Punch.wav
虎咆疾風拳, タックル
両手突き(準備), オーラ上昇 -.wav
両手突き(攻撃), タックル Bazooka.wav
両手突き(命中), 強打 Crash.wav
天地覇煌拳(準備), オーラ上昇 Evileye.wav
天地覇煌拳(攻撃), 打突 Inori.wav
天地覇煌拳(命中), 強打 Shock(low).wav
天地覇煌拳(クリティカル), 超打 Crash.wav;飛沫 Glass.wav
