
ウルトラマン
ウルトラショット, 小ビーム 緑
ウルトラファイト(攻撃), 格闘
ウルトラファイト(命中), 煙 Bazooka.wav
ウルトラファイト(等身大), 格闘
八つ裂き光輪(攻撃), 回転投擲武器 Common\EFFECT_Shine(White)03.bmp Charge(high).wav
八つ裂き光輪(命中), 振り下ろし
八つ裂き光輪(とどめ), 縦分割
流星キック(攻撃), スーパーキック 白
流星キック(命中), スーパーキック 白 Crash.wav
スペシウム光線, 特殊光線 白 LaserGun.wav
ウルトラランス(準備), スピア
ウルトラランス(攻撃), 投げ槍 Saber.wav
ウルトラランス(命中), 刺突 Bazooka.wav
ウルトラスパーク(攻撃), 気斬 白 Saber.wav
ウルトラスパーク(命中), 刺突 Stab.wav
ウルトラスパーク(とどめ), 横分割
シネラマショット, 必殺光線 白 LaserGun.wav
阻止(ウルトラＶバリアー), ビームコート - ウルトラＶバリアー
シールド防御(ウルトラディフェンダー), ミドルシールド

怪獣
牙, 噛み付き
火炎, 火炎放射
毒ガス, 煙噴射 赤
角(攻撃), タックル
角(命中), 打撃 Stab.wav
尻尾(攻撃), なぎ払い
尻尾(命中), 強打
マグマ光線(攻撃), 小ビーム 赤
マグマ光線(命中), 小ビーム 赤;炎
ハサミ(攻撃), 刺突
ハサミ(命中), 打撃 Slash.wav
ショック光線(攻撃), 文字ビーム ○ 白
ショック光線(命中), 爆発
放射能光線, 特殊光線 白
ムチ, 鞭 二刀流
パンチ, 打突
火炎弾, 火炎弾
頭突き, ヘッドバット
眼光(攻撃), 発光 白 BeamCoat.wav 対象ユニットＩＤ
眼光(命中), 爆発
体当たり, タックル
溶解液, 放水銃 -.bmp -
トゲ(攻撃), タックル
トゲ(命中), 刺突
イエローガス, 煙噴射 黄
熱線, 特殊光線 赤
格闘, 格闘
大津波, ＭＡＰ津波
大竜巻, ＭＡＰ竜巻
放電光線, 大電撃
糸(攻撃), 実弾発射 -.bmp 有線
糸(命中), 強打
くちばし, 格闘
光線, 怪光線
猛毒ガス, 煙噴射 赤
金縛り光線, 怪光線
鼻, 舌
電波, 音波
プラスチック糸(攻撃), 実弾発射 -.bmp 有線
プラスチック糸(命中), 強打
爪, 爪撃
溶解泡, 泡
熱光線, 特殊光線 赤
腕部ノコギリ(攻撃), タックル Drill.wav
腕部ノコギリ(命中), 連斬撃 Drill.wav
ノコギリ頭突き(攻撃), ヘッドバット Drill.wav
ノコギリ頭突き(命中), クリティカル斬撃 Drill.wav
グロンケンキック, キック
暴風雨, ＭＡＰ竜巻
触手, 触手
毒液, 放水銃 -.bmp -
ヨダレ, 泡
破壊光線, 破壊光線
突撃(攻撃), 振る武器突撃 -.wav
突撃(命中), 斬撃突撃
ガス, 煙噴射
ヒレ, 格闘
ツタ, 触手 緑
結晶化光線, 中ビーム 白
連携攻撃(攻撃), 同時格闘
連携攻撃(命中), 連打
冷凍液, 放水銃 -.bmp -
冷凍光線(攻撃), 小ビーム 白
冷凍光線(命中), 小ビーム 白
冷凍弾(攻撃), 氷弾;氷弾
冷凍弾(命中), 爆発;凍結
ビーム, ２連小ビーム 白
ミサイル, ミサイル 2
アーム, 格闘
ナックル, 打突
腕部速射砲, ガトリング
剣, 剣
高熱火炎, 火炎放射
電磁波光線, 破壊光線
腕部ブーメラン(攻撃), ブーメラン;ブーメラン
腕部ブーメラン(命中), 打撃;打撃
頭部ブーメラン, スーパーブーメラン 赤
ヤメタ放射能, ＭＡＰ煙 PowerDown.wav
怪電波, 音波
白煙, 煙噴射
バッドミサイル, スーパーミサイル
ゼットンナパーム, 火炎弾
超高熱火球(攻撃), キャノン砲
超高熱火球(命中), 大爆発
分身(分身の術), 分身 - 分身の術
分身(蜃気楼), 分身 - 蜃気楼


防衛チーム
20mm機銃, バルカン
対地ミサイル, ミサイル
12.7mmガトリング砲, 内臓ガトリング
ロケット弾ポッド, キャノン砲 5
水中ミサイル, ミサイル
Ｚ弾, スーパーミサイル
ロケットランチャー, 小型ミサイルランチャー
マットバズーカ, バズーカ
格闘, 格闘
マットシュート, リボルバー
ウルトラの力, 変形 UM2_Ultraman2U.bmp BeamCoat.wav


