
汎用
スーパーキノコ, 5;Mario_PowerUp.wav

スーパーマリオ
阻止(地蔵変身), 変形 SMB3_JizohMarioU.bmp
地蔵アタック(準備), 変形 SMB3_JizohMarioU.bmp
地蔵アタック(攻撃), スーパーキック
地蔵アタック(命中), 強打

スーパールイージ
阻止(地蔵変身), 変形 SMB3_JizohLuigiU.bmp
地蔵アタック(準備), 変形 SMB3_JizohLuigiU.bmp
地蔵アタック(攻撃), スーパーキック
地蔵アタック(命中), 強打

マリオブラザーズ
# マリオブラザーズ＋α
ジャンプ(スーパージャンプ), Jump.wav
ジャンプ(しっぽ飛行), Jump.wav
ジャンプ(攻撃), Jump.wav;2;キック
ジャンプ(命中), 強打
甲羅蹴り(攻撃), 投擲武器 EFFECT_SMB_Shell(Green).bmp
甲羅蹴り(攻撃), 投擲武器 EFFECT_SMB_Shell(Red).bmp
甲羅蹴り(攻撃), 投擲武器 EFFECT_SMW_Shell(Blue).bmp
甲羅蹴り(攻撃), 投擲武器 EFFECT_SMW_Shell(Yellow).bmp
甲羅蹴り(攻撃), 投擲武器 EFFECT_SMB_Met.bmp
甲羅蹴り(命中), 強打
ファイアボール(攻撃), 火炎弾 Bow.wav
ファイアボール(命中), 爆発
ファイアボール連射(攻撃), 火炎弾 Bow.wav;火炎弾 Bow.wav;火炎弾 Bow.wav
ファイアボール連射(命中), 連続爆発
ハンマー, 殴打武器 EFFECT_SMB_Hammer.bmp
ハンマー投げ, 回転投擲武器 EFFECT_SMB_Hammer.bmp
ハンマー連投(準備), 投擲武器 EFFECT_SMB_Hammer.bmp 
ハンマー連投(攻撃), 回転投擲武器 EFFECT_SMB_Hammer.bmp 速;回転投擲武器 EFFECT_SMB_Hammer.bmp 速;回転投擲武器 EFFECT_SMB_Hammer.bmp 速
ハンマー連投(命中), 連打
しっぽアタック(攻撃), なぎ払い
マントアタック(準備), 突く武器 Shield/EFFECT_Mant(Yellow)01.bmp
マントアタック(攻撃), なぎ払い
マントアタック(命中), 光なぎ払い 黄 Saber.wav 大
ボディプレス(攻撃), 急降下
ボディプレス(命中), 急降下 Bomb.wav;ダメージ Crash.wav
ジャンプ(ふんばりジャンプ), Jump.wav
タマゴ投げ(攻撃), 投擲武器 SMW_Yoshi'sEgg(Green)U.bmp
タマゴ投げ(命中), 強打
ヒップドロップ(攻撃), Jump.wav;2;キック
ヒップドロップ(命中), 強打
砂煙(攻撃), Jump.wav;4;地面衝撃 白 Cannon.wav 対象ユニットＩＤ;2;ＭＡＰ煙 Mist.wav
砂煙(命中), 煙 Mist.wav
ヨッシーの舌, 舌
飲み込み(命中), 立ち固め BeamShot.wav
パラソル, 殴打武器 DGoods\EFFECT_Umbrella(Pink)01.bmp
野菜投げ, 投擲武器 Foods\EFFECT_Radish01.bmp
# クッパ軍団
マメクリボー(攻撃), ４ＷＡＹ射出
甲羅蹴り(青)(攻撃), 投擲武器 EFFECT_SMW_Shell(Blue).bmp
甲羅蹴り(青)(命中), 強打
スピンアタック(黄)(準備), 瞬間変形 EFFECT_SMW_Shell(Yellow).bmp -.wav
スピンアタック(黄)(攻撃), スーパータックル 白 Drill.wav
骨, 投擲武器 Weapon\EFFECT_Femur01.bmp
アイスブロック, 投擲武器 EFFECT_SMB3_IceBlock.bmp
トゲ(ホネメット)(準備), 瞬間変形 SMW_HoneMet(N)U.bmp Slash(2).wav
トゲ(ホネメット)(攻撃), タックル
トゲ(ホネメット)(命中), 刺突
トゲ, 刺突
パイポ, 投擲武器 BodyParts\EFFECT_CellWall(Red)01.bmp
フィッシング(攻撃), 振る武器突撃 -.bmp
鬼火(攻撃), 振る武器突撃 -.bmp
鬼火(命中), 炎 青
スパナ, 回転投擲武器 Weapon\EFFECT_Spanner01.bmp
シューリンガン, 棘鉄球投擲
魔法の杖, 殴打武器 EFFECT_SMB3_MagicWand.bmp
ビーム(準備), 殴打武器 EFFECT_SMB3_MagicWand.bmp
ビーム(攻撃), 白兵武器;怪光線
ビーム(命中), 怪光線
稲妻(準備), Cannon.wav
稲妻(攻撃), 落雷 Thunder.wav
稲妻(命中), 炎
胞子(攻撃), ４ＷＡＹ射出
火の玉(４発)(攻撃), キャノン砲 4 Bow.wav
火の玉(４発)(命中), 炎
火の玉(２発)(攻撃), キャノン砲 2 Bow.wav
火の玉(２発)(命中), 炎
突進(攻撃), タックル
突進(命中), 強打
子ゲッソー(攻撃), ４ＷＡＹ射出
キラー, 実弾発射 SMB_KillerU.bmp Bazooka.wav
体当たり(火)(攻撃), タックル
体当たり(火)(命中), 炎
飛びかかり(火)(攻撃), スーパーキック
飛びかかり(火)(命中), 炎
グルグル(攻撃), 白兵武器 Shock(Low).wav
グルグル(命中), 強打
グルグル<M>(攻撃), 白兵武器 Shock(Low).wav
グルグル<M>(命中), 強打
ガリガリ, スーパータックル 白 Drill(2).wav
ガリガリ<M>, スーパータックル 白 Drill(2).wav
トーピード(準備), Reload.wav
トーピード(攻撃), 実弾発射 SMW_TorpedoU.bmp
トーピード(命中), 爆発
バブル(攻撃), スーパーキック Fire.wav
バブル(命中), スーパーキック;炎
ジャンプアタック(攻撃), スーパーキック
ジャンプアタック(命中), 強打
# ブロス系
ブーメラン, ブーメラン;ブーメラン
アメフトボール, 投擲武器 EFFECT_M_RugbyBall.bmp
分身アタック, 分身打撃
野球ボール(攻撃), 投擲武器 DGoods\EFFECT_BaseBall01.bmp 16;投擲武器 DGoods\EFFECT_BaseBall01.bmp 16;投擲武器 DGoods\EFFECT_BaseBall01.bmp 16
マントガメ(準備), MouseWhisle.wav
マントガメ(攻撃), 実弾発射 SMW_MantoGame(A)U.bmp Swing(3).wav
