
ＯｎｌｙＹｏｕ
阻止, 1;Swing.wav;1;Sword.wav;Sword.wav
シールド防御, 2;Shock(low).wav;Sword.wav
タイガーサーベル, 3;Swing.wav;Sword.wav
タイガーサーベル(命中), Crash.wav
閃真流人応派腕撃(命中), Punch.wav
閃真流人応派腕撃(命中), Crash.wav
閃真流人応派腕撃(命中), Shock(Low).wav
閃真流人応派蹴打(命中), Punch.wav
閃真流人応派蹴打(命中), Crash.wav
閃真流人応派蹴打(命中), Shock(Low).wav
閃真流人応派連撃(命中), Combo.wav
閃真流人応派連撃(命中), 2;Punch.wav;2;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;2;Punch.wav;2;Punch.wav;Crash.wav
閃真流人応派連撃(命中), 3;Punch.wav;1;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav
閃真流人応派連撃(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;2;Crash.wav;2;Crash.wav;Crash.wav
閃真流人応派連撃(命中), 1;Punch.wav;1;Pucnh.wav;1;Punch.wav;Thunder.wav
閃真流人応派連撃(命中), 2;Punch.wav;1;Pucnh.wav;1;Punch.wav;2;Punch.wav;2;Swing.wav;1;Punch.wav;1;Punch.wav;Shock(Low).wav
漢の一撃(命中), Combo.wav
漢の一撃(命中), 2;Punch.wav;2;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;2;Punch.wav;2;Punch.wav;Crash.wav
漢の一撃(命中), 3;Punch.wav;1;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav
漢の一撃(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;2;Crash.wav;2;Crash.wav;Crash.wav
漢の一撃(命中), 1;Punch.wav;1;Pucnh.wav;1;Punch.wav;Thunder.wav
漢の一撃(命中), 2;Punch.wav;1;Pucnh.wav;1;Punch.wav;2;Punch.wav;2;Swing.wav;1;Punch.wav;1;Punch.wav;Shock(Low).wav
飛翔竜極波, 14;Storm.wav;5;Flair.wav;Explode(nuclear).wav
飛翔竜極波(命中), Crash.wav
鳳凰天舞, 2;Punch.wav;3;BreakOff.wav;2;Crash.wav;2;Punch.wav;3;BrackOff.wav;3;Crash.wav;Shock(low).wav
鳳凰天舞(命中), 2;Shock(low).wav;Crash.wav
地竜鳴動撃, 2;Shock(low).wav;2;Shock(low).wav;2;Shock(low).wav;2;Shock(low).wav;2;Shock(low).wav
地竜鳴動撃(命中), 2;Shock(low).wav;Crash.wav
封陣縛止(命中), Whip.wav
波陣滅殺(命中), 1;Shock(low).wav;1;Shock(low).wav;5;AntiAirMissile.wav;Explode(nuclear).wav
天破雷神槍(命中),  2;Shock(low).wav;10;Glass.wav;Explode(far).wav
仁藤流柔術拳襲(命中), Punch.wav
仁藤流柔術蹴撃(命中), Punch.wav
仁藤流柔術蹴撃(命中), Crash.wav
紅鶴強襲脚(命中), 2;Crash.wav;Crash.wav
螺旋乱舞(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;2;Crash.wav;2;Crash.wav;Crash.wav
エンジェル・ウィスパー, Hide.wav
エンジェル・ウィスパー(命中), 2;BreakOff.wav;Shock(low).wav
ファースト・クロー, 3;Swing.wav;Swing.wav
ファースト・クロー(命中), 2;Slash.wav;Slash.wav
ファースト・クロー(命中), 2;Stab.wav;Stab.wav
ファースト・クロー(命中), 2;Stab.wav;Slash.wav
ホワイト・スケール(準備), BeamSaber.wav
ホワイト・スケール, 2;Swing.wav;1;Bow.wav;Bow.wav
ホワイト・スケール(命中), 2;Stab.wav;1;Stab.wav;Stab.wav
反発結界, Inori.wav
念動力, LaserGun.wav
念動力(命中), Crash.wav
念動力(命中), BreakOff.wav
生命力奪取, Storm.wav
生命力奪取(命中), 2;Shock(Low).wav;Whip.wav
衝撃波, Whiz.wav
衝撃波(命中), Crash.wav
暗殺術(命中), Slash.wav
千翼刃, 2;Swing.wav;1;Bow.wav;Bow.wav
千翼刃(命中), 4;Slash.wav;Slash.wav
白羽旋風陣, Storm.wav
白羽旋風陣, 2;Slash.wav;1;Slash.wav;Slash.wav
対精密機械ジャマー, Search.wav
対精密機械ジャマー(命中), 8;Computer.wav;Crash.wav
ファランクス・ウィロー, LaserGun.wav
ファランクス・ウィロー(命中), Glass.wav
閃光手(準備), BeamSaber.wav
閃光手, Saber.wav
閃光手(命中), Slash.wav
閃光手(命中), Shock(Low).wav
分身攻撃, MicroMissile.wav
分身攻撃(命中), 2;Punch.wav;1;Pucnh.wav;1;Punch.wav;2;Punch.wav;2;Swing.wav;1;Punch.wav;1;Punch.wav;Shock(Low).wav
分身攻撃(命中), 7;Combo.wav;Crash.wav
インパクト・ブレイン, MicroMissile.wav
インパクト・ブレイン(命中), Glass.wav
サイコ・ウェーブ, LaserGun.wav
サイコ・ウェーブ(命中), Inori.wav
リキッド・ジェイル, 1;Swing.wav;1;Swing.wav;Bow.wav
リキッド・ジェイル(命中), Inori.wav
ホッパー・クロー, 3;Swing.wav;Swing.wav
ホッパー・クロー(命中), 2;Slash.wav;Slash.wav
ホッパー・クロー(命中), 2;Stab.wav;Stab.wav
ホッパー・クロー(命中), 2;Stab.wav;Slash.wav
バグズ・ウェイブ, Search.wav
バグズ・ウェイブ, 2;BreakOff.wav;2;BreakOff.wav;BreakOff.wav
ブラインドミスト, MultipleRocketLauncher(Light).wav
ブラインドミスト(クリティカル), Fold.wav
フリーズモニュメント, Storm.wav
フリーズモニュメント(命中), Grass.wav
漆黒の薔薇, Swing.wav
漆黒の薔薇(命中), Stab.wav
吸血牙(命中), Stab.wav
ローゼスバット, MultipleRocketLauncher.wav
ローゼスバット(命中), 1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;2;Stab.wav;3;Stab.wav;Explode(Far).wav
アトミック・アーム, Swing.wav
アトミック・アーム(命中), Crash.wav
アトミック・ヴェスパー, LaserGun.wav
ボルテック・コレダー, Thunder.wav
ミサイル・ファランクス, MicroMissile.wav
ミサイル・ファランクス(命中), 2;Explode.wav;2;Explode.wav;Explode(Far).wav
ゴルバチョップ(命中), Crash.wav
ゴルバチョップ(命中), Explode(Far).wav
Ｌ・ツイン, Thunder.wav
Ｌ・ツイン(命中), Crash.wav
アトミック・ベアナックル, 3;Shock(low).wav;Thunder.wav
アトミック・ベアナックル, 1;Shock(Low).wav;Explode(Nuclear).wav
怨念, Fold.wav
呪詛, Whiz.wav
手刀(命中), Saber.wav
重力球, LaserGun.wav
重力球(命中), Crash.wav
鋭い爪, 3;Swing.wav;Swing.wav
鋭い爪(命中), 2;Slash.wav;Slash.wav
鋭い爪(命中), 2;Stab.wav;Stab.wav
鋭い爪(命中), 2;Stab.wav;Slash.wav
鋼糸, 1;Swing.wav;Bow.wav
鋼糸(命中), Slash.wav
斬糸, 1;Swing.wav;1;Swing.wav;1;Swing.wav;Bow.wav
斬糸(命中), 1;Slash.wav
斬糸(命中), 2;Slash.wav;Slash.wav
斬糸(命中), 2;Stab.wav;Stab.wav
斬糸(命中), 2;Stab.wav;Slash.wav
