汎用
神の拳, スーパーパンチ 青
火の国の宝剣(命中), 炎斬撃
闇を払う銀の剣(準備), -
闇を払う銀の剣(攻撃), 斬撃
闇を払う銀の剣(命中), 超斬撃 Saber.wav
可逆結界－陽－(準備), 粒子集中 白
可逆結界－陽－, スーパータックル乱舞 白
可逆結界－陽－(命中), 六芒星 白;光柱 白 Interference.wav
精霊脚(準備), 六芒星 青;粒子集中 青
精霊脚, スーパーキック 青
煙幕(使用), 煙

人型戦車
ジャイアントアサルト, マシンガン
移動射撃, マシンガン
ミサイルランチャー, ＭＡＰミサイル
Ｎ・Ｅ・Ｐ(準備), ビームランチャー
Ｎ・Ｅ・Ｐ(攻撃), 六芒星 青;ＭＡＰビーム グリーン
剣鈴(攻撃), 斬撃;Sharara.wav
Ｎ・Ｅ・Ｐ式超硬度剣鈴(攻撃), 斬撃;Sharara.wav
Ｓレーザーカービン, 拡散ビームライフル 赤
Ｓレーザーバズーカ, ビームランチャー 赤
精霊手(準備), 六芒星 青;粒子集中 青
精霊手, 光投射 赤 Storm.wav


ウォードレス
超硬度カトラス(準備), カトラス
可憐用カトラス(準備), カトラス
手榴弾, 手榴弾
手榴弾(命中), 小爆発
レーザーライフル, ビームライフル 赤
ヘビーマシンガン, ガトリング
40mm高射機関砲, バズーカ
零式55mm機関砲, バズーカ
120mm短砲身, キャノン砲
ロケットポッド, ミサイルランチャー
ミサイルポッド, ミサイルランチャー
レールガン, キャノン砲
精霊手(準備), 六芒星 青;粒子集中 青
精霊手, スーパーパンチ 青

戦車
支援砲撃要請, -
支援砲撃要請(命中), 投下爆弾


幻獣
側面レーザー, 拡散ビーム 赤
頭部レーザー, 中ビーム 赤
テイルレーザー, 小ビーム 赤
テイルハンマー, 打突
全体レーザー, ２連小ビーム 赤
生体ロケットランチャー, キャノン砲 2
生体ミサイル, ベアリング
寄生獣レーザー, 拡散ビーム 赤
メインレーザー, 中ビーム 赤
拡散レーザー, 拡散ビーム 黄
聖銃レーザー, 中ビーム 赤
精霊リング・プレス(準備), 魔法放射 青 大 Charge(long).wav
精霊リング・プレス(命中), 魔法集中 青 大 Crash.wav
