
汎用
日本刀, Saber.wav
日本刀(命中), Slash.wav
手柄山氏繁, Sword.wav
手柄山氏繁(命中), Slash.wav
鉄扇, Swing.wav
鉄扇(命中), Punch.wav
北辰一刀流剣術, 3;Sword.wav;3;Slash.wav
北辰一刀流剣術(命中), Slash.wav
ダメダメポエム, PiyoPiyo.wav
ラブリーポエム, PiyoPiyo.wav

新選組
虎徹, Sword.wav
虎徹(命中), Stab.wav
和泉守兼定, Sword.wav
和泉守兼定(命中), Slash.wav
菊一文字, Sword.wav
菊一文字(命中), Slash.wav
鬼神丸国重, Sword.wav
鬼神丸国重(命中), Slash.wav
赤心沖光, Sword.wav
赤心沖光(命中), Slash.wav
永倉ハンマー, Swing.wav
永倉ハンマー(命中), Crash.wav
永倉ハンマー＆日本刀, 3;Swing.wav;3;Sword.wav
永倉ハンマー＆日本刀(命中), 3;Crash.wav;3;Slash.wav
十文字槍, Swing.wav
十文字槍(命中), Stab.wav
火縄銃虎徹, Rifle.wav
タイガー戦車虎徹, 10;Warship.wav;4;Cannon.wav
タイガー戦車虎徹, Explode(Small).wav
心形刀流剣術, Saber.wav
心形刀流剣術, 3;Saber.wav;2;Slash.wav
天然理心流剣術, 3;Sword.wav;2;Slash.wav;2;Saber.wav
天然理心流剣術(命中), 3;Slash.wav;2;Slash.wav;2;Slash.wav
神道無念流剣術, 3;Sword.wav;2;Swing.wav
神道無念流剣術(命中), 3;Saber.wav;2;Saber.wav;2;Slash.wav
溝口一刀流剣術, 3;Sword.wav;2;Saber.wav
溝口一刀流剣術(命中), 3;Slash.wav
神道無念流ハンマー術, 3;Swing.wav;2;Swing.wav
神道無念流ハンマー術(命中), 3;Crash.wav;4;Crash.wav
種田流槍術, 3;Swing.wav;2;Swing.wav
種田流槍術(命中), 3;Slash.wav;2;Slash.wav;2;Stab.wav
斬り込み, Saber.wav
斬り込み(命中), Slash.wav
赤誠ＣＡスラッシュ(準備), Charge(high).wav
赤誠ＣＡスラッシュ, 3;Saber.wav;4;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
赤誠ＣＡスラッシュ(命中), 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Combo.wav
赤誠ＣＡスラッシュ(クリティカル), Slash.wav
疾風弾影斬(命中), Slash.wav
88mmカモちゃん砲, Bazooka.wav
880mmカモちゃん砲, Bazooka.wav
880mmカモちゃん砲(命中), Explode(Far).wav
峰打ち(命中), Punch.wav
猫まっぷたつ, EvilEye.wav
猫まっぷたつ(命中), 5;Flair.wav;2;Slash.wav
猫まっぷたつ(クリティカル), Cat.wav
７２の必殺技(命中), Bazooka.wav
突撃, 8;Stairs(Run).wav;3;Swing.wav
突撃(命中), Explode(Nuclear).wav
天然理心流虎尾剣, Thunder.wav
天然理心流虎尾剣(命中), Slash(4).wav
天然理心流飛龍剣, Jet.wav
天然理心流飛龍剣(命中), Slash(4).wav
天然理心流無明剣, 3;Slash(3).wav;2;Slash(3).wav;2;Slash(3).wav
天然理心流無明剣(命中), Slash(4).wav
天然理心流五月雨剣, 3;Sword.wav;2;Sword.wav;2;Sword.wav;2;Sword.wav;2;Sword.wav
天然理心流五月雨剣(命中), 3;Slash(4).wav;2;Slash(4).wav;2;Slash(4).wav;2;Slash(4).wav;2;Slash(4).wav
谷直伝突き, 5;Charge(2).wav;2;Stab.wav
北辰一刀流体術, Combo.wav
北辰一刀流棍棒術, Punch(2).wav
斬馬刀, Whiz.wav
斬馬刀(命中), Sword.wav
北辰二刀流剣術, 3;Sword.wav;3;Slash.wav;3;Sword.wav;3;Slash.wav
北辰二刀流剣術(命中), 3;Slash.wav;3;Slash.wav
北辰一刀流斬馬閃, 6;Charge.wav;3;Whiz.wav
北辰一刀流斬馬閃(命中), Crash.wav
北辰一刀流夢想の舞(準備), Drum.wav
北辰一刀流夢想の舞, Sharara.wav
北辰一刀流夢想の舞(命中), 3;Sword.wav;3;Slash.wav
桜花放神, Whiz.wav
溝口一刀流牙突, Saber.wav
溝口一刀流牙突零式, Thunder.wav
機銃, MachineGun.wav
キャタピラ, BreakOff.wav
戦車砲, Cannon.wav

キンノー
陸奥守吉行, Sword.wav
陸奥守吉行(命中), Slash.wav
拳銃, Gun.wav
右腕『白虎』, Whiz.wav
右腕『白虎』(命中), Crash.wav
突っ張り, 1;Slap.wav;1;Slap.wav;1;Slap.wav
Ｊストリームアタック, 4;Jet.wav;4;Storm;1;Slap.wav;1;Slap.wav;1;Slap.wav
虫斬り, Stab.wav
猫斬り, Cat.wav
人斬り, Slash.wav
鬼斬り, Crash.wav
打ち斬り, Explode(Nuclear).wav
