################################ 解説 ################################

リムサリアの封印
招魔の護符(解説), $(ユニット)は招魔の護符で攻撃をかけた。
デビルアックス<投射>(解説), $(ユニット)はデビルアックスを天にかかげた。

################################ ＳＥ ################################

リムサリアの封印
分身(霧のカード), 「霧よ、出でよ」;5;Swing.wav;Inori.wav
分身(霧のカード), 「ちょっと、小細工させてもらうよ」;5;Swing.wav;Inori.wav
分身(霧のカード), 「これで煙に巻けたらいいんだけど……」;5;Swing.wav;Inori.wav
剛力虚脱, Charge(Silent).wav
剛力虚脱(クリティカル), 3;Reload.wav;3;Reload.wav;3;Reload.wav;Reload.wav
痛覚倍増, Charge(Silent).wav
痛覚倍増(クリティカル), PowerDown.wav
ドラゴンキラー(命中), 2;Swing.wav;Saber.wav
水のカード, 3;Swing.wav;3;Acid.wav;3;Acid.wav;3;Acid.wav;Acid.wav
水のカード(命中), 3;Splash.wav;3;Splash.wav;3;Splash.wav;Splash.wav
火のカード, 3;Swing.wav;Fire.wav
火のカード(命中), 8;Fire.wav;Fire.wav
風のカード, 3;Swing.wav;Thunder.wav
風のカード(命中), Thunder.wav
土のカード, 3;Swing.wav;4;Cannon.wav;4;Cannon.wav;Cannon.wav
土のカード(命中), 0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;_
		0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;_
		0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;0.5;Explode(Small).wav;Explode(Small).wav
血のカード, 3;Swing.wav;Charge(Silent).wav
血のカード(とどめ), Fire.wav
招魔の護符, 4;Swing.wav;「降臨せよ、火炎魔人！！ 全ての災いを焼き尽くせ！！」;Fire(2).wav
招魔の護符(対高回避率), 4;Swing.wav;3;Bird(2).wav;「え！ 誰だ？」;4;Charge.wav;Charge.wav
招魔の護符(対高回避率), 4;Swing.wav;3;Bird(2).wav;「駄目だ！ こんな大事な時に！」;4;Charge.wav;Charge.wav
招魔の護符(対弱点=火), 4;Swing.wav;「降臨せよ、火炎魔人！！ 全ての災いを焼き尽くせ！！」;Breath.wav
招魔の護符(対弱点=風), 4;Swing.wav;「舞い降りよ、風の魔人！！ 天の雄叫びを走らせろ！！」;Thunder.wav
招魔の護符(対弱点=雷), 4;Swing.wav;「舞い降りよ、風の魔人！！ 天の雄叫びを走らせろ！！」;Thunder.wav
