
#このアニメでは、ＳＲＣ汎用データコーナーで配布されているもの以外に、
#以下のアイコンを使用しています。
#
# RMZ_PantheonHunterU.bmp
# RMZ_SpikimgU.bmp
# RMZ_PantheonZombieU.bmp
# RMZ4_BonsectU.bmp
# RMZ4_BeamWalkerU.bmp
# RMZ_FenriiLunaedgeU.bmp
# Unit\RMZ_Hanumachine.bmp
# Unit\RMZ2_BurbleHekelot.bmp
# Unit\RMZ3_ChilldreInarabitta.bmp
# Unit\RMZ3_GlacierLeCactank.bmp
# Unit\RMZ3_TretestaKerberian.bmp
#
#以下は登録式画像パックに収録されています。
# RMZ_BlazingFlizardU.bmp
# RMZ_HellbatSiltU.bmp
# RMZ_DeathtantsMantiskU.bmp
# RMZ_KyubitFoxtarU.bmp
# RMZ_VolteelBiblioU.bmp

ゼロ(ＲＭＺ)
バスターショット, 光弾銃 黄 速
ゼットセイバー(準備), エナジーブレード 緑
ゼットセイバー(攻撃), 斬撃
ゼットセイバー(命中), 光斬撃 緑 中
ゼットセイバー(クリティカル), @戦闘アニメ_連斬撃攻撃;@戦闘アニメ_光連斬撃命中 緑 中;デフォルト
チャージバスター(準備), 粒子集中 黄;光弾銃
チャージバスター(攻撃), 手持ち発射 Weapon\EFFECT_LightBulletGun01.bmp 32 対象ユニットＩＤ Bullet\EFFECT_AuraBall(Yellow)01.bmp 32 発光
チャージバスター(命中), 強打 Crash.wav
チャージセイバー(準備), オーラ上昇 緑;エナジーブレード 緑
チャージセイバー(攻撃), 斬撃
チャージセイバー(命中), 連続描画 Light\EFFECT_LightGeyser(Green)[01-03].bmp 136 1 1 下辺 Inori.wav 相手ユニットＩＤ
シールドブーメラン, 回転投擲武器 Shield\EFFECT_BeamShield(Green)01.bmp 32 発光 遅 下投げ
反射(シールドブーメラン), ビームシールド 緑 BeamCoat.wav 別名=シールドブーメラン
トリプルロッド, 刺突武器 LightWeapon\EFFECT_LightSpear(White)01.bmp 48
チェーンロッド(攻撃), 実弾発射 Bullet\EFFECT_SlashBullet(Green)01.bmp 16 Swing(2).wav 有線
チェーンロッド(命中), 刺突
リコイルロッド(準備), トンファー 二刀流
リコイルロッド(攻撃), 連突
リコイルロッド(命中), 刺突;刺突
チャージロッド(Ｔ)(準備), オーラ上昇 緑
チャージロッド(Ｔ)(攻撃), 回転斬撃
チャージロッド(Ｔ)(命中), 回転ハイパービームサーベル 緑 Saber.wav
チャージロッド(Ｃ)(準備), オーラ上昇 緑
チャージロッド(Ｃ)(攻撃), 連続なぎ払い
チャージロッド(Ｃ)(命中), 光連続なぎ払い 緑 大
チャージロッド(Ｒ)(準備), オーラ上昇 緑;トンファー 二刀流
チャージロッド(Ｒ)(攻撃), ビームショットキャノン 緑
チャージロッド(Ｒ)(命中), 強打 Crash.wav
光幻刃(攻撃), 斬撃;実弾発射 Common\EFFECT_SonicBoom(Green)02.bmp 32 Whiz.wav 速
光幻刃(命中), 飛沫 緑
旋牙突(攻撃), スーパーパンチ 黄
旋牙突(命中), スーパーパンチ 黄;放電
天昇斬(攻撃), アッパー
天昇斬(命中), 振り上げ大炎斬撃 橙
落烈斬(攻撃), ジャンプ
落烈斬(命中), 唐竹割り 水色;飛沫 水色
武雷突(攻撃), スーパーパンチ 黄
武雷突(命中), スーパーパンチ 黄;放電
