
プロレスラー
プロレス技(命中), _.wav
華麗なる技(命中), _.wav
ムー式格闘術(命中), _.wav
クラマ流格闘術(命中), _.wav
クラマ流格闘術奥義(命中), _.wav
黒武術(命中), _.wav
コンビネーション(命中), _.wav
アマゾネスアタック(命中), _.wav
マスクギミック, Saber.wav
マスクギミック(命中), Crash.wav
ファイナルエルボー(準備), Charge(High).wav
ファイナルエルボー, Swing.wav
ファイナルエルボー(命中), Crash.wav
ダイビングピーチボンバー, 1;Swing.wav;1;Swing.wav;Swing.wav
ダイビングピーチボンバー(命中), Crash.wav
ロータリーデスロック(命中), 6;Falldown.wav;6;Falldown.wav;4;Falldown.wav;4;Falldown.wav;2;Falldown.wav;2;Falldown.wav;2;Falldown.wav;2;Falldown.wav;BreakOff.wav
アグラツイスト(命中), 3;Type.wav;GunPod.wav　
ローリングダブルニー, 1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
ローリングダブルニー(命中), Crash.wav
クロスライダーＳＨ(命中), 3;Reload.wav;3;Reload.wav;6;Swing.wav;Crash.wav
ゴールデンピーチボンバー, Jet.wav
ゴールデンピーチボンバー(命中), Explode(Far).wav
ゴールデンピーチボンバー(N), Jet.wav
ゴールデンピーチボンバー(N)(命中), Explode(Far).wav
ストライクスリー(命中), 3;Swing.wav;3;Crash.wav;3;BreakOff.wav;4;Jet.wav;6;Explode(Far).wav
もんがーアクション, _.wav
もんがーアクション(命中), Crash.wav
もんがーダンス(命中), Whip.wav
ジェットモンガロン, Bike.wav
ジェットモンガロン(命中), Crash.wav
もんがーダンスマークⅡ(命中), Explode.wav
サラウンドもんがーダンス, 
サラウンドもんがーダンス(命中), Explode(Far).wav
アシガラスピンキック, Storm.wav
アシガラスピンキック(命中), Crash.wav
エッフェルヒールキック(命中), 3;Swing.wav;Crash.wav
ローリングヒールキック(命中), 4;Saber.wav;Crash.wav
ＨＡアックスドライバー(命中), 2;Type.wav;2;Swing.wav;Bazooka.wav
凱旋門崩し(命中), 3;Reload.wav;4;Swing.wav;Crash.wav
トリプル弁慶ブリーカー(命中), Crash.wav
弁慶風車(命中), 3;Swing.wav;5;Jet.wav;Crash.wav
トリプル弁慶風車(命中), 3;Swing.wav;5;Jet.wav;Crash.wav
サブマリンロケッター, Missile.wav
サブマリンロケッター(命中), Crash.wav
ロブスターキック(命中), 3;Swing.wav;Crash.wav
Ｓオクトパスホールド(命中), GunPod.wav
サンシャインレーザー, 5;Charge.wav;Beam.wav
浦島渦潮落とし(命中), 5;Jet.wav;Crash.wav
パシフィックハリケーン(命中), 5;Jet.wav;Explode(Far).wav
シャイニングウェーヴ, AntiAirMissile.wav
シャイニングウェーヴ(命中), Crash.wav
アースソニックブレード(命中), 5;Drill.wav;Explode(Far).wav
ビッグアップルドライバー(命中), 3;Swing.wav;Crash.wav
３ｐｔパイルドライバー(命中), 3;Swing.wav;Crash.wav
猿拳(命中), Crash.wav
白猿通背拳(命中), Combo.wav
天地旋風撃(命中), 3;Punch.wav;Falldown.wav
ブラックエンド(準備), Charge(High).wav
ブラックエンド, Swing.wav
ブラックエンド(命中), Crash.wav
ダークネスアロー, Hide.wav
ダークネスアロー(命中), Combo.wav
月の輪蹴り(命中), 3;Saber.wav;Crash.wav
ブラックもんがーダンス(命中), Whip.wav
レーザー, LaserGun.wav
打出の小槌(命中), Crash.wav
七尺ツインロケット(命中), Crash.wav
真空糸巻き落とし(命中), 2;Swing.wav;2;Swing.wav;2;Swing.wav;Crash.wav
針千丸, 1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
ボー・アンド・アロー(命中), Breakoff.wav
ＡＣバックブリーカー(命中), 3;Breakoff.wav;3;Breakoff.wav;Breakoff.wav
必殺トムさんラリアット(命中), Crash.wav
怒涛のトムさんラリアット(命中), Crash.wav
サンダーブロウ(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav
モーターシティドライヴ, 0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav
モーターシティドライヴ(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav
ゴートゥーヘヴン(命中), Explode(Far).wav
鬼門砲, Beam.wav
鬼門砲(命中), Stab.wav
百鬼魔道弾, MicroMissile.wav
百鬼魔道弾(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
アトミックラシアンクロー(命中), Crash.wav
アトミックバスタークロー(命中), Explode(Far).wav
ムーンソルトコースター, Snap.wav
ムーンソルトコースター(命中), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Crash.wav
催眠術(クリティカル), Bubble.wav
バックルベル(命中), Alarm.wav
スイングスリーパー(命中), Storm.wav
ＲＥＭ睡眠念動波, LaserGun.wav
ＲＥＭ睡眠念動波(命中), Crash.wav
シャクティストリーム, Charge.wav
シャクティストリーム(命中), Stab.wav
熊曾崩壊拳, 5;Charge.wav;Shock(Low).wav
出雲壊滅雷, Thunder.wav
草薙劒(命中), 1;Swing.wav;Slash.wav
曲玉散弾光, FastGun.wav
曲玉散弾光(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
鳳凰逆落とし(命中), 6;Jet.wav;Crash.wav
和弓(命中), Stab.wav
桃源流剣法(命中), 1;Swing.wav;Slash.wav
桃源流奥義下段桃割斬り(命中), 1;Swing.wav;Slash.wav
暗黒風納豆壁(クリティカル), Whip.wav
日本刀(命中), 1;Swing.wav;Slash.wav
